=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:56: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0AmANHcBjW2BiAQxNPC3AHd80BfCgBgwQGYAdAO086YXAF0MAKDBR8DFEgoBPfAFoJCBBTzxwBAOxbt4etmUIALOTgRo8NOinZVhHPYe7GGNAOGjziFBuvhZ8BRQADgBOPXAmBhMI5jcRM3xWdBl5CTDnJTiPRMNk7H84QKCkcN5XLAhbdVIyUuZ2LkbI6N5DbiaMKMF4sXgJNF8CwJYANnDMIyyE+ARJFICJUIpqGclw5SiK3Hx1B0d12O7smcsQwdSUdP1mLvdpxBZL84XgkooDPnfmctNttWIakRoisvG9rqwpn4LqNwixmMYjvdZgN5oVFiFlolvGDwJhNr8qgQ9vYnNgJpDPElDKjAj5xjdohNPgSdpptFpgTQrPSIYjeogaf1fITAUDMRZuRQ4fjKqziXhYS4KYlHij8hc6VLmMzwNSIVsRYDOatNdg4Qg0O1OBtlTNBVZxaDwtTbj1KSN7T5HbMcXqEXdwAAnTwSL3YSm5Z5wEbYx2WU3gc2WxrWw4B4NctVBgqh3wR2Pq+CPHHmhrtG18wOJTDYDN9CiBnMUTyoZQ2OXE0kxFgtDDGZxIXsjW1wSM45Q-cDKHtffvXQd8zy5BOYSeYGdkvuMjALgMt9B0LUbxNbrWDrXDxf4GPC1nsjlx519q0cPEmWX-UXGrwDJ8jF9vle8BRoEGLYCCPpPq4QHRnMhZwEKKh3ve36WL+FDUm0KavrEBqsl+f4AWmPRVgEFrNvgQRwVCASWB67b-PKXZMBovZBL2IS9ggrrHHAQQHMOXysV87FfJxMFUehm6CZuwmbqJm7iXu+AaNiipySeCknpxWrcSOqlhn8hD3hpILxr6GDsTB3HUUMiy3p+RremsGEMvw-BAA
13:35:57: [INFO] Add SW17 footprint
13:35:57: [INFO] Add D17 footprint
13:35:57: [INFO] Add SW18 footprint
13:35:57: [INFO] Add D18 footprint
13:35:57: [INFO] Add SW19 footprint
13:35:57: [INFO] Add D19 footprint
13:35:57: [INFO] Add SW20 footprint
13:35:58: [INFO] Add D20 footprint
13:35:58: [INFO] Add SW21 footprint
13:35:58: [INFO] Add D21 footprint
13:35:58: [INFO] Add SW22 footprint
13:35:58: [INFO] Add D22 footprint
13:35:58: [INFO] Add SW23 footprint
13:35:58: [INFO] Add D23 footprint
13:35:58: [INFO] Add SW24 footprint
13:35:58: [INFO] Add D24 footprint
13:35:58: [INFO] Add SW25 footprint
13:35:58: [INFO] Add D25 footprint
13:35:58: [INFO] Add SW26 footprint
13:35:58: [INFO] Add D26 footprint
13:35:58: [INFO] Add SW27 footprint
13:35:58: [INFO] Add D27 footprint
13:35:58: [INFO] Add SW28 footprint
13:35:58: [INFO] Add D28 footprint
13:35:58: [INFO] Add SW29 footprint
13:35:58: [INFO] Add D29 footprint
13:35:58: [INFO] Add SW30 footprint
13:35:58: [INFO] Add D30 footprint
13:35:58: [INFO] Add SW31 footprint
13:35:58: [INFO] Add D31 footprint
13:35:58: [INFO] Add SW32 footprint
13:35:58: [INFO] Add D32 footprint
13:35:58: [INFO] Add SW33 footprint
13:35:58: [INFO] Add D33 footprint
13:35:58: [INFO] Add SW34 footprint
13:35:58: [INFO] Add D34 footprint
13:35:58: [INFO] Add SW35 footprint
13:35:58: [INFO] Add D35 footprint
13:35:58: [INFO] Add SW36 footprint
13:35:58: [INFO] Add D36 footprint
13:35:59: [INFO] Add SW37 footprint
13:35:59: [INFO] Add D37 footprint
13:35:59: [INFO] Add SW38 footprint
13:35:59: [INFO] Add D38 footprint
13:35:59: [INFO] Add SW39 footprint
13:35:59: [INFO] Add D39 footprint
13:35:59: [INFO] Add SW40 footprint
13:35:59: [INFO] Add D40 footprint
13:35:59: [INFO] Add SW41 footprint
13:35:59: [INFO] Add D41 footprint
13:35:59: [INFO] Add SW42 footprint
13:35:59: [INFO] Add D42 footprint
13:35:59: [INFO] Add SW43 footprint
13:35:59: [INFO] Add D43 footprint
