=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:27:58: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoAsAaO4Ces4CYkBGAVg3AGNdwBiAQ3ofAF8yE0FwBdNAKDClyECAdlKYc8ALTIAnGIpVq5ZSuas0hQl179o8QklFkJcaUjllK8Gg0YtMbLRghXMSlcrUO0ecM4H6yAj24I6+6oQAzH5wLoq29F6hGijafBB6iEh4xrhmhCGE7Gm6gkjE8iZmMmQA7mV4xIUaMXHW7h5JReGxAXAySJFNZEWaMeCjPW1uwrNz4-X6hsOYo6nc6dh5yEWYrjYJSTkcG6VLkblSsnVloiE5Tr37Har3Pq19ABxInwVkD48MtskAhdgp2glaAsGitwA8enCNNF-M8PJ43oR1jogedLPFDiELoC+pofoSNAiicjMESsZsAE6CHKYTIoQaVPLEEF49poyghNjU5KpdTEcZsABsJRxcDZEuaQqKItWaDFIzQUtOMq5CFhOSFOWViLVmBymuxfQl7J5Mzms2h8Dw5JN0wOtiSF3Nm0yOo5V3M8kWcAMjXJ0S14EZUiEZEywh+l1MyBQ8lRaKSbGE4rQn2zMmzhBOFrjAeaWfVufV+fVhelfXjerQ5dNOfGOWrLdrEZLqcUdvtN0dy3Jue7gmQF3EwIse3x7vJXc4QA
13:28:03: [INFO] Routing pad 'SW32:2' at (91122500, 111125000) with pad 'D32:2' at (93662500, 118805000) using coordinate system rotated by 0 degree(s)
13:28:03: [INFO] Adding track segment (B.Cu): [(91122500, 111125000), (91122500, 116265000)]
13:28:03: [INFO] Adding track segment (B.Cu): [(91122500, 116265000), (93662500, 118805000)]
13:28:03: [INFO] Routing SW31 with D31
13:28:03: [INFO] Using internal autorouter method
13:28:03: [INFO] Routing pad 'SW31:2' at (64928750, 111125000) with pad 'D31:2' at (67468750, 118805000) using coordinate system rotated by 0 degree(s)
13:28:03: [INFO] Adding track segment (B.Cu): [(64928750, 111125000), (64928750, 116265000)]
13:28:03: [INFO] Adding track segment (B.Cu): [(64928750, 116265000), (67468750, 118805000)]
13:28:03: [INFO] Routing SW30 with D30
13:28:03: [INFO] Using internal autorouter method
13:28:03: [INFO] Routing pad 'SW30:2' at (33020000, 109220000) with pad 'D30:2' at (35560000, 116900000) using coordinate system rotated by 0 degree(s)
13:28:03: [INFO] Adding track segment (B.Cu): [(33020000, 109220000), (33020000, 114360000)]
13:28:03: [INFO] Adding track segment (B.Cu): [(33020000, 114360000), (35560000, 116900000)]
13:28:03: [INFO] Routing SW29 with D29
13:28:03: [INFO] Using internal autorouter method
13:28:03: [INFO] Routing pad 'SW29:2' at (328771250, 92075000) with pad 'D29:2' at (331311250, 99755000) using coordinate system rotated by 0 degree(s)
