=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:40:33: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14B2VdLADnAF0UAoMKWOAJjXAE9GBaDAOjMICsJTCia44+RgEZhWACzjJ8IayyFFDeDNUoAnFVr0CcAaw7xufQbJQCNx5DoBsBuhHNxL-FaRQZxIlL20tq+Uv46UkHUbpqIZly8CNasUtjBRMJpFDFGjCzoHl4p6GlieHGh4GkKFcY+1SjqddJZeq55ygkWvN5tdi3wjqUoLrnuiVYNaREjQYNwUW3hAWlRHUrxhZPJDSw4C8SsLDmGmwXsk33HohmLwiy1EnF7TXdVLPrjL92evSXgFgDZ4OB6jDaXHpTMGzQEoeYgkJglY3dbfBy-SxMAEIW6HYS4r5ncAAJ2kuPQJIcPFMlI8ZBprGMllpkM8Ah4cgJ6W+ZPgTCcTMmrKKUh4GG5Cl5jAQuiFUJFXDFEtYuLs0osstYVJCjPQzN4iosHK5qvBGs8Avlfz1bM4yu56gt9opcRZmIdZpylCAA
13:40:36: [INFO] Routing pad 'SW19:2' at (212090000, 56832500) with pad 'D19:2' at (214630000, 64512500) using coordinate system rotated by 0 degree(s)
13:40:36: [INFO] Adding track segment (B.Cu): [(212090000, 56832500), (212090000, 61972500)]
13:40:36: [INFO] Adding track segment (B.Cu): [(212090000, 61972500), (214630000, 64512500)]
13:40:36: [INFO] Routing SW18 with D18
13:40:36: [INFO] Using internal autorouter method
13:40:36: [INFO] Routing pad 'SW18:2' at (135890000, 56832500) with pad 'D18:2' at (138430000, 64512500) using coordinate system rotated by 0 degree(s)
13:40:36: [INFO] Adding track segment (B.Cu): [(135890000, 56832500), (135890000, 61972500)]
13:40:36: [INFO] Adding track segment (B.Cu): [(135890000, 61972500), (138430000, 64512500)]
13:40:36: [INFO] Routing SW17 with D17
13:40:36: [INFO] Using internal autorouter method
13:40:36: [INFO] Routing pad 'SW17:2' at (116840000, 54451250) with pad 'D17:2' at (119380000, 62131250) using coordinate system rotated by 0 degree(s)
13:40:36: [INFO] Adding track segment (B.Cu): [(116840000, 54451250), (116840000, 59591250)]
13:40:36: [INFO] Adding track segment (B.Cu): [(116840000, 59591250), (119380000, 62131250)]
13:40:36: [INFO] Routing SW16 with D16
13:40:36: [INFO] Using internal autorouter method
13:40:36: [INFO] Routing pad 'SW16:2' at (97790000, 52070000) with pad 'D16:2' at (100330000, 59750000) using coordinate system rotated by 0 degree(s)
13:40:36: [INFO] Adding track segment (B.Cu): [(97790000, 52070000), (97790000, 57210000)]
13:40:36: [INFO] Adding track segment (B.Cu): [(97790000, 57210000), (100330000, 59750000)]
13:40:36: [INFO] Routing SW15 with D15
13:40:36: [INFO] Using internal autorouter method
13:40:36: [INFO] Routing pad 'SW15:2' at (78740000, 54451250) with pad 'D15:2' at (81280000, 62131250) using coordinate system rotated by 0 degree(s)
13:40:36: [INFO] Adding track segment (B.Cu): [(78740000, 54451250), (78740000, 59591250)]
13:40:36: [INFO] Adding track segment (B.Cu): [(78740000, 59591250), (81280000, 62131250)]
13:40:36: [INFO] Routing SW14 with D14
13:40:36: [INFO] Using internal autorouter method
13:40:36: [INFO] Routing pad 'SW14:2' at (59690000, 59213750) with pad 'D14:2' at (62230000, 66893750) using coordinate system rotated by 0 degree(s)
13:40:36: [INFO] Adding track segment (B.Cu): [(59690000, 59213750), (59690000, 64353750)]
13:40:36: [INFO] Adding track segment (B.Cu): [(59690000, 64353750), (62230000, 66893750)]
13:40:36: [INFO] Routing SW13 with D13
13:40:36: [INFO] Using internal autorouter method
13:40:36: [INFO] Routing pad 'SW13:2' at (40640000, 59213750) with pad 'D13:2' at (43180000, 66893750) using coordinate system rotated by 0 degree(s)
13:40:36: [INFO] Adding track segment (B.Cu): [(40640000, 59213750), (40640000, 64353750)]
13:40:36: [INFO] Adding track segment (B.Cu): [(40640000, 64353750), (43180000, 66893750)]
