=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:38:45: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoDsBWANHcBPWikAmTbAY33AGIUbbwBfLcTARgBZwsJp5kTxy8KqRGiGTBBgSdskljO74AHKjSNZGFtImb5XKPmQsAzE0HZKAQ2s3xGloRng5xhQd5IlKJgGcAthQATgD2AC4A+gCmpCzy6s6abAA6AHap6WmZGamR0gC6GABQYO5whEx4HsRmFJSiYr4BQnbgLFJObXpwivAAnERqTJ3a2J1drZqO+uZUNrZMAO74hPGdyVkpkiM9BPwzdfXk8eXsbjwE6Kuaxtmbmh2Jt3LgBcU7LAM1QlZzlk5L8A+g2w5W2AlqhyOTBOZ3w-Uu0M0I3AJ3GJym3XAALgQOO11ubTB5z48VMJlhgNUXwstDoi3wH2q2AAFstFo5KfxmRycUxIDyALTIYikyYE+6vErEqlkWq-P70ykI7CmMH7SEtMkUnHC4HgMnIsldCD7Wk0f7LAaihziomGT6y74a60cfTnD4IPEmcXySUmuW-C3wQhWphsKS3UFudWHFrh42lLSqeLxtUBuZBsqh7Dxwi3VUvIpShkoJD8SpwIUy8HfM0oOPXQtvUp8Cr4KtMmsWeWZxl6zBg7F9+KsbVJ9CKnHZ5gYXpuIfT1j5IvvABsZbb8CrE8dNLNLVY41YGJn5L9Xdmgcnw7Djw2MNvCEj9zdDJDyvA8ZY+ZfmIXItvG0Ni1c9AgZcNsECc4IPAQIKxDfh3U3SsQ2Mbxd2EWN4kkVxzwrKslCUbCMAxd5qUvDNiI4c9zlMbB8OQLxiLQJti0BciDnqFo2lwldcHbRiiKGEixyuai+No5CCJQK4WJohkpN1PFeObBjPCEkERNfQE8XE5tJPogTPBkxE5IkhTDK3JSmFMFSSjUwjRVIxNRT0ti4Do-irOM0UzP0iyvMraycwwOyIAcjTPy0zF3RTDA3J2TyHJMkKWKYTA-Pc1tLKCpATA4ntr0XaKIH-ftQtYxLFOMjiNUnFZ0viyrYPbdgmCghljAdUoBRDSQct6pA0OIpRmvOAUuv6wKCKUArA2I+ttKnKaYy44i53krc2CQKbkrmyidFXMb2z62qsOE0bNsrSbqsc4TFpihkdquDbzK2nbbpSiYjquwbdqMgDNMut7ro+gbBLxB73mexFXv897-u8pjER+kG-uqwH9QwYH4dBxHcrulUMChxMYaJuH3IFbb8ek0VUdx9HwencMccpm6mcJqKSfdMmoopnYBTQMHpsYr7MCO296cpkNOzU-KMJ+DMisxzBWYFoWadFs6uPq5NGvrPI8iAA
13:38:50: [INFO] Add D67 footprint
13:38:50: [INFO] Add SW68 footprint
13:38:50: [INFO] Add D68 footprint
13:38:50: [INFO] Add SW69 footprint
13:38:50: [INFO] Add D69 footprint
13:38:50: [INFO] Add SW70 footprint
13:38:50: [INFO] Add D70 footprint
13:38:50: [INFO] Add SW71 footprint
13:38:50: [INFO] Add D71 footprint
13:38:50: [INFO] Add SW72 footprint
13:38:50: [INFO] Add D72 footprint
13:38:50: [INFO] Add SW73 footprint
13:38:50: [INFO] Add D73 footprint
13:38:50: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:38:50: [INFO] Add ST73 footprint
13:38:50: [INFO] Add SW73a footprint
13:38:50: [INFO] Add SW74 footprint
13:38:50: [INFO] Add D74 footprint
13:38:50: [INFO] Add SW75 footprint
13:38:50: [INFO] Add D75 footprint
13:38:50: [INFO] Add SW76 footprint
13:38:50: [INFO] Add D76 footprint
13:38:50: [INFO] Add SW77 footprint
13:38:50: [INFO] Add D77 footprint
13:38:50: [INFO] Add SW78 footprint
13:38:50: [INFO] Add D78 footprint
13:38:50: [INFO] Add SW79 footprint
13:38:50: [INFO] Add D79 footprint
13:38:50: [INFO] Add SW80 footprint
13:38:50: [INFO] Add D80 footprint
13:38:51: [INFO] Add ST80 footprint
13:38:51: [INFO] Add SW81 footprint
13:38:51: [INFO] Add D81 footprint
13:38:51: [INFO] Add SW82 footprint
13:38:51: [INFO] Add D82 footprint
13:38:51: [INFO] Add SW83 footprint
13:38:51: [INFO] Add D83 footprint
13:38:51: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:38:51: [INFO] Add ST83 footprint
13:38:51: [INFO] Add SW84 footprint
13:38:51: [INFO] Add D84 footprint
13:38:51: [INFO] Add SW85 footprint
13:38:51: [INFO] Add D85 footprint
13:38:51: [INFO] Add SW86 footprint
13:38:51: [INFO] Add D86 footprint
13:38:51: [INFO] Add SW87 footprint
13:38:51: [INFO] Add D87 footprint
13:38:51: [INFO] Add SW88 footprint
13:38:51: [INFO] Add D88 footprint
13:38:51: [INFO] Add SW89 footprint
13:38:51: [INFO] Add D89 footprint
13:38:51: [INFO] Add SW90 footprint
13:38:51: [INFO] Add D90 footprint
13:38:51: [INFO] Detected layout convertible to matrix annotated keyboard
13:38:51: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:38:51: [INFO] Layout offset: (33337500, 23812500)
13:38:51: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:38:51: [INFO] Placing additional elements for SW90
13:38:51: [INFO] Placing additional elements for SW89
13:38:51: [INFO] Placing additional elements for SW88
13:38:51: [INFO] Placing additional elements for SW87
13:38:51: [INFO] Placing additional elements for SW86
13:38:51: [INFO] Placing additional elements for SW85
13:38:51: [INFO] Placing additional elements for SW84
13:38:51: [INFO] Placing additional elements for SW83
13:38:51: [INFO] Placing additional elements for SW82
13:38:51: [INFO] Placing additional elements for SW81
13:38:51: [INFO] Placing additional elements for SW80
