=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:20: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreANAgzgW1ggE4D2ALgPoCmkAjDeAL5bgAMGLAOgHbfds28eQwZRaY4EAB4EWAOgBMAVmZ4C4RszadhXLeIjR4SAIamzGhDXb6oaxJAeOLrDPWZW3CNvPHgrPzQwAZl8rEMCAFlCMKMDFaPjAgDZBbisxdwwUnXSbQwREM3NmAHcCeSYvDGRUrnlrLCkZBWUEMvgK5NqPPLtHJ0qXGp16zz9q2tHwAF0MACgwcGl4GllkVtsjQqLjX3a4VcVBoIaJTYL+h2cp5hOx+oCEE8fwevCn4N962I+f14xEh9Af9soIThkPqChODelsdrtSgRDoN6sMwacmvA5OtEStZEdmPUodw7rCLpdnCdiVxSYSJjpSbMFpiDvjmPkTDs9ki1gSEMoIQY+hTBhFXL5lGMxS9lC8xe9wMoFWK-so-mLgcpgWLqWLBedOUVuR0WoNlLqMUseWw2uVTcwdbUxZ4hVtLtAzVkneKmYtlgd2XZ4ca4PJ7QhkJaOfYRcwkuLmJGxvGXpGXvGFZGFfG-pG-vHgZHAa6CsHcaz1oN49SBWSkGh0FX6YJa40DdsjYNI2ihPH9f65Bt9mHK3GvTpJXWUA3kL5VEYSBRqHRnN3avGBDpapR6L6WVYENGyzh8EYQ6slIMABzsWqR-X7C988AATktj-D4BvLvb7pDSU-G8glqG99SPLlrwBWo3whV8oJ0GDfBvalELbaMZ1nQY3ySJDql8N9Zz3K0VhUU8iDIKhaDGD9L2YUC71cWpt0eFkww2cCjVItRz0-N95BAhMzmjP9yzDWiECAgSf2HXksJiKSp2PcAaOfG9FGgwSIBUuT1IQzTfwpctB2YAATAhSEIABXShBg03d5j9AgIl5UTZOYPiBJY9slO0ujgk8qcRNtE1xLgiIArQoMuXLJ9IN0wQ+MCwzgrgbENjM+ALOs2y9K8jjzEglCMB8Ij-WcnFD2FfoQxHZ8PJ0ICpwwucyPARdKJXGLAP8hqeqYoRKDyqqnC4s9XNCt9wt694S0NAq-PioQ3wVN9Fu4ZampnFq1Ha5d6EKjTgK3HQdxmaYgA
13:31:25: [INFO] Add ST66 footprint
13:31:25: [INFO] Add SW66a footprint
13:31:25: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:25: [INFO] Add ST66a footprint
13:31:25: [INFO] Add SW67 footprint
13:31:25: [INFO] Add D67 footprint
13:31:25: [INFO] Add SW67a footprint
13:31:25: [INFO] Add SW68 footprint
13:31:25: [INFO] Add D68 footprint
13:31:25: [INFO] Add SW69 footprint
13:31:25: [INFO] Add D69 footprint
13:31:26: [INFO] Detected layout convertible to matrix annotated keyboard
13:31:26: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:31:26: [INFO] Layout offset: (23812500, 28575000)
13:31:26: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:31:26: [INFO] Placing additional elements for SW69
13:31:26: [INFO] Placing additional elements for SW68
13:31:26: [INFO] Placing additional elements for SW67a
13:31:26: [INFO] Placing additional elements for SW67
13:31:26: [INFO] Placing additional elements for SW66a
13:31:26: [INFO] Placing additional elements for SW66
13:31:26: [INFO] Placing additional elements for SW65a
13:31:26: [INFO] Placing additional elements for SW65
13:31:26: [INFO] Placing additional elements for SW64
13:31:26: [INFO] Placing additional elements for SW63
13:31:26: [INFO] Placing additional elements for SW62a
13:31:26: [INFO] Placing additional elements for SW62
13:31:26: [INFO] Placing additional elements for SW61a
13:31:26: [INFO] Placing additional elements for SW61
13:31:26: [INFO] Placing additional elements for SW60c
13:31:26: [INFO] Placing additional elements for SW60b
13:31:26: [INFO] Placing additional elements for SW60a
13:31:26: [INFO] Placing additional elements for SW60
13:31:26: [INFO] Placing additional elements for SW59
13:31:26: [INFO] Placing additional elements for SW58a
13:31:26: [INFO] Placing additional elements for SW58
13:31:26: [INFO] Placing additional elements for SW57a
13:31:26: [INFO] Placing additional elements for SW57
13:31:26: [INFO] Placing additional elements for SW56
13:31:26: [INFO] Placing additional elements for SW55
13:31:26: [INFO] Placing additional elements for SW54
13:31:26: [INFO] Placing additional elements for SW53
