=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:02: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoCsAaO4CetFIMwAcG4AxruAMQDstd4AviQIxoLgYTTwBMSP6TOXhVSY8YxII0PDnC65CSaiiaZ0sgLpoAUGCi5mywdlwBaZIWJCKlAIYPHkzNPacyt8RLXhpzOQrwzMgqPuj+7sKY9o4OcuAA7rg8YWjUADoAdllZrgEGQfyqJOgIOdmZfvHoGRW5aP7aeoF4AiQ48BZIzDwkUVR09D69bvIFcD1I0jYilF5izuAAbDLgTfrcE6jt5pbWHrOxcSRJhcWYrBFj-XPzi6yy7pvBRT4rV8ts+adb55-Ua10+g6cC6PT6tkGtEW+C+6xaRjamBBXSsEMOR3iPyMoRIvSuEBu83Iw1WT1wAE5jD5qGTMLSCQdolCASdkq8SLSAfDxqwZtEjnYseyBD5YYyiXcxXSWlTRSRiI9MMQJbZBcLeNSFWlyllWKMWsgTNitcq2LrMpd4sRauUrTznmyzj4ACwNfLPfDbTAmv4UuFAiAAJ0MvUwQc2LuMJCDIKMJhRRmmTNEUqkaHw8WkLqzaBQuaWgOa4y6f1YmZYaBzlfzlcLDt2HMwvQrzar8V6tbb9cD42Q8swsNb4Fh1cHefisJ7xee3sSIr+bq7hLVmNdaGnwMbaJ9hlQ68zPJDnXB4eebvDcaKJE2ZijCfMSfR0WJi3QhZKE8-Y-A6EPvdvP4Vg-TAVi7T4fxWf8Z3MKNcXpDd4lpcDaR-WloI2cwUCbcBiBA3CvzNH9iAwlozGwpF501eDwH9fMG06PgH06SxaX5Kh1SdX4fH9Q9NCAA
13:36:07: [INFO] Placing additional elements for SW25
13:36:07: [INFO] Placing additional elements for SW24
13:36:07: [INFO] Placing additional elements for SW23
13:36:07: [INFO] Placing additional elements for SW22
13:36:07: [INFO] Placing additional elements for SW21
13:36:07: [INFO] Placing additional elements for SW20
13:36:07: [INFO] Placing additional elements for SW19
13:36:07: [INFO] Placing additional elements for SW18
13:36:07: [INFO] Placing additional elements for SW17
13:36:07: [INFO] Placing additional elements for SW16
13:36:07: [INFO] Placing additional elements for SW15
13:36:07: [INFO] Placing additional elements for SW14
13:36:07: [INFO] Placing additional elements for SW13
13:36:07: [INFO] Placing additional elements for SW12
13:36:07: [INFO] Placing additional elements for SW11
13:36:07: [INFO] Placing additional elements for SW10
13:36:07: [INFO] Placing additional elements for SW9
13:36:07: [INFO] Placing additional elements for SW8
13:36:07: [INFO] Placing additional elements for SW7
13:36:07: [INFO] Placing additional elements for SW6
13:36:07: [INFO] Placing additional elements for SW5
13:36:07: [INFO] Placing additional elements for SW4
13:36:07: [INFO] Placing additional elements for SW3
13:36:07: [INFO] Placing additional elements for SW2
13:36:07: [INFO] Placing additional elements for SW1
13:36:07: [INFO] Routing SW66 with D66
13:36:07: [INFO] Using internal autorouter method
13:36:07: [INFO] Routing pad 'SW66:2' at (247885183, 120217186) with pad 'D66:2' at (251966439, 127201264) using coordinate system rotated by 348.0 degree(s)
13:36:07: [INFO] Adding track segment (B.Cu): [(247885183, 120217186), (248953848, 125244865)]
13:36:07: [INFO] Adding track segment (B.Cu): [(248953848, 125244865), (251966439, 127201264)]
13:36:07: [INFO] Routing SW65 with D65
13:36:07: [INFO] Using internal autorouter method
13:36:07: [INFO] Routing pad 'SW65:2' at (287996714, 114223044) with pad 'D65:2' at (292077970, 121207122) using coordinate system rotated by 348.0 degree(s)
13:36:07: [INFO] Adding track segment (B.Cu): [(287996714, 114223044), (289065379, 119250723)]
13:36:07: [INFO] Adding track segment (B.Cu): [(289065379, 119250723), (292077970, 121207122)]
13:36:07: [INFO] Routing SW64 with D64
13:36:07: [INFO] Using internal autorouter method
13:36:07: [INFO] Routing pad 'SW64:2' at (359727500, 111506000) with pad 'D64:2' at (362267500, 119186000) using coordinate system rotated by 0 degree(s)
13:36:07: [INFO] Adding track segment (B.Cu): [(359727500, 111506000), (359727500, 116646000)]
13:36:07: [INFO] Adding track segment (B.Cu): [(359727500, 116646000), (362267500, 119186000)]
13:36:07: [INFO] Routing SW63a with D63
13:36:07: [INFO] Using internal autorouter method
13:36:07: [INFO] Routing pad 'SW63a:2' at (378777500, 92456000) with pad 'D63:2' at (364648750, 100136000) using coordinate system rotated by 0 degree(s)
13:36:07: [INFO] Adding track segment (B.Cu): [(378777500, 92456000), (372328750, 92456000)]
13:36:07: [INFO] Adding track segment (B.Cu): [(372328750, 92456000), (364648750, 100136000)]
13:36:07: [INFO] Routing SW63 with D63
13:36:07: [INFO] Using internal autorouter method
13:36:07: [INFO] Routing pad 'SW63:2' at (362108750, 92456000) with pad 'D63:2' at (364648750, 100136000) using coordinate system rotated by 0 degree(s)
13:36:07: [INFO] Adding track segment (B.Cu): [(362108750, 92456000), (362108750, 97596000)]
13:36:07: [INFO] Adding track segment (B.Cu): [(362108750, 97596000), (364648750, 100136000)]
13:36:07: [INFO] Routing SW62 with D62
13:36:07: [INFO] Using internal autorouter method
13:36:07: [INFO] Routing pad 'SW62:2' at (227619967, 105049103) with pad 'D62:2' at (231701223, 112033181) using coordinate system rotated by 348.0 degree(s)
13:36:07: [INFO] Adding track segment (B.Cu): [(227619967, 105049103), (228688632, 110076781)]
13:36:07: [INFO] Adding track segment (B.Cu): [(228688632, 110076781), (231701223, 112033181)]
13:36:07: [INFO] Routing SW61 with D61
13:36:07: [INFO] Using internal autorouter method
13:36:07: [INFO] Routing pad 'SW61:2' at (246253679, 101088385) with pad 'D61:2' at (250334935, 108072463) using coordinate system rotated by 348.0 degree(s)
13:36:07: [INFO] Adding track segment (B.Cu): [(246253679, 101088385), (247322344, 106116063)]
13:36:07: [INFO] Adding track segment (B.Cu): [(247322344, 106116063), (250334935, 108072463)]
13:36:07: [INFO] Routing SW60 with D60
13:36:07: [INFO] Using internal autorouter method
13:36:07: [INFO] Routing pad 'SW60:2' at (264887391, 97127667) with pad 'D60:2' at (268968647, 104111745) using coordinate system rotated by 348.0 degree(s)
13:36:07: [INFO] Adding track segment (B.Cu): [(264887391, 97127667), (265956056, 102155345)]
13:36:07: [INFO] Adding track segment (B.Cu): [(265956056, 102155345), (268968647, 104111745)]
13:36:07: [INFO] Routing SW59 with D59
13:36:07: [INFO] Using internal autorouter method
13:36:07: [INFO] Routing pad 'SW59:2' at (283521103, 93166949) with pad 'D59:2' at (287602359, 100151027) using coordinate system rotated by 348.0 degree(s)
13:36:07: [INFO] Adding track segment (B.Cu): [(283521103, 93166949), (284589768, 98194627)]
13:36:07: [INFO] Adding track segment (B.Cu): [(284589768, 98194627), (287602359, 100151027)]
13:36:07: [INFO] Routing SW58 with D58
13:36:07: [INFO] Using internal autorouter method
13:36:07: [INFO] Routing pad 'SW58:2' at (307340000, 92456000) with pad 'D58:2' at (309880000, 100136000) using coordinate system rotated by 0 degree(s)
13:36:07: [INFO] Adding track segment (B.Cu): [(307340000, 92456000), (307340000, 97596000)]
13:36:07: [INFO] Adding track segment (B.Cu): [(307340000, 97596000), (309880000, 100136000)]
13:36:07: [INFO] Routing SW57 with D57
13:36:07: [INFO] Using internal autorouter method
13:36:07: [INFO] Routing pad 'SW57:2' at (326390000, 92456000) with pad 'D57:2' at (328930000, 100136000) using coordinate system rotated by 0 degree(s)
13:36:07: [INFO] Adding track segment (B.Cu): [(326390000, 92456000), (326390000, 97596000)]
13:36:07: [INFO] Adding track segment (B.Cu): [(326390000, 97596000), (328930000, 100136000)]
13:36:07: [INFO] Routing SW56 with D56
13:36:07: [INFO] Using internal autorouter method
13:36:07: [INFO] Routing pad 'SW56:2' at (352583750, 92456000) with pad 'D56:2' at (355123750, 100136000) using coordinate system rotated by 0 degree(s)
13:36:07: [INFO] Adding track segment (B.Cu): [(352583750, 92456000), (352583750, 97596000)]
13:36:07: [INFO] Adding track segment (B.Cu): [(352583750, 97596000), (355123750, 100136000)]
13:36:07: [INFO] Routing SW55 with D55
13:36:07: [INFO] Using internal autorouter method
13:36:07: [INFO] Routing pad 'SW55:2' at (362108750, 73406000) with pad 'D55:2' at (364648750, 81086000) using coordinate system rotated by 0 degree(s)
13:36:07: [INFO] Adding track segment (B.Cu): [(362108750, 73406000), (362108750, 78546000)]
