=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:42:29: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreAvgGgQBi7uDhAB6xy4B0ATAKw5TlKQuuYP4CMReW1P4fAGYepclTrZeAFgH5acrADZR4MvAm0pgrMkUAORQE5wAXSwAoMGvLJKyLQ066Bzw06wnzViAE9yALRUDgzQ8EgAhlHR7AjOhMSM4YisbNrO3B78HiIesh4KiWEIiNExDADu5JyUjnHKADoAds3N+ITe1lXwNXXg1AStLU3tqsXMqdDaA5xDbQQCA9RzIwsMA0Iro+tY0ltrCAO0+wlwEOOlZRGx-Y3D86diPTT0CBdo6NNYhp3nTJdlATdOA1SQMISDe5NeICCGzKEwor-SbQSrkITaCGbBEHP7JK7XTFYY44x7gYGgvoQpQrRFnGwaF6hf4fVA3CF6cHfWGeMyWazqOBKJkIfyM17k6oi8AAC3IAwQFX4zwlMuVIIYJHVQReXxpUK4fJ8SRKKKBUrBh0hQ0NO3hNqwmStywNjsWWGxDqdtz2ru9R323F+4DFFGlFwJ7OtwwyPPtMbdSOSZrR8AxXM9CadeJKkdTIN1XJJQ1jiQphYQ1Npbs64AhuGr2Xp5ctdcdjbGyMm5rTRMzzWcTZzkSuPYLrYhxYTTbb+pLfCNXQtVOjA49qhbK-ja9y9IuKcV8vsK-70PXSdzo-zlKJU53PLnCZEwc3RIbOPyzeXRO3Z8-w5Sbt83TSsPWrf8TRHQFb3Ah9YJfb8uXfedClA39nFQgCD0leBqGPPtq0wyCAXKQ9ngnYlCI3RDQMfNcFAQ8iV2QhMVESQUanwN4u1SMcQLbU9nDY+kOMoLjiLzMjxxXOizxUUxTCAA
13:42:32: [INFO] Routing SW24a with D24
13:42:32: [INFO] Using internal autorouter method
13:42:32: [INFO] Routing pad 'SW24a:2' at (102552500, 75882500) with pad 'D24:2' at (109855000, 83562500) using coordinate system rotated by 0 degree(s)
13:42:32: [INFO] Routing SW24 with D24
13:42:32: [INFO] Using internal autorouter method
13:42:32: [INFO] Routing pad 'SW24:2' at (107315000, 75882500) with pad 'D24:2' at (109855000, 83562500) using coordinate system rotated by 0 degree(s)
13:42:32: [INFO] Adding track segment (B.Cu): [(107315000, 75882500), (107315000, 81022500)]
13:42:32: [INFO] Adding track segment (B.Cu): [(107315000, 81022500), (109855000, 83562500)]
13:42:32: [INFO] Routing SW23a with D23
13:42:32: [INFO] Using internal autorouter method
13:42:32: [INFO] Routing pad 'SW23a:2' at (83502500, 75882500) with pad 'D23:2' at (90805000, 83562500) using coordinate system rotated by 0 degree(s)
13:42:32: [INFO] Routing SW23 with D23
13:42:32: [INFO] Using internal autorouter method
13:42:32: [INFO] Routing pad 'SW23:2' at (88265000, 75882500) with pad 'D23:2' at (90805000, 83562500) using coordinate system rotated by 0 degree(s)
13:42:32: [INFO] Adding track segment (B.Cu): [(88265000, 75882500), (88265000, 81022500)]
13:42:32: [INFO] Adding track segment (B.Cu): [(88265000, 81022500), (90805000, 83562500)]
13:42:32: [INFO] Routing SW22a with D22
13:42:32: [INFO] Using internal autorouter method
13:42:32: [INFO] Routing pad 'SW22a:2' at (64452500, 75882500) with pad 'D22:2' at (71755000, 83562500) using coordinate system rotated by 0 degree(s)
13:42:32: [INFO] Routing SW22 with D22
13:42:32: [INFO] Using internal autorouter method
13:42:32: [INFO] Routing pad 'SW22:2' at (69215000, 75882500) with pad 'D22:2' at (71755000, 83562500) using coordinate system rotated by 0 degree(s)
13:42:32: [INFO] Adding track segment (B.Cu): [(69215000, 75882500), (69215000, 81022500)]
13:42:32: [INFO] Adding track segment (B.Cu): [(69215000, 81022500), (71755000, 83562500)]
13:42:32: [INFO] Routing SW21a with D21
13:42:32: [INFO] Using internal autorouter method
