=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:29:46: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDYB0B2ArAXwDR3BjggCwA6AdhRQAxHh4FEZWXm0LgC6OAUGOAE9YcaigBMhfAGNh4AMRpFS8Lny1q9OBGjxRk8DPjypJ0yobtN4WmKu0AzHZzEnGJ0idpN24WPHYGQgAOK0IATlCiDUCiDhiEW3jHPAhDfDkAQyzsqwB3X1VGEhYaHA1uPlTZOVMzQoQy7yhhPQY0+Wychnz4BBQA-Aa4rQNq2pNzQZxEqeSplwYGt0WcDxTm+D9MQqQcLwZdkIOcCOOEaPxdhGHwK5nbojmIHsR+naIyVgoG8t5gcDEjXWOhE-Ta1U6WTywj62wYgOGVSMNXGkwB0ysgLm6IW+EByzxqyaIK2A3AaD2VgpR3wFNOtKiVNiTISTXaCiUimhm38hQpxS+5B+XD+SPS4xkhXsQJGINa0ghkO5cD8EilRBKQplYuMqPV2OluPA0oJxqJDGl+1lvl5DCCOBp4Ht9KdjLtzPdrPW7MhGWVqrJ9oQ9k1gIuOpRtTRQbcFX4IL6+h9Su6MNt+GI2vALz6aoYmcRG1eSbGevzq010vD2ZteYze0rWZJ-lTPLh+DCDs1merzZLyN9ysThU7wdDWZzbwYo+YgrDIsqRYwYPwQl0K9GyIlQ-QZMzSEbhcne4bgulhebElbr3b4E7QW7dGnJ0fF9r-fSg+vucDj3HhfZbdCiDT4WARBd4xhVA6zvP85yfDsPn-KwZ2QuMfF6e1VxaXdwWRTkuW-Ft8AAC18bpbF6DcSMoxAGEgWiAFpRBg-lZxYIYIIwxAKQVLcywZMdBU49Ci0TPDPxTfBJxg89NU471SyjdUxHkuhOE4IA
13:29:51: [INFO] Placing additional elements for SW35
13:29:51: [INFO] Placing additional elements for SW34a
13:29:51: [INFO] Placing additional elements for SW34
13:29:51: [INFO] Placing additional elements for SW33a
13:29:51: [INFO] Placing additional elements for SW33
13:29:51: [INFO] Placing additional elements for SW32
13:29:51: [INFO] Placing additional elements for SW31
13:29:51: [INFO] Placing additional elements for SW30
13:29:51: [INFO] Placing additional elements for SW29
13:29:51: [INFO] Placing additional elements for SW28
13:29:51: [INFO] Placing additional elements for SW27
13:29:51: [INFO] Placing additional elements for SW26
13:29:51: [INFO] Placing additional elements for SW25
13:29:51: [INFO] Placing additional elements for SW24a
13:29:51: [INFO] Placing additional elements for SW24
13:29:51: [INFO] Placing additional elements for SW23
13:29:51: [INFO] Placing additional elements for SW22
13:29:51: [INFO] Placing additional elements for SW21
13:29:51: [INFO] Placing additional elements for SW20
13:29:51: [INFO] Placing additional elements for SW19
13:29:51: [INFO] Placing additional elements for SW18
13:29:51: [INFO] Placing additional elements for SW17
13:29:51: [INFO] Placing additional elements for SW16
13:29:51: [INFO] Placing additional elements for SW15
13:29:51: [INFO] Placing additional elements for SW14
13:29:51: [INFO] Placing additional elements for SW13
13:29:51: [INFO] Placing additional elements for SW12
13:29:51: [INFO] Placing additional elements for SW11
13:29:51: [INFO] Placing additional elements for SW10
13:29:51: [INFO] Placing additional elements for SW9
13:29:51: [INFO] Placing additional elements for SW8
13:29:51: [INFO] Placing additional elements for SW7
13:29:51: [INFO] Placing additional elements for SW6
13:29:51: [INFO] Placing additional elements for SW5
13:29:51: [INFO] Placing additional elements for SW4
13:29:51: [INFO] Placing additional elements for SW3
13:29:51: [INFO] Placing additional elements for SW2
13:29:51: [INFO] Placing additional elements for SW1
13:29:51: [INFO] Routing SW72a with D72
13:29:51: [INFO] Using internal autorouter method
13:29:51: [INFO] Routing pad 'SW72a:2' at (388302500, 128270000) with pad 'D72:2' at (386080000, 135950000) using coordinate system rotated by 0 degree(s)
13:29:51: [INFO] Routing SW72 with D72
13:29:51: [INFO] Using internal autorouter method
13:29:51: [INFO] Routing pad 'SW72:2' at (383540000, 128270000) with pad 'D72:2' at (386080000, 135950000) using coordinate system rotated by 0 degree(s)
13:29:51: [INFO] Routing SW71 with D71
13:29:51: [INFO] Using internal autorouter method
13:29:51: [INFO] Routing pad 'SW71:2' at (369252500, 128270000) with pad 'D71:2' at (371792500, 135950000) using coordinate system rotated by 0 degree(s)
13:29:51: [INFO] Adding track segment (B.Cu): [(369252500, 128270000), (369252500, 133410000)]
13:29:51: [INFO] Adding track segment (B.Cu): [(369252500, 133410000), (371792500, 135950000)]
13:29:51: [INFO] Routing SW70a with D70
13:29:51: [INFO] Using internal autorouter method
13:29:51: [INFO] Routing pad 'SW70a:2' at (350202500, 128270000) with pad 'D70:2' at (357505000, 135950000) using coordinate system rotated by 0 degree(s)
13:29:51: [INFO] Routing SW70 with D70
13:29:51: [INFO] Using internal autorouter method
13:29:51: [INFO] Routing pad 'SW70:2' at (354965000, 128270000) with pad 'D70:2' at (357505000, 135950000) using coordinate system rotated by 0 degree(s)
13:29:51: [INFO] Adding track segment (B.Cu): [(354965000, 128270000), (354965000, 133410000)]
13:29:51: [INFO] Adding track segment (B.Cu): [(354965000, 133410000), (357505000, 135950000)]
13:29:51: [INFO] Routing SW69 with D69
13:29:51: [INFO] Using internal autorouter method
13:29:51: [INFO] Routing pad 'SW69:2' at (283527500, 128270000) with pad 'D69:2' at (286067500, 135950000) using coordinate system rotated by 0 degree(s)
13:29:51: [INFO] Adding track segment (B.Cu): [(283527500, 128270000), (283527500, 133410000)]
13:29:51: [INFO] Adding track segment (B.Cu): [(283527500, 133410000), (286067500, 135950000)]
13:29:51: [INFO] Routing SW68a with D68
13:29:51: [INFO] Using internal autorouter method
13:29:51: [INFO] Routing pad 'SW68a:2' at (257333750, 128270000) with pad 'D68:2' at (269398750, 135950000) using coordinate system rotated by 0 degree(s)
13:29:51: [INFO] Routing SW68 with D68
13:29:51: [INFO] Using internal autorouter method
13:29:51: [INFO] Routing pad 'SW68:2' at (266858750, 128270000) with pad 'D68:2' at (269398750, 135950000) using coordinate system rotated by 0 degree(s)
13:29:51: [INFO] Adding track segment (B.Cu): [(266858750, 128270000), (266858750, 133410000)]
13:29:51: [INFO] Adding track segment (B.Cu): [(266858750, 133410000), (269398750, 135950000)]
13:29:51: [INFO] Routing SW67 with D67
13:29:51: [INFO] Using internal autorouter method
13:29:51: [INFO] Routing pad 'SW67:2' at (388302500, 109220000) with pad 'D67:2' at (390842500, 116900000) using coordinate system rotated by 0 degree(s)
13:29:51: [INFO] Adding track segment (B.Cu): [(388302500, 109220000), (388302500, 114360000)]
13:29:51: [INFO] Adding track segment (B.Cu): [(388302500, 114360000), (390842500, 116900000)]
13:29:51: [INFO] Routing SW66 with D66
