=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:30:34: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14B2VdAVm3AF0UAoMKWOAJjXAE9GBaDAOmNaxNccfIwCMJTCgAsw0fFKTysvA3gTW5IdTry45dB3jceADkUCUpOWsRKrVWvSNwThC+iwZhUsTYJwYhpkKH6aKN469AEIrC5ukmIUqgH86ABsFFF6LIZcvGngSUIp4oky-owe4JkqIrbBNSjaTnoG7Plm1UnWpfDIrJnW2R3GBd0RPklh9QFBkpkzEADGjOAAxIRb2+ALkyMxcZ2ErKvwG8uXV7usLDh9cIUnOAeMuaOuBZIsJbNltxUHtUTnU9I0Ti1dLZ2vFeOZvg4HgN0Cdhq0Pm52md0JttlsbugWN5VNiLldLgTwCwlg1waEfCdIujDnkxnxJLF7n8iJJTFlmW8jmzCrFfmCOYDufpeZLxaw+ZDolUhZ8uhLelLeNJWABnAC2awATgB7AAuAH0AKbLIKU7WkAA6ADtna6Xe63c7LTSArxkeAAJxWT0e0Nuy1i2x+3UG86UvloqGwvhYtbrACGmazPn1RrNVptfglGBDWDEIZDluJ9VJ63JFJja0psR94kafJptaz2cb5xNFuttplJdD0wroctXL0nDE7VzceLpcmDzE-r5I7dSSZUJZGK+rG1rZ5rCDfle8HeycK2urcvQ2sjAWqQcf-3QQe39ENb3ehqfPFidBDRcaQeGkdoAAtxB4aptRedE-0YdIwNONN61WVgoPUGDJG1WQRm-YwmF-AJTB4TJ0ACGceCwdAu27dMfCwwIcJPfkoUQ+AAz4VgqLEGjMOg58KkoSggA
13:30:37: [INFO] Add D36 footprint
13:30:37: [INFO] Add SW37 footprint
13:30:37: [INFO] Add D37 footprint
13:30:37: [INFO] Add SW38 footprint
13:30:37: [INFO] Add D38 footprint
13:30:37: [INFO] Add SW39 footprint
13:30:37: [INFO] Add D39 footprint
13:30:37: [INFO] Add SW40 footprint
13:30:37: [INFO] Add D40 footprint
13:30:37: [INFO] Add SW41 footprint
13:30:37: [INFO] Add D41 footprint
13:30:37: [INFO] Add SW42 footprint
13:30:37: [INFO] Add D42 footprint
13:30:37: [INFO] Add SW43 footprint
13:30:37: [INFO] Add D43 footprint
13:30:37: [INFO] Add SW44 footprint
13:30:37: [INFO] Add D44 footprint
13:30:37: [INFO] Add SW45 footprint
13:30:37: [INFO] Add D45 footprint
13:30:37: [INFO] Add SW46 footprint
13:30:38: [INFO] Add D46 footprint
13:30:38: [INFO] Add SW47 footprint
13:30:38: [INFO] Add D47 footprint
13:30:38: [INFO] Add SW48 footprint
13:30:38: [INFO] Add D48 footprint
13:30:38: [INFO] Add SW49 footprint
13:30:38: [INFO] Add D49 footprint
13:30:38: [INFO] Add SW49a footprint
13:30:38: [INFO] Add SW50 footprint
13:30:38: [INFO] Add D50 footprint
13:30:38: [INFO] Add SW51 footprint
13:30:38: [INFO] Add D51 footprint
13:30:38: [INFO] Add SW52 footprint
13:30:38: [INFO] Add D52 footprint
13:30:38: [INFO] Add SW53 footprint
13:30:38: [INFO] Add D53 footprint
13:30:38: [INFO] Add SW54 footprint
13:30:38: [INFO] Add D54 footprint
13:30:38: [INFO] Add SW55 footprint
13:30:38: [INFO] Add D55 footprint
13:30:38: [INFO] Add SW56 footprint
13:30:38: [INFO] Add D56 footprint
13:30:38: [INFO] Add SW57 footprint
13:30:38: [INFO] Add D57 footprint
13:30:38: [INFO] Add SW58 footprint
13:30:38: [INFO] Add D58 footprint
13:30:38: [INFO] Add SW59 footprint
13:30:38: [INFO] Add D59 footprint
13:30:38: [INFO] Add SW60 footprint
13:30:38: [INFO] Add D60 footprint
13:30:38: [INFO] Detected layout convertible to matrix annotated keyboard
13:30:38: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:30:38: [INFO] Layout offset: (28575000, 28575000)
13:30:38: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:30:38: [INFO] Placing additional elements for SW60
13:30:38: [INFO] Placing additional elements for SW59
13:30:38: [INFO] Placing additional elements for SW58
13:30:38: [INFO] Placing additional elements for SW57
13:30:38: [INFO] Placing additional elements for SW56
13:30:38: [INFO] Placing additional elements for SW55
13:30:38: [INFO] Placing additional elements for SW54
13:30:38: [INFO] Placing additional elements for SW53
13:30:38: [INFO] Placing additional elements for SW52
13:30:38: [INFO] Placing additional elements for SW51
13:30:38: [INFO] Placing additional elements for SW50
13:30:38: [INFO] Placing additional elements for SW49a
13:30:38: [INFO] Placing additional elements for SW49
13:30:38: [INFO] Placing additional elements for SW48
13:30:38: [INFO] Placing additional elements for SW47
13:30:38: [INFO] Placing additional elements for SW46
13:30:38: [INFO] Placing additional elements for SW45
13:30:38: [INFO] Placing additional elements for SW44
13:30:38: [INFO] Placing additional elements for SW43
13:30:38: [INFO] Placing additional elements for SW42
13:30:38: [INFO] Placing additional elements for SW41
13:30:38: [INFO] Placing additional elements for SW40
13:30:38: [INFO] Placing additional elements for SW39
13:30:38: [INFO] Placing additional elements for SW38
13:30:38: [INFO] Placing additional elements for SW37
13:30:38: [INFO] Placing additional elements for SW36
13:30:38: [INFO] Placing additional elements for SW35
13:30:38: [INFO] Placing additional elements for SW34
13:30:38: [INFO] Placing additional elements for SW33
13:30:38: [INFO] Placing additional elements for SW32
13:30:38: [INFO] Placing additional elements for SW31
13:30:38: [INFO] Placing additional elements for SW30
13:30:38: [INFO] Placing additional elements for SW29
13:30:38: [INFO] Placing additional elements for SW28
13:30:38: [INFO] Placing additional elements for SW27
13:30:38: [INFO] Placing additional elements for SW26
13:30:38: [INFO] Placing additional elements for SW25
13:30:38: [INFO] Placing additional elements for SW24
13:30:38: [INFO] Placing additional elements for SW23
13:30:38: [INFO] Placing additional elements for SW22
13:30:38: [INFO] Placing additional elements for SW21
13:30:38: [INFO] Placing additional elements for SW20
13:30:38: [INFO] Placing additional elements for SW19a
13:30:38: [INFO] Placing additional elements for SW19
13:30:38: [INFO] Placing additional elements for SW18
13:30:38: [INFO] Placing additional elements for SW17
13:30:38: [INFO] Placing additional elements for SW16
13:30:38: [INFO] Placing additional elements for SW15
13:30:38: [INFO] Placing additional elements for SW14
13:30:38: [INFO] Placing additional elements for SW13
13:30:38: [INFO] Placing additional elements for SW12
13:30:38: [INFO] Placing additional elements for SW11
13:30:38: [INFO] Placing additional elements for SW10
13:30:38: [INFO] Placing additional elements for SW9
13:30:38: [INFO] Placing additional elements for SW8
13:30:38: [INFO] Placing additional elements for SW7
13:30:38: [INFO] Placing additional elements for SW6
13:30:38: [INFO] Placing additional elements for SW5
13:30:38: [INFO] Placing additional elements for SW4
13:30:38: [INFO] Placing additional elements for SW3
13:30:38: [INFO] Placing additional elements for SW2
13:30:38: [INFO] Placing additional elements for SW1
13:30:38: [INFO] Routing SW60 with D60
13:30:38: [INFO] Using internal autorouter method
13:30:38: [INFO] Routing pad 'SW60:S2' at (191785000, 101322500) with pad 'D60:2' at (182365000, 103922500) using coordinate system rotated by 0 degree(s)
13:30:38: [INFO] Adding track segment (B.Cu): [(191785000, 101322500), (184965000, 101322500)]
13:30:38: [INFO] Adding track segment (B.Cu): [(184965000, 101322500), (182365000, 103922500)]
13:30:38: [INFO] Routing SW59 with D59
13:30:38: [INFO] Using internal autorouter method
13:30:38: [INFO] Routing pad 'SW59:2' at (210332810, 124501172) with pad 'D59:2' at (215564836, 130670443) using coordinate system rotated by 338.0 degree(s)
13:30:38: [INFO] Adding track segment (B.Cu): [(210332810, 124501172), (212258286, 129266895)]
13:30:39: [INFO] Adding track segment (B.Cu): [(212258286, 129266895), (215564836, 130670443)]
13:30:39: [INFO] Routing SW58 with D58
13:30:39: [INFO] Using internal autorouter method
13:30:39: [INFO] Routing pad 'SW58:2' at (189377810, 124501172) with pad 'D58:2' at (194609836, 130670443) using coordinate system rotated by 338.0 degree(s)
13:30:39: [INFO] Adding track segment (B.Cu): [(189377810, 124501172), (191303286, 129266895)]
13:30:39: [INFO] Adding track segment (B.Cu): [(191303286, 129266895), (194609836, 130670443)]
13:30:39: [INFO] Routing SW57 with D57
13:30:39: [INFO] Using internal autorouter method
13:30:39: [INFO] Routing pad 'SW57:2' at (231140000, 114935000) with pad 'D57:2' at (233680000, 122615000) using coordinate system rotated by 0 degree(s)
13:30:39: [INFO] Adding track segment (B.Cu): [(231140000, 114935000), (231140000, 120075000)]
13:30:39: [INFO] Adding track segment (B.Cu): [(231140000, 120075000), (233680000, 122615000)]
13:30:39: [INFO] Routing SW56 with D56
13:30:39: [INFO] Using internal autorouter method
13:30:39: [INFO] Routing pad 'SW56:2' at (250190000, 109220000) with pad 'D56:2' at (252730000, 116900000) using coordinate system rotated by 0 degree(s)
13:30:39: [INFO] Adding track segment (B.Cu): [(250190000, 109220000), (250190000, 114360000)]
13:30:39: [INFO] Adding track segment (B.Cu): [(250190000, 114360000), (252730000, 116900000)]
13:30:39: [INFO] Routing SW55 with D55
13:30:39: [INFO] Using internal autorouter method
13:30:39: [INFO] Routing pad 'SW55:2' at (269240000, 114935000) with pad 'D55:2' at (271780000, 122615000) using coordinate system rotated by 0 degree(s)
13:30:39: [INFO] Adding track segment (B.Cu): [(269240000, 114935000), (269240000, 120075000)]
13:30:39: [INFO] Adding track segment (B.Cu): [(269240000, 120075000), (271780000, 122615000)]
13:30:39: [INFO] Routing SW54 with D54
13:30:39: [INFO] Using internal autorouter method
13:30:39: [INFO] Routing pad 'SW54:2' at (212090000, 98742500) with pad 'D54:2' at (214630000, 106422500) using coordinate system rotated by 0 degree(s)
13:30:39: [INFO] Adding track segment (B.Cu): [(212090000, 98742500), (212090000, 103882500)]
13:30:39: [INFO] Adding track segment (B.Cu): [(212090000, 103882500), (214630000, 106422500)]
13:30:39: [INFO] Routing SW53 with D53
13:30:39: [INFO] Using internal autorouter method
13:30:39: [INFO] Routing pad 'SW53:2' at (231140000, 95885000) with pad 'D53:2' at (233680000, 103565000) using coordinate system rotated by 0 degree(s)
13:30:39: [INFO] Adding track segment (B.Cu): [(231140000, 95885000), (231140000, 101025000)]
13:30:39: [INFO] Adding track segment (B.Cu): [(231140000, 101025000), (233680000, 103565000)]
13:30:39: [INFO] Routing SW52 with D52
13:30:39: [INFO] Using internal autorouter method
13:30:39: [INFO] Routing pad 'SW52:2' at (250190000, 90170000) with pad 'D52:2' at (252730000, 97850000) using coordinate system rotated by 0 degree(s)
13:30:39: [INFO] Adding track segment (B.Cu): [(250190000, 90170000), (250190000, 95310000)]
13:30:39: [INFO] Adding track segment (B.Cu): [(250190000, 95310000), (252730000, 97850000)]
