=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:28: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0SA0dwGNZYMQCGxJ4AvpuAMzoBsAOgHZNMAM6C4lATOgOwtmjdpwC66AFBgoebmkoBPPKxTcMWXPHD4+uveUrtWXOBGjwVaypoLY79g1gTpjhjifDPOb7ibPLVdRw8bRJSCid0XzcqD2dYtwAWPxkLQOsQ-HsHCM90ZLckOPQit1oU8zhLIJtQsMJHPPLMfzS1XOc+D3YADmK+8SlWuDkgpTaazOy7Rt5XLBp58F5vBfceKI8aaKxeBLX95fyt443StfOj5tNgrSJ6jwB3WVyaBiE2FwqA9soaLo2fT+6AGkmklW4vCw4zgAFpqhk7np9JRnvAEOksAALWSo3zo+TY-GISiQYnwwK5IyCJhecCDcGyQngGEUviTO71BqovAYpC5RJfFq3WzTRoYJaC1bgDDSwU7GWbSiCw4YQ6CgpYDCa8CCy4YS6C64QNGINC5DDvQTOebDBEaTJc8X8DyCoFakH0sHDbjOaF4ClWB13aa4KkuGmMOkMn3M1kqdmIghOnkE9m5WhCm61LJi3J8LPgTPSgvSzMKgsKzOHAuHTM6gs6zOXAvnCA55G6J5M35YAtWoQ2r1DVIjP0sgP2kV1MLdtP8yg9OiRlYeACcy4+jFXMYn8DZQVNGN74CXrEjNGlG-PW8v3wmqZGlMXEdvWfbUzzL6v6ywS4VG4KkuhwbocS46huOpLpcG5ttO9yzo+cjpi+A5MHM95mkG8Gdl0uRLqCI4QsyOYplgR7mpQCBGHEQ7ChRC5OCIKQ5qGc5wHwHTxCxjoPI+fIdOw1yeM4xrgAxgkusKlRTh2naNAgnRxL0tGeqIohAA
13:32:33: [INFO] Add SW75 footprint
13:32:33: [INFO] Add D75 footprint
13:32:33: [INFO] Add SW76 footprint
13:32:33: [INFO] Add D76 footprint
13:32:33: [INFO] Add SW77 footprint
13:32:33: [INFO] Add D77 footprint
13:32:33: [INFO] Add SW78 footprint
13:32:33: [INFO] Add D78 footprint
13:32:33: [INFO] Add SW79 footprint
13:32:33: [INFO] Add D79 footprint
13:32:33: [INFO] Add SW80 footprint
13:32:33: [INFO] Add D80 footprint
13:32:33: [INFO] Add SW81 footprint
13:32:33: [INFO] Add D81 footprint
13:32:33: [INFO] Add SW82 footprint
13:32:33: [INFO] Add D82 footprint
13:32:33: [INFO] Add SW83 footprint
13:32:33: [INFO] Add D83 footprint
13:32:33: [INFO] Add SW84 footprint
13:32:33: [INFO] Add D84 footprint
13:32:33: [INFO] Add SW85 footprint
13:32:33: [INFO] Add D85 footprint
13:32:34: [INFO] Add SW86 footprint
13:32:34: [INFO] Add D86 footprint
13:32:34: [INFO] Add SW87 footprint
13:32:34: [INFO] Add D87 footprint
13:32:34: [INFO] Add ST87 footprint
13:32:34: [INFO] Add SW88 footprint
13:32:34: [INFO] Add D88 footprint
13:32:34: [INFO] Add SW89 footprint
13:32:34: [INFO] Add D89 footprint
13:32:34: [INFO] Add SW90 footprint
13:32:34: [INFO] Add D90 footprint
13:32:34: [INFO] Detected layout convertible to matrix annotated keyboard
13:32:34: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:32:34: [INFO] Layout offset: (38100000, 23812500)
13:32:34: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:32:34: [INFO] Placing additional elements for SW90
13:32:34: [INFO] Placing additional elements for SW89
13:32:34: [INFO] Placing additional elements for SW88
13:32:34: [INFO] Placing additional elements for SW87
13:32:34: [INFO] Placing additional elements for SW86
13:32:34: [INFO] Placing additional elements for SW85
13:32:34: [INFO] Placing additional elements for SW84
13:32:34: [INFO] Placing additional elements for SW83
13:32:34: [INFO] Placing additional elements for SW82
13:32:34: [INFO] Placing additional elements for SW81
13:32:34: [INFO] Placing additional elements for SW80
13:32:34: [INFO] Placing additional elements for SW79
13:32:34: [INFO] Placing additional elements for SW78
13:32:34: [INFO] Placing additional elements for SW77
13:32:34: [INFO] Placing additional elements for SW76
13:32:34: [INFO] Placing additional elements for SW75
13:32:34: [INFO] Placing additional elements for SW74
13:32:34: [INFO] Placing additional elements for SW73
13:32:34: [INFO] Placing additional elements for SW72a
13:32:34: [INFO] Placing additional elements for SW72
13:32:34: [INFO] Placing additional elements for SW71
13:32:34: [INFO] Placing additional elements for SW70
13:32:34: [INFO] Placing additional elements for SW69
13:32:34: [INFO] Placing additional elements for SW68
13:32:34: [INFO] Placing additional elements for SW67
13:32:34: [INFO] Placing additional elements for SW66a
13:32:34: [INFO] Placing additional elements for SW66
13:32:34: [INFO] Placing additional elements for SW65
13:32:34: [INFO] Placing additional elements for SW64
13:32:34: [INFO] Placing additional elements for SW63
13:32:34: [INFO] Placing additional elements for SW62
13:32:34: [INFO] Placing additional elements for SW61
13:32:34: [INFO] Placing additional elements for SW60
13:32:34: [INFO] Placing additional elements for SW59
13:32:34: [INFO] Placing additional elements for SW58
13:32:34: [INFO] Placing additional elements for SW57
13:32:34: [INFO] Placing additional elements for SW56
13:32:34: [INFO] Placing additional elements for SW55
13:32:34: [INFO] Placing additional elements for SW54
13:32:34: [INFO] Placing additional elements for SW53
13:32:34: [INFO] Placing additional elements for SW52
13:32:34: [INFO] Placing additional elements for SW51
13:32:34: [INFO] Placing additional elements for SW50
13:32:34: [INFO] Placing additional elements for SW49
13:32:34: [INFO] Placing additional elements for SW48
13:32:34: [INFO] Placing additional elements for SW47
13:32:34: [INFO] Placing additional elements for SW46
13:32:34: [INFO] Placing additional elements for SW45
13:32:34: [INFO] Placing additional elements for SW44
13:32:34: [INFO] Placing additional elements for SW43
13:32:34: [INFO] Placing additional elements for SW42
13:32:34: [INFO] Placing additional elements for SW41
13:32:34: [INFO] Placing additional elements for SW40
13:32:34: [INFO] Placing additional elements for SW39
13:32:34: [INFO] Placing additional elements for SW38
13:32:34: [INFO] Placing additional elements for SW37
13:32:34: [INFO] Placing additional elements for SW36
13:32:34: [INFO] Placing additional elements for SW35
13:32:34: [INFO] Placing additional elements for SW34
13:32:34: [INFO] Placing additional elements for SW33a
13:32:34: [INFO] Placing additional elements for SW33
13:32:34: [INFO] Placing additional elements for SW32
13:32:34: [INFO] Placing additional elements for SW31
13:32:34: [INFO] Placing additional elements for SW30
13:32:34: [INFO] Placing additional elements for SW29
13:32:34: [INFO] Placing additional elements for SW28
13:32:34: [INFO] Placing additional elements for SW27
13:32:34: [INFO] Placing additional elements for SW26
13:32:34: [INFO] Placing additional elements for SW25
13:32:34: [INFO] Placing additional elements for SW24
13:32:34: [INFO] Placing additional elements for SW23
13:32:34: [INFO] Placing additional elements for SW22
13:32:34: [INFO] Placing additional elements for SW21
13:32:34: [INFO] Placing additional elements for SW20
13:32:34: [INFO] Placing additional elements for SW19
13:32:34: [INFO] Placing additional elements for SW18
13:32:34: [INFO] Placing additional elements for SW17
13:32:34: [INFO] Placing additional elements for SW16
13:32:34: [INFO] Placing additional elements for SW15
13:32:34: [INFO] Placing additional elements for SW14
13:32:34: [INFO] Placing additional elements for SW13
13:32:34: [INFO] Placing additional elements for SW12
13:32:34: [INFO] Placing additional elements for SW11
13:32:34: [INFO] Placing additional elements for SW10
13:32:34: [INFO] Placing additional elements for SW9
13:32:34: [INFO] Placing additional elements for SW8
13:32:34: [INFO] Placing additional elements for SW7
13:32:34: [INFO] Placing additional elements for SW6
13:32:34: [INFO] Placing additional elements for SW5
13:32:34: [INFO] Placing additional elements for SW4
13:32:34: [INFO] Placing additional elements for SW3
13:32:34: [INFO] Placing additional elements for SW2
13:32:34: [INFO] Placing additional elements for SW1b
13:32:34: [INFO] Placing additional elements for SW1a
13:32:34: [INFO] Placing additional elements for SW1
13:32:34: [INFO] Routing SW90 with D90
13:32:34: [INFO] Using internal autorouter method
13:32:34: [INFO] Routing pad 'SW90:2' at (426402500, 152082500) with pad 'D90:2' at (428942500, 159762500) using coordinate system rotated by 0 degree(s)
13:32:34: [INFO] Adding track segment (B.Cu): [(426402500, 152082500), (426402500, 157222500)]
13:32:34: [INFO] Adding track segment (B.Cu): [(426402500, 157222500), (428942500, 159762500)]
13:32:34: [INFO] Routing SW89 with D89
13:32:34: [INFO] Using internal autorouter method
13:32:34: [INFO] Routing pad 'SW89:2' at (388302500, 152082500) with pad 'D89:2' at (390842500, 159762500) using coordinate system rotated by 0 degree(s)
13:32:34: [INFO] Adding track segment (B.Cu): [(388302500, 152082500), (388302500, 157222500)]
13:32:34: [INFO] Adding track segment (B.Cu): [(388302500, 157222500), (390842500, 159762500)]
