=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:20: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwDoCsAaO4Ces4EYBfDcABjQXAwmngHZUjMAWc8AXTQCgwpcAmVMRzwAtCSQAOWikak0fSnGq48SErLJNFy+CgbEWCqr3ir1BtFo7cdcPekzC4YydI1oU2k4n3M0edi4eGjhxB2xcFykZYjISAB0AOySkuMU5AOMQvFUYv08LADYU5MS8NBJAm29CwUdI8UK+PLli0qS+Cq9s33AWBPbE-qrg3GRwpxc3YnKKLNx6FvQKa1H4AQmG1xbyoyVvM1lyrXndXvQ920PidCsg23shLeijj26x8-8R2zCn0XEXjMKiVUl0gZl9tlcrJ0AVMOg2iVypVVrZapt-kgmjs0IjSggwZCVJ8BiV0Cj7t5xn9nOJpphOnMiXReoVWKjvBsaVF6eBOpcDmpZJ0Tsy7Kz5O9TELiGy7tUQo96pjAQy3qcfC02QEOSFfsradthcDBmliJ0IVdobL1Zg2Xiksjvt4WAaXHhmrICUy0b1aOzKXq6hEVdJiAATXAAFwATgBXACm7lJpTIloO1MwkfgscTshYDrKX11uH14GzcFzSaBKdB6eymfL0fj1fhuJBRZ1gdw6O54g94QAzgBbXDgGMAeyjAH0EwBjHLgdyFi0djsJyoa61+WtDfxrwYJhQl+BlyYAsOYEdj9IVqvG3dpqX4Rt3luye0d8pdhU94PnpAB2Ia94HHKdZwXAJXkLAk8APEoE3rYklhNMl90GdcVm7eBewNcRmmA0dQNvZs81idtBn5Z9cgjUjWz6VDSkMZ0Qlwpsc3fIEYMlLdgzfMi213C5nRjFRwhjEImGDGMnAATkA4gQhcDFnCkiQWgJY9KVE+AEDITAJNwPRXXHOSkAJTAlNUEzJj0EhwgAC2Qr1i20yI9OIQzTFUcpLNLJAbMiOzHOc4h-U8DkdOcPBxOyToDLM3zvGU7k1Jaf0rDYIA
13:35:23: [INFO] Routing pad 'SW45:2' at (246390964, 116321838) with pad 'D45:2' at (250832145, 123082748) using coordinate system rotated by 345.0 degree(s)
13:35:23: [INFO] Adding track segment (B.Cu): [(246390964, 116321838), (247721293, 121286697)]
13:35:23: [INFO] Adding track segment (B.Cu): [(247721293, 121286697), (250832145, 123082748)]
13:35:23: [INFO] Routing SW44 with D44
13:35:23: [INFO] Using internal autorouter method
13:35:23: [INFO] Routing pad 'SW44:2' at (269240000, 113982500) with pad 'D44:2' at (271780000, 121662500) using coordinate system rotated by 0 degree(s)
13:35:23: [INFO] Adding track segment (B.Cu): [(269240000, 113982500), (269240000, 119122500)]
13:35:23: [INFO] Adding track segment (B.Cu): [(269240000, 119122500), (271780000, 121662500)]
13:35:23: [INFO] Routing SW43 with D43
13:35:23: [INFO] Using internal autorouter method
13:35:23: [INFO] Routing pad 'SW43:2' at (335915000, 97313750) with pad 'D43:2' at (338455000, 104993750) using coordinate system rotated by 0 degree(s)
13:35:23: [INFO] Adding track segment (B.Cu): [(335915000, 97313750), (335915000, 102453750)]
13:35:23: [INFO] Adding track segment (B.Cu): [(335915000, 102453750), (338455000, 104993750)]
13:35:23: [INFO] Routing SW42 with D42
13:35:23: [INFO] Using internal autorouter method
13:35:23: [INFO] Routing pad 'SW42:2' at (316865000, 97313750) with pad 'D42:2' at (319405000, 104993750) using coordinate system rotated by 0 degree(s)
13:35:23: [INFO] Adding track segment (B.Cu): [(316865000, 97313750), (316865000, 102453750)]
13:35:23: [INFO] Adding track segment (B.Cu): [(316865000, 102453750), (319405000, 104993750)]
13:35:23: [INFO] Routing SW41 with D41
13:35:23: [INFO] Using internal autorouter method
13:35:23: [INFO] Routing pad 'SW41:2' at (297815000, 92551250) with pad 'D41:2' at (300355000, 100231250) using coordinate system rotated by 0 degree(s)
