=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:28:46: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoDsBWANHcBjW2BiAQxNPAF8twEMEAdAO0cZoXCwj3nAJz-4pUaARmZMGrdthoAmMS1pTqGAMzyJioRgAs6yVrR7NcCNHjDUaStm3Hwt4Utsynq19qmd8PUmWv2MNHAAXQwAKDAofGF-YVojNg5cb15+PkFsONFxBUTMjDkcjTzwOLUi-XzdCrs4wxq802jLf0wSzEcqTBcut16PXqDQiKbzJBlMbC5CXxIM8Bl4hs9k7lS0+cXssUqFgoSlRfKdu0Xqk5LF+ouVszgLdH8ANjsXzuwXno++74GTVZms3mLyG4UidwsVioKiWN2hGG24l2MMKcOwMOOSLsMPOWMaAJ4aXS-hh1zxt2ajyoKGMXjWsyI8xp73ANK+rJ+HL+HNBIyi8Bk40m4AAnvhkFDpLCse86YQiXh-CIjCzZCqlDRMQpVTp1QZ1cNwfhFlMUgz5nF6DVZQT1gJYgi9flUTKlGUnaVdda3YEDWDRvdLFRpj4gf5FlaTjaQ3biVQth7Fi7tYdVImvVHU2SU4aA5Dg2aw-DI674YiU-DkxoWRiPTinXLCUT5qSDcEgA
13:28:50: [INFO] Adding track segment (B.Cu): [(278765000, 95310000), (281305000, 97850000)]
13:28:50: [INFO] Routing SW45 with D45
13:28:50: [INFO] Using internal autorouter method
13:28:50: [INFO] Routing pad 'SW45:2' at (259715000, 90170000) with pad 'D45:2' at (262255000, 97850000) using coordinate system rotated by 0 degree(s)
13:28:50: [INFO] Adding track segment (B.Cu): [(259715000, 90170000), (259715000, 95310000)]
13:28:50: [INFO] Adding track segment (B.Cu): [(259715000, 95310000), (262255000, 97850000)]
13:28:50: [INFO] Routing SW44 with D44
13:28:50: [INFO] Using internal autorouter method
13:28:50: [INFO] Routing pad 'SW44:2' at (240665000, 90170000) with pad 'D44:2' at (243205000, 97850000) using coordinate system rotated by 0 degree(s)
13:28:50: [INFO] Adding track segment (B.Cu): [(240665000, 90170000), (240665000, 95310000)]
13:28:50: [INFO] Adding track segment (B.Cu): [(240665000, 95310000), (243205000, 97850000)]
13:28:50: [INFO] Routing SW43 with D43
13:28:50: [INFO] Using internal autorouter method
13:28:50: [INFO] Routing pad 'SW43:2' at (221615000, 90170000) with pad 'D43:2' at (224155000, 97850000) using coordinate system rotated by 0 degree(s)
13:28:50: [INFO] Adding track segment (B.Cu): [(221615000, 90170000), (221615000, 95310000)]
13:28:50: [INFO] Adding track segment (B.Cu): [(221615000, 95310000), (224155000, 97850000)]
13:28:50: [INFO] Routing SW42 with D42
13:28:50: [INFO] Using internal autorouter method
13:28:50: [INFO] Routing pad 'SW42:2' at (312102500, 71120000) with pad 'D42:2' at (314642500, 78800000) using coordinate system rotated by 0 degree(s)
13:28:50: [INFO] Adding track segment (B.Cu): [(312102500, 71120000), (312102500, 76260000)]
13:28:50: [INFO] Adding track segment (B.Cu): [(312102500, 76260000), (314642500, 78800000)]
