=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:37:27: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0B2JAaO4Ces4AGFANm3AGMDwBiAQwcfHIHcCAmAX3IUxIB0AdkKGFMCcAF1MAKDBQCCABwoAzFhz54AWmIbK1GhWMnw3HLzRTZ86PATp9WuLtLkq8WoybnwYwsxwEB44RibGZjyYAdJyEHaIqo7kzq4AnL68SIF+fIHBht4MkRZ8IsKC-jliaOWi0dZxCvYoACwpBK68OGwtSL7sDdgFnmHhJeCqDbG2iklkmp3EGeRT2eSDJDlTW8MGo0V0Ob2IKP0bmFZ7CcTs+iG04RG+U1Yz8YptHTrE3fuhh2OnwwvnaAT2DzGpl8WBiNg+9iSSicSxQKxwWHWOHauyC-y8RSB8HYKDuoMu+WaRFJ90MTyoMIp7ypDju3xcv3chUJrA4NN8ZHBeMh9ImZAkzISCCSKJ+aN8aEwWPAZFxIwBPJ6wPOOEVapZZy5o1FCqZ8JZaENizlGCNoTQDsdYrNTSlNPZrnUdoJ3iJpzJ5CUQzxJ1ZOvAaWm5qlrXd1o58vIkeVQa2ksUJCteFRtpwkMdTt8kdx4CDVxwkbe5oATooxDhqwkpg3nLG2TgblnUkl6-ioc9yGIJFFhzgxOwcrwJ4PMKpGrN7ANxNtlxdpzgphP0y0A9jVxj9+B2uvwFgt9HtabRyrMCfFSeyHPt3BBlriXHwCwJ+-c+BBAQABdqwAVwAUyLcQ6kEXghQRal9FDfkk1vKCYPnODX0-T5dwjSCKiEXhRwgE4SXbT9vxfZIcH-eAgLAiD2FQ5dmVrHQEF7RtFBJfQEm0biPRJVpw14OcZ1aSdMHEmdsmfbQexeWcckGKSN0kpSlXQqk+McRlRL3FTTzU8h2hki8dCSHDFT0m8DMVAyyFM11Oh7Xkd3DSNVCgwZYKwlpfy-PkyJouA6PA5DWi8qMnPMlBe0Q-yKNI-RgtCiDPPwwRBiIqk9Fc-13MkyKJUkIA
13:37:32: [INFO] Add SW66 footprint
13:37:32: [INFO] Add D66 footprint
13:37:32: [INFO] Add SW66a footprint
13:37:32: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:32: [INFO] Add ST66a footprint
13:37:32: [INFO] Add SW67 footprint
13:37:32: [INFO] Add D67 footprint
13:37:32: [INFO] Add SW67a footprint
13:37:32: [INFO] Add SW68 footprint
13:37:32: [INFO] Add D68 footprint
13:37:32: [INFO] Add SW68a footprint
13:37:32: [INFO] Add SW69 footprint
13:37:32: [INFO] Add D69 footprint
13:37:32: [INFO] Add SW70 footprint
13:37:32: [INFO] Add D70 footprint
13:37:32: [INFO] Add SW71 footprint
13:37:32: [INFO] Add D71 footprint
13:37:33: [INFO] Detected layout convertible to matrix annotated keyboard
13:37:33: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:37:33: [INFO] Layout offset: (21907500, 26670000)
13:37:33: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:37:33: [INFO] Placing additional elements for SW71
13:37:33: [INFO] Placing additional elements for SW70
13:37:33: [INFO] Placing additional elements for SW69
13:37:33: [INFO] Placing additional elements for SW68a
13:37:33: [INFO] Placing additional elements for SW68
13:37:33: [INFO] Placing additional elements for SW67a
13:37:33: [INFO] Placing additional elements for SW67
13:37:33: [INFO] Placing additional elements for SW66a
13:37:33: [INFO] Placing additional elements for SW66
13:37:33: [INFO] Placing additional elements for SW65a
13:37:33: [INFO] Placing additional elements for SW65
13:37:33: [INFO] Placing additional elements for SW64
13:37:33: [INFO] Placing additional elements for SW63
13:37:33: [INFO] Placing additional elements for SW62
13:37:33: [INFO] Placing additional elements for SW61
13:37:33: [INFO] Placing additional elements for SW60
13:37:33: [INFO] Placing additional elements for SW59
13:37:33: [INFO] Placing additional elements for SW58
13:37:33: [INFO] Placing additional elements for SW57
13:37:33: [INFO] Placing additional elements for SW56
13:37:33: [INFO] Placing additional elements for SW55
13:37:33: [INFO] Placing additional elements for SW54
13:37:33: [INFO] Placing additional elements for SW53
13:37:33: [INFO] Placing additional elements for SW52
13:37:33: [INFO] Placing additional elements for SW51
13:37:33: [INFO] Placing additional elements for SW50
13:37:33: [INFO] Placing additional elements for SW49
13:37:33: [INFO] Placing additional elements for SW48
13:37:33: [INFO] Placing additional elements for SW47
13:37:33: [INFO] Placing additional elements for SW46
13:37:33: [INFO] Placing additional elements for SW45
13:37:33: [INFO] Placing additional elements for SW44
13:37:33: [INFO] Placing additional elements for SW43
13:37:33: [INFO] Placing additional elements for SW42
13:37:33: [INFO] Placing additional elements for SW41
13:37:33: [INFO] Placing additional elements for SW40
13:37:33: [INFO] Placing additional elements for SW39
13:37:33: [INFO] Placing additional elements for SW38
13:37:33: [INFO] Placing additional elements for SW37
13:37:33: [INFO] Placing additional elements for SW36
