=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:28:57: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareAvgGgQBi7uDhAB6xy4B0ArDlOUgOzMuZ34CMRcp5VATLQTR4SNOmx4s-buHwBmWfgAsSrNW694A6pLlYAbGsZqAHGoCcm8GW2VBezoXZYOXFxxkfFxG33u6HsoAOgB2YWH4zjx+doFSHNQR4aFR1rYUNHQiCIiQ+QWyAO7k-HQAJuQALgBOAK4ApnrJka7gALpYAFBg4ACe-kL0oijiyGwIHATpg3pT7jE5SAWFc9KyUz6TWKp0Uxp7hhtYJofmh1aHHNHg8wu3rl7bHFsQS6PixaVrHLsxGVR4g9Eh1usBwGVolpMkMSvAODQ9GUFm8GHkVtAkes6GUthCdrIygcEGUjDiToSsOcSVhLjTrpS3IynviXtZ3mNxnQ4XAEUDkSEUmEplDYjCsSDfBk+dzyAjBHQABalbkyeFZBCKtW8ugkbUAWh0enkrkFyXmoJ64BNooBGvAPIRjCBJpRw1yGMxdBNLJNeJNf2t6lkJrJCBNp3DVJDtJjDO9rnurqeqJGLFYsvg-ACxtNLVCIpmcWyaM5EyDkv+swTL3zFs6VuU0ylg0zcGzDjoTY4+ch7LRnvLTZZTbxTcDTeJ4CbYenFK70YXdLn8YQ3bdHLGX3Vzr03deYr5e9cGgbvWl1EozroA3ghqvQ3e6eYQ9Nlt6t7g94VwlLW70tC2q2CCOjmdC0G6oGdggtApg6cpgTBWAHjyBiIeAtAGPmNrWKBQIQbg+ZNqKeEAYmRHTGe0K-A+N7kPe16-mmz7lhBeIQYGEGnmC1H2p+36Pn+nxtvKQLdr2bQLp4ElutK9o8h2+E7NhkkxFBSlYUKoSurhpQPmRpgqfcBEUcZ5Fad2sgQfwpnvtCl4-vB8BodBGHqCpMhUWKDmwnprm0GaKR+rp6r+e5WnBb4Cn6eBVIqYo7TtEAA
13:29:02: [INFO] Add D68 footprint
13:29:02: [INFO] Add SW69 footprint
13:29:02: [INFO] Add D69 footprint
13:29:02: [INFO] Add SW70 footprint
13:29:02: [INFO] Add D70 footprint
13:29:02: [INFO] Add SW71 footprint
13:29:02: [INFO] Add D71 footprint
13:29:02: [INFO] Add SW72 footprint
13:29:02: [INFO] Add D72 footprint
13:29:02: [INFO] Add SW73 footprint
13:29:02: [INFO] Add D73 footprint
13:29:02: [INFO] Add SW74 footprint
13:29:02: [INFO] Add D74 footprint
13:29:02: [INFO] Add SW75 footprint
13:29:02: [INFO] Add D75 footprint
13:29:02: [INFO] Add SW76 footprint
13:29:02: [INFO] Add D76 footprint
13:29:02: [INFO] Add SW77 footprint
13:29:02: [INFO] Add D77 footprint
13:29:02: [INFO] Add SW78 footprint
13:29:02: [INFO] Add D78 footprint
13:29:02: [INFO] Add SW79 footprint
13:29:03: [INFO] Add D79 footprint
13:29:03: [INFO] Add SW80 footprint
13:29:03: [INFO] Add D80 footprint
13:29:03: [INFO] Add SW81 footprint
13:29:03: [INFO] Add D81 footprint
13:29:03: [INFO] Add SW82 footprint
13:29:03: [INFO] Add D82 footprint
13:29:03: [INFO] Add SW83 footprint
13:29:03: [INFO] Add D83 footprint
13:29:03: [INFO] Add SW84 footprint
13:29:03: [INFO] Add D84 footprint
13:29:03: [INFO] Add SW85 footprint
13:29:03: [INFO] Add D85 footprint
13:29:03: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:29:03: [INFO] Add ST85 footprint
13:29:03: [INFO] Add SW86 footprint
13:29:03: [INFO] Add D86 footprint
13:29:03: [INFO] Add ST86 footprint
13:29:03: [INFO] Add SW86a footprint
13:29:03: [INFO] Add SW87 footprint
13:29:03: [INFO] Add D87 footprint
13:29:03: [INFO] Add ST87 footprint
13:29:03: [INFO] Add SW87a footprint
13:29:03: [INFO] Add SW88 footprint
