=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:34:25: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoCsBfANHcBmDDwBdDAKDClkVS3AGNLwBiAdlbfE2wX3CwmnjIATOhrcAjLzj9KwlDXrwmtFao5iMQqeG45t3ACz6MKYwDYpM+ENScdGZsYAcxgJzHxBDeMnet3vT46BhY2VnUuDHEjYjIrKhE7cR4ggQT5bAB3SnFbGmTfaWClRlU1JM1tZMDsZKN8kyqMC1TKG1FahyaXBvcGzyafS3Bs+FyO8AL-IsVsULCIyaiapeiiUmBwIRSitLkaUbhc5gntwohZ5TL6O23prYwV7frsbdMabZbdtrzXro+MD0-n0-gMAUNwdMLiEwuEDj9EuC9LFyHskCcFCEAIY43HaQ42RHYPDnYpza43Gh4e54FZ4F64RpU5rDNLtOx4RzMoGMkGMsHEqKktLjDnLdZxChjJAiTElXF4+HSongAxRYaHXIqtVQkY5GUTNU1eLIDJkpiwrlZfXajAveIoJDca3Kw0YEHQ+UKrH4m1ugUQTUGuxqiHfQTUbCXUrXRah+6hlahmIbCAAJ0oGOwabSrgNNDTAE9KI6s+Bi-AALSEs0E9Fulwok35qMw2G+6zBmhqxxN8AZqtltLV+s0CtwEfO82Mb0+pVwGwnEONPvD9pyuaWjsLrvYNUWQiEIA
13:34:30: [INFO] Add D67 footprint
13:34:30: [INFO] Add SW68 footprint
13:34:30: [INFO] Add D68 footprint
13:34:30: [INFO] Add SW69 footprint
13:34:30: [INFO] Add D69 footprint
13:34:30: [INFO] Add SW70 footprint
13:34:30: [INFO] Add D70 footprint
13:34:30: [INFO] Add SW71 footprint
13:34:30: [INFO] Add D71 footprint
13:34:30: [INFO] Detected layout convertible to matrix annotated keyboard
13:34:30: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:34:30: [INFO] Layout offset: (38100000, 28575000)
13:34:30: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:34:30: [INFO] Placing additional elements for SW71
13:34:30: [INFO] Placing additional elements for SW70
13:34:30: [INFO] Placing additional elements for SW69
13:34:30: [INFO] Placing additional elements for SW68
13:34:30: [INFO] Placing additional elements for SW67
13:34:30: [INFO] Placing additional elements for SW66
13:34:30: [INFO] Placing additional elements for SW65
13:34:30: [INFO] Placing additional elements for SW64
13:34:30: [INFO] Placing additional elements for SW63
13:34:30: [INFO] Placing additional elements for SW62
13:34:30: [INFO] Placing additional elements for SW61
13:34:30: [INFO] Placing additional elements for SW60
13:34:30: [INFO] Placing additional elements for SW59
13:34:30: [INFO] Placing additional elements for SW58
13:34:30: [INFO] Placing additional elements for SW57
13:34:30: [INFO] Placing additional elements for SW56
13:34:30: [INFO] Placing additional elements for SW55
13:34:30: [INFO] Placing additional elements for SW54
13:34:30: [INFO] Placing additional elements for SW53
13:34:30: [INFO] Placing additional elements for SW52
13:34:30: [INFO] Placing additional elements for SW51
13:34:30: [INFO] Placing additional elements for SW50
13:34:30: [INFO] Placing additional elements for SW49
13:34:30: [INFO] Placing additional elements for SW48
13:34:30: [INFO] Placing additional elements for SW47
13:34:30: [INFO] Placing additional elements for SW46
13:34:30: [INFO] Placing additional elements for SW45
13:34:30: [INFO] Placing additional elements for SW44
13:34:30: [INFO] Placing additional elements for SW43
13:34:30: [INFO] Placing additional elements for SW42
13:34:30: [INFO] Placing additional elements for SW41
13:34:30: [INFO] Placing additional elements for SW40
13:34:30: [INFO] Placing additional elements for SW39
13:34:30: [INFO] Placing additional elements for SW38
13:34:30: [INFO] Placing additional elements for SW37
13:34:30: [INFO] Placing additional elements for SW36
13:34:30: [INFO] Placing additional elements for SW35
13:34:30: [INFO] Placing additional elements for SW34
13:34:30: [INFO] Placing additional elements for SW33
13:34:30: [INFO] Placing additional elements for SW32
13:34:30: [INFO] Placing additional elements for SW31
13:34:30: [INFO] Placing additional elements for SW30
13:34:30: [INFO] Placing additional elements for SW29
13:34:30: [INFO] Placing additional elements for SW28
13:34:30: [INFO] Placing additional elements for SW27
13:34:30: [INFO] Placing additional elements for SW26
13:34:30: [INFO] Placing additional elements for SW25
13:34:30: [INFO] Placing additional elements for SW24
13:34:30: [INFO] Placing additional elements for SW23
13:34:30: [INFO] Placing additional elements for SW22
13:34:30: [INFO] Placing additional elements for SW21
13:34:30: [INFO] Placing additional elements for SW20
13:34:30: [INFO] Placing additional elements for SW19
13:34:30: [INFO] Placing additional elements for SW18
13:34:30: [INFO] Placing additional elements for SW17
13:34:30: [INFO] Placing additional elements for SW16
13:34:30: [INFO] Placing additional elements for SW15
13:34:30: [INFO] Placing additional elements for SW14
13:34:30: [INFO] Placing additional elements for SW13
13:34:30: [INFO] Placing additional elements for SW12
13:34:30: [INFO] Placing additional elements for SW11
13:34:30: [INFO] Placing additional elements for SW10
13:34:30: [INFO] Placing additional elements for SW9
13:34:30: [INFO] Placing additional elements for SW8
13:34:30: [INFO] Placing additional elements for SW7
13:34:30: [INFO] Placing additional elements for SW6
13:34:30: [INFO] Placing additional elements for SW5
13:34:30: [INFO] Placing additional elements for SW4
13:34:30: [INFO] Placing additional elements for SW3
13:34:30: [INFO] Placing additional elements for SW2
13:34:30: [INFO] Placing additional elements for SW1
13:34:30: [INFO] Routing SW71 with D71
13:34:30: [INFO] Using internal autorouter method
13:34:30: [INFO] Routing pad 'SW71:2' at (393065000, 128270000) with pad 'D71:2' at (395605000, 135950000) using coordinate system rotated by 0 degree(s)
13:34:30: [INFO] Adding track segment (B.Cu): [(393065000, 128270000), (393065000, 133410000)]
13:34:30: [INFO] Adding track segment (B.Cu): [(393065000, 133410000), (395605000, 135950000)]
13:34:30: [INFO] Routing SW70 with D70
13:34:30: [INFO] Using internal autorouter method
13:34:30: [INFO] Routing pad 'SW70:2' at (374015000, 128270000) with pad 'D70:2' at (376555000, 135950000) using coordinate system rotated by 0 degree(s)
13:34:30: [INFO] Adding track segment (B.Cu): [(374015000, 128270000), (374015000, 133410000)]
13:34:30: [INFO] Adding track segment (B.Cu): [(374015000, 133410000), (376555000, 135950000)]
13:34:30: [INFO] Routing SW69 with D69
13:34:30: [INFO] Using internal autorouter method
13:34:30: [INFO] Routing pad 'SW69:2' at (354965000, 128270000) with pad 'D69:2' at (357505000, 135950000) using coordinate system rotated by 0 degree(s)
13:34:30: [INFO] Adding track segment (B.Cu): [(354965000, 128270000), (354965000, 133410000)]
13:34:30: [INFO] Adding track segment (B.Cu): [(354965000, 133410000), (357505000, 135950000)]
13:34:30: [INFO] Routing SW68 with D68
13:34:30: [INFO] Using internal autorouter method
13:34:30: [INFO] Routing pad 'SW68:2' at (324008750, 128270000) with pad 'D68:2' at (326548750, 135950000) using coordinate system rotated by 0 degree(s)
13:34:30: [INFO] Adding track segment (B.Cu): [(324008750, 128270000), (324008750, 133410000)]
13:34:30: [INFO] Adding track segment (B.Cu): [(324008750, 133410000), (326548750, 135950000)]
13:34:30: [INFO] Routing SW67 with D67
13:34:30: [INFO] Using internal autorouter method
13:34:30: [INFO] Routing pad 'SW67:2' at (300196250, 128270000) with pad 'D67:2' at (302736250, 135950000) using coordinate system rotated by 0 degree(s)
13:34:30: [INFO] Adding track segment (B.Cu): [(300196250, 128270000), (300196250, 133410000)]
13:34:30: [INFO] Adding track segment (B.Cu): [(300196250, 133410000), (302736250, 135950000)]
13:34:30: [INFO] Routing SW66 with D66
13:34:30: [INFO] Using internal autorouter method
13:34:30: [INFO] Routing pad 'SW66:2' at (276383750, 128270000) with pad 'D66:2' at (278923750, 135950000) using coordinate system rotated by 0 degree(s)
13:34:30: [INFO] Adding track segment (B.Cu): [(276383750, 128270000), (276383750, 133410000)]
13:34:30: [INFO] Adding track segment (B.Cu): [(276383750, 133410000), (278923750, 135950000)]
13:34:30: [INFO] Routing SW65 with D65
13:34:30: [INFO] Using internal autorouter method
