=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:40:03: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrBEAYBp1SAIKQIywVATKxBmLUAsekArEQGxEDsRAHEQJxFIzyJIqtRKafK69JCAXUgAoMEmhZJHBJJ5zI-RYVaTSayBU3VNdTY03NpyWaBkLzfE4NAjxodFNZOzTy0+WPIqhE41+WlhOuoH6gYaBxi6mwcge1jG29mDYzghpZmmWaV5pvqBpAYVBrGmhJeElkSXRGbFl8ViZecjCYmD46aBdZl2WXV5dBV3FXdoIXRVdVV01vSyTDUvcWL1DbXYdoMTdu2a7lrteuwW7xbsTO5AVu1W7NfuL1+xY+0eJCPvtDmTdf2Y-pY-l4-gU-sU-lc-hU-lU-jUAc8AYCmqwAaDNilQJRurizLjLLivLiCrjirirriKriqriavjnviCWiEPiSVjtjRutyzNzLNyvNyCtzityrtyKtyqtyarznry+azQLyhZyHPRupqzJrLJqvJqCpripqrpqKpqqpqatrntqdcrtQb1RIoM9mMhpBgvUofQUPcUPVcPRUPVUPTUPXVzFwzFHLFGvFGfhJJO6ZNJ5JnfWpJP71Nng5JQ5Jw5JIzJ08tzBZs0gkzIU+YnO7XNJ3O2c3InP7-J3gyFO+GnJHXK3q9xlZP653ktt690F3HstJcqufOvA2lg+V1+G0pHMu7Msupy113OHIJF71pP0713zMMH4Hxg-QzMH5GFg-Xmpegm6y-sIQhAA
13:40:08: [INFO] Add D58 footprint
13:40:08: [INFO] Add SW59 footprint
13:40:08: [INFO] Add D59 footprint
13:40:08: [INFO] Add SW60 footprint
13:40:08: [INFO] Add D60 footprint
13:40:08: [INFO] Add SW61 footprint
13:40:08: [INFO] Add D61 footprint
13:40:08: [INFO] Add SW62 footprint
13:40:08: [INFO] Add D62 footprint
13:40:08: [INFO] Add SW63 footprint
13:40:08: [INFO] Add D63 footprint
13:40:08: [INFO] Add SW64 footprint
13:40:08: [INFO] Add D64 footprint
13:40:08: [INFO] Add SW65 footprint
13:40:08: [INFO] Add D65 footprint
13:40:08: [INFO] Add SW66 footprint
13:40:08: [INFO] Add D66 footprint
13:40:08: [INFO] Add SW67 footprint
13:40:08: [INFO] Add D67 footprint
13:40:08: [INFO] Add SW68 footprint
13:40:09: [INFO] Add D68 footprint
13:40:09: [INFO] Add SW69 footprint
13:40:09: [INFO] Add D69 footprint
13:40:09: [INFO] Add SW70 footprint
13:40:09: [INFO] Add D70 footprint
13:40:09: [INFO] Add SW71 footprint
13:40:09: [INFO] Add D71 footprint
13:40:09: [INFO] Add SW72 footprint
13:40:09: [INFO] Add D72 footprint
13:40:09: [INFO] Add SW73 footprint
13:40:09: [INFO] Add D73 footprint
13:40:09: [INFO] Add SW74 footprint
13:40:09: [INFO] Add D74 footprint
13:40:09: [INFO] Add SW75 footprint
13:40:09: [INFO] Add D75 footprint
13:40:09: [INFO] Add SW76 footprint
13:40:09: [INFO] Add D76 footprint
13:40:09: [INFO] Add SW77 footprint
13:40:09: [INFO] Add D77 footprint
13:40:09: [INFO] Add SW78 footprint
13:40:09: [INFO] Add D78 footprint
13:40:09: [INFO] Add SW79 footprint
13:40:09: [INFO] Add D79 footprint
13:40:09: [INFO] Add SW80 footprint
13:40:09: [INFO] Add D80 footprint
13:40:09: [INFO] Add SW81 footprint
13:40:09: [INFO] Add D81 footprint
13:40:09: [INFO] Add SW82 footprint
13:40:09: [INFO] Add D82 footprint
13:40:09: [INFO] Add SW83 footprint
13:40:09: [INFO] Add D83 footprint
13:40:09: [INFO] Add SW84 footprint
13:40:09: [INFO] Add D84 footprint
13:40:09: [INFO] Add SW85 footprint
13:40:09: [INFO] Add D85 footprint
13:40:09: [INFO] Add SW86 footprint
13:40:09: [INFO] Add D86 footprint
13:40:09: [INFO] Add SW87 footprint
13:40:10: [INFO] Add D87 footprint
13:40:10: [INFO] Add SW88 footprint
13:40:10: [INFO] Add D88 footprint
13:40:10: [INFO] Add SW89 footprint
13:40:10: [INFO] Add D89 footprint
13:40:10: [INFO] Add SW90 footprint
13:40:10: [INFO] Add D90 footprint
13:40:10: [INFO] Add SW91 footprint
13:40:10: [INFO] Add D91 footprint
13:40:10: [INFO] Add SW92 footprint
13:40:10: [INFO] Add D92 footprint
13:40:10: [INFO] Add SW93 footprint
13:40:10: [INFO] Add D93 footprint
13:40:10: [INFO] Add SW94 footprint
13:40:10: [INFO] Add D94 footprint
13:40:10: [INFO] Add SW95 footprint
13:40:10: [INFO] Add D95 footprint
13:40:10: [INFO] Add SW96 footprint
13:40:10: [INFO] Add D96 footprint
13:40:10: [INFO] Add SW97 footprint
13:40:10: [INFO] Add D97 footprint
13:40:10: [INFO] Add SW98 footprint
13:40:10: [INFO] Add D98 footprint
13:40:10: [INFO] Add SW99 footprint
13:40:10: [INFO] Add D99 footprint
13:40:10: [INFO] Add SW100 footprint
13:40:10: [INFO] Add D100 footprint
13:40:10: [INFO] Add SW101 footprint
13:40:10: [INFO] Add D101 footprint
13:40:10: [INFO] Add SW102 footprint
13:40:10: [INFO] Add D102 footprint
13:40:10: [INFO] Add SW103 footprint
13:40:10: [INFO] Add D103 footprint
13:40:10: [INFO] Add SW104 footprint
13:40:10: [INFO] Add D104 footprint
13:40:10: [INFO] Add SW105 footprint
13:40:10: [INFO] Add D105 footprint
