=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:57: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgCwF8A0dwAYUPGi14BGDVdLQgZnAF0UAoMKWOCtcAT2YFoMA6ATlKYUVPEyJCsAVlxx8zABySUhAEyz5EtuRy0GmuArad4PXgqnKA7LOELbWfg5UYN4uFwBsyz24JxvbRVCGnpGEw8+fksg1zF-QmV1eOZCZCDCGRStMhUbPUYE424o5RDsuEJA3KrQ-XdM4tM+dPRCFVE5dy41IXbdMINWdAizQTZ2zoNEiZQsrv8lWbU-VL6VAfr-TybI8xi2lF8KmcObWftZp2W4hbXlkIKIUaiD8Hbb6fXku6JW95U8y+y3ygwauzG63Kv0q1QBtSe7gQEJaQlU2FWRBIbHRlDqhWYww4JQEaJEmMqZKB7iW6FxP2BdI2+IMOxGJIsZOOMNO4HR5yZlyZ1yZxApvNxjzBLwEb3RnwaZIZDX+uOpCTJhFBW1SKNJOJU4rhuN8iP8yPZzV4-1YOBO2PQrDxZsJevGjvJJyErHVim9KmVGrYTs2BPgbOJVs5waOFLhTuhBi8-oF4FYQrTKBFmbFiJl0X9CqDHsDqRtgPF-q1LPBlr27pzRqrprB5r1-2Rdp5DvAyOdrdddchbGRU0VI7mFNpvYDlYnaRriz10fQyNTyIzyOzfdceZJBYnRfuq5Qpb+Qj7vpyM+rLqIbovhpOcL7LZ14d4qikbrYAHdUrwbzItyBgIIBf4AUBwQ0NQQA
13:37:02: [INFO] Placing additional elements for SW19
13:37:02: [INFO] Placing additional elements for SW18
13:37:02: [INFO] Placing additional elements for SW17
13:37:02: [INFO] Placing additional elements for SW16
13:37:02: [INFO] Placing additional elements for SW15
13:37:02: [INFO] Placing additional elements for SW14
13:37:02: [INFO] Placing additional elements for SW13
13:37:02: [INFO] Placing additional elements for SW12
13:37:02: [INFO] Placing additional elements for SW11
13:37:02: [INFO] Placing additional elements for SW10
13:37:02: [INFO] Placing additional elements for SW9
13:37:02: [INFO] Placing additional elements for SW8
13:37:02: [INFO] Placing additional elements for SW7
13:37:02: [INFO] Placing additional elements for SW6
13:37:02: [INFO] Placing additional elements for SW5
13:37:02: [INFO] Placing additional elements for SW4
13:37:02: [INFO] Placing additional elements for SW3
13:37:02: [INFO] Placing additional elements for SW2
13:37:02: [INFO] Placing additional elements for SW1
13:37:02: [INFO] Routing SW90 with D90
13:37:02: [INFO] Using internal autorouter method
13:37:02: [INFO] Routing pad 'SW90:2' at (402590000, 114935000) with pad 'D90:2' at (405130000, 122615000) using coordinate system rotated by 0 degree(s)
13:37:02: [INFO] Adding track segment (B.Cu): [(402590000, 114935000), (402590000, 120075000)]
13:37:02: [INFO] Adding track segment (B.Cu): [(402590000, 120075000), (405130000, 122615000)]
13:37:02: [INFO] Routing SW89 with D89
13:37:02: [INFO] Using internal autorouter method
13:37:02: [INFO] Routing pad 'SW89:2' at (383540000, 116840000) with pad 'D89:2' at (386080000, 124520000) using coordinate system rotated by 0 degree(s)
13:37:02: [INFO] Adding track segment (B.Cu): [(383540000, 116840000), (383540000, 121980000)]
13:37:02: [INFO] Adding track segment (B.Cu): [(383540000, 121980000), (386080000, 124520000)]
13:37:02: [INFO] Routing SW88 with D88
13:37:02: [INFO] Using internal autorouter method
13:37:02: [INFO] Routing pad 'SW88:2' at (364490000, 114935000) with pad 'D88:2' at (367030000, 122615000) using coordinate system rotated by 0 degree(s)
13:37:02: [INFO] Adding track segment (B.Cu): [(364490000, 114935000), (364490000, 120075000)]
13:37:02: [INFO] Adding track segment (B.Cu): [(364490000, 120075000), (367030000, 122615000)]
13:37:02: [INFO] Routing SW87 with D87
13:37:02: [INFO] Using internal autorouter method
13:37:02: [INFO] Routing pad 'SW87:2' at (345440000, 111125000) with pad 'D87:2' at (347980000, 118805000) using coordinate system rotated by 0 degree(s)
13:37:02: [INFO] Adding track segment (B.Cu): [(345440000, 111125000), (345440000, 116265000)]
13:37:02: [INFO] Adding track segment (B.Cu): [(345440000, 116265000), (347980000, 118805000)]
13:37:02: [INFO] Routing SW86 with D86
13:37:02: [INFO] Using internal autorouter method
13:37:02: [INFO] Routing pad 'SW86:2' at (326390000, 109220000) with pad 'D86:2' at (328930000, 116900000) using coordinate system rotated by 0 degree(s)
13:37:02: [INFO] Adding track segment (B.Cu): [(326390000, 109220000), (326390000, 114360000)]
13:37:02: [INFO] Adding track segment (B.Cu): [(326390000, 114360000), (328930000, 116900000)]
13:37:02: [INFO] Routing SW85 with D85
13:37:02: [INFO] Using internal autorouter method
13:37:02: [INFO] Routing pad 'SW85:2' at (307340000, 111125000) with pad 'D85:2' at (309880000, 118805000) using coordinate system rotated by 0 degree(s)
13:37:02: [INFO] Adding track segment (B.Cu): [(307340000, 111125000), (307340000, 116265000)]
13:37:02: [INFO] Adding track segment (B.Cu): [(307340000, 116265000), (309880000, 118805000)]
13:37:02: [INFO] Routing SW84 with D84
13:37:02: [INFO] Using internal autorouter method
13:37:02: [INFO] Routing pad 'SW84:2' at (278765000, 118745000) with pad 'D84:2' at (281305000, 126425000) using coordinate system rotated by 0 degree(s)
13:37:02: [INFO] Adding track segment (B.Cu): [(278765000, 118745000), (278765000, 123885000)]
13:37:02: [INFO] Adding track segment (B.Cu): [(278765000, 123885000), (281305000, 126425000)]
13:37:02: [INFO] Routing SW83 with D83
13:37:02: [INFO] Using internal autorouter method
