=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:47: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDoCsAaO4DGtMGIB2I48AXw3AAY1LwBdNAKDClwBYkD1MBPXAWkpIAHN2y5weLNJlkK1AMzgMEaPGGpymaggBM9JizVxdnMX3iCkATi1U0CZdrT6VreAiEo7OpW5zwkgCGIaFO4ADuuLo+DmwAOgB2SUnUtG7GQrre8nEpyYk64boOCvmpDgbMqrjI2RQWcFbZdgg0VUa1bA0CQsIUAfgysq0OjgzV7iaoPZZC1mKDwaEh4VEemhRtjv4SUsM4o65wNR5ClKN64dt+J5G1m5jbbB2niLNNWYt7K6t2JbQJp14KZ6rxemYKOtEGZ-pVdoF9sM5JgSsc3tZHuASggdqiHOjxIjiCQodEkC0KDiXkC3iVMEs8L8gmtyZTMAp4XdGQdDhROYTjJiLvyxuFOVcEfhmayQbDRQgygUkm10ndMhSxNDkFw7BKlfltuK8srEkbaVN6fcNjlMN08W9FZDMNqsfaaYYIAAnWrUTDGFAiD78ABsSD9RKGBxR9heuRQ4WoIcTaAIrymgYUo1u4DacaeaATWzQyYtAaQbFt2LQOZK+erRfxpc9GZsVc5Oc59c5jfAnObk2MBAGexJRFl03Z4G6jYgjJlZI2U+6A+BcED5ghC0XMKr3Q9kx9lk8FCFQfBx84I8RvJj1GEKesKc8z-GLbPbFGaeLD+LT+LL5lrgmK6lSqbFGgv74v++KAe+wFIFmorfhykHGjBfYOIC8HwJi3QMqOY4TqYoF2mhQEeKYCCbnMNjXtKvwTsge5YfQdBAA
13:36:52: [INFO] Adding track segment (B.Cu): [(393065000, 100072500), (395605000, 102612500)]
13:36:52: [INFO] Routing SW58a with D58
13:36:52: [INFO] Using internal autorouter method
13:36:52: [INFO] Routing pad 'SW58a:2' at (366871250, 94932500) with pad 'D58:2' at (378936250, 102612500) using coordinate system rotated by 0 degree(s)
13:36:52: [INFO] Routing SW58 with D58
13:36:52: [INFO] Using internal autorouter method
13:36:52: [INFO] Routing pad 'SW58:2' at (376396250, 94932500) with pad 'D58:2' at (378936250, 102612500) using coordinate system rotated by 0 degree(s)
13:36:52: [INFO] Adding track segment (B.Cu): [(376396250, 94932500), (376396250, 100072500)]
13:36:52: [INFO] Adding track segment (B.Cu): [(376396250, 100072500), (378936250, 102612500)]
13:36:52: [INFO] Routing SW57 with D57
13:36:52: [INFO] Using internal autorouter method
13:36:52: [INFO] Routing pad 'SW57:2' at (340677500, 94932500) with pad 'D57:2' at (343217500, 102612500) using coordinate system rotated by 0 degree(s)
13:36:52: [INFO] Adding track segment (B.Cu): [(340677500, 94932500), (340677500, 100072500)]
13:36:52: [INFO] Adding track segment (B.Cu): [(340677500, 100072500), (343217500, 102612500)]
13:36:52: [INFO] Routing SW56 with D56
13:36:52: [INFO] Using internal autorouter method
13:36:52: [INFO] Routing pad 'SW56:2' at (321627500, 94932500) with pad 'D56:2' at (324167500, 102612500) using coordinate system rotated by 0 degree(s)
13:36:52: [INFO] Adding track segment (B.Cu): [(321627500, 94932500), (321627500, 100072500)]
13:36:52: [INFO] Adding track segment (B.Cu): [(321627500, 100072500), (324167500, 102612500)]
13:36:52: [INFO] Routing SW55 with D55
13:36:52: [INFO] Using internal autorouter method
13:36:52: [INFO] Routing pad 'SW55:2' at (300033588, 95228323) with pad 'D55:2' at (303868618, 102350580) using coordinate system rotated by 350.0 degree(s)
13:36:52: [INFO] Adding track segment (B.Cu): [(300033588, 95228323), (300926138, 100290233)]
13:36:52: [INFO] Adding track segment (B.Cu): [(300926138, 100290233), (303868618, 102350580)]
13:36:52: [INFO] Routing SW54 with D54
13:36:52: [INFO] Using internal autorouter method
13:36:52: [INFO] Routing pad 'SW54:2' at (281273000, 98536321) with pad 'D54:2' at (285108030, 105658578) using coordinate system rotated by 350.0 degree(s)
