=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:55: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrBEAYBp1SAIKQIyzgb1AD1ALjuAOgCYBWeUAY1wQGIBDBx1UAC2qIF9yAWaAHQB2gwUWioMVPKBoVZc0FwS8U5KEWZQAzOKzVCpRaF7qekbasjcd2PPrIJJtRk3IB3akgIlDUEjsfScvKGvFamfhYAbBqQAOzMvNGm8RYAHDEAnAmQ6aZZFkgwBSrolNTSzgzM7nie3qaFwkICqWLwGDb4xPZlUjJBVCHIJYhIJghQSOalnXZDY9lTMUhhpQH0lcxseJwFJE2CZEUzet3k6wODDatGyH4AupAAUGBIbQhvJR0e3YZkI29xqA3tNvrZfuQyECyNNgZZrKdSOdyhtnNUfrF6h9IBE1ijLgpIfCibi4UlsSkEGRyaAyJS4blsfkqTlmGRmXDCv4UbFeXz0TsIdikEgDi13mCukiHPiBoSWSLmJ8gZ9QbpwQYiQstbDPqtJZ5NQqbv8Hs8wKJjqBRF91VKeutKnQtuxDJF+M1BJoJb1aAS3chmKIgaI1bMhaB3eMJDy+bz5ZGzNy+v7yKJ9Xa7Mi+k6BXAiBHRPtPQIoMcYym5QHSaIaaJ6e6ae76aJGdbIBz3W33RybeXfRVNm52ARMYYbaKS29++HpQP+kEE+7Fe153H4+PkNH56mEDaw4isYntQhl7CbRnHUOENt85ukMWmu6Z4fs36q+Rlzdl2aXqBvVa3q2p0hpHrEgarleaLDjshjekQYq8C+GoOrGcYJuBQLgbC3oZrOqE5teoA1HAdRwTiCK1AQUAICRZHkN6kRihkPoXHKMFwLE5GpMxrEormHH0QgQHgLxyGkdRgleIY4Fcqu+FvtI67xDJwzMEBQJAQeKGKaiLi0a65CyZoYrgf2bGLuRKyURJRqgLJNyyb+wCSgWc4AJ6vjKhFokMokljaNmeOA5EISWyjqWYiEQScOwFiFRlbqZMX2cgJklrJQXUT4dxiv8oCPC8rkRkcYqBfJ1CRF4Ul2UWYqTMw7rcPVMUGoQNHERiR4TmKnyNcg-lNH1FV4FVR6fI+zT5YVLl2m5R7PmKQE2RkkkGVRR6MbxtoWfIHEFmODFxNtOh0dJR08SWLG2iRB2bR2J2QfxRFnfdjRXa1dqrQle65SWy4FeaxV2WZS2fZ0326QSgk-f+OS8duENrfOuZWZNggAzNrmaGc3m0MpeZ1OQt6iLR6iCnOLDk6R5CYNTAC0hCYuQ7nU0ghifJOTStCg9z3EAA
13:36:59: [INFO] Add SW56 footprint
13:36:59: [INFO] Add D56 footprint
13:36:59: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:36:59: [INFO] Add ST56 footprint
13:36:59: [INFO] Add SW57 footprint
13:36:59: [INFO] Add D57 footprint
13:36:59: [INFO] Add ST57 footprint
13:36:59: [INFO] Add SW58 footprint
13:37:00: [INFO] Add D58 footprint
13:37:00: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:37:00: [INFO] Add ST58 footprint
13:37:00: [INFO] Add SW59 footprint
13:37:00: [INFO] Add D59 footprint
13:37:00: [INFO] Add SW60 footprint
13:37:00: [INFO] Add D60 footprint
13:37:00: [INFO] Add SW61 footprint
13:37:00: [INFO] Add D61 footprint
13:37:00: [INFO] Add SW62 footprint
13:37:00: [INFO] Add D62 footprint
13:37:00: [INFO] Add SW63 footprint
13:37:00: [INFO] Add D63 footprint
13:37:00: [INFO] Add SW64 footprint
13:37:00: [INFO] Add D64 footprint
13:37:00: [INFO] Add ST64 footprint
13:37:00: [INFO] Add SW64a footprint
13:37:00: [INFO] Add SW65 footprint
13:37:00: [INFO] Add D65 footprint
13:37:00: [INFO] Add SW66 footprint
13:37:00: [INFO] Add D66 footprint
13:37:00: [INFO] Add SW67 footprint
13:37:00: [INFO] Add D67 footprint
13:37:00: [INFO] Add SW68 footprint
13:37:00: [INFO] Add D68 footprint
13:37:00: [INFO] Add SW69 footprint
13:37:00: [INFO] Add D69 footprint
13:37:00: [INFO] Add SW70 footprint
13:37:00: [INFO] Add D70 footprint
13:37:00: [INFO] Add SW71 footprint
13:37:00: [INFO] Add D71 footprint
13:37:00: [INFO] Add SW72 footprint
13:37:00: [INFO] Add D72 footprint
13:37:00: [INFO] Add SW73 footprint
13:37:00: [INFO] Add D73 footprint
13:37:00: [INFO] Add SW74 footprint
13:37:00: [INFO] Add D74 footprint
13:37:00: [INFO] Add SW75 footprint
13:37:00: [INFO] Add D75 footprint
13:37:00: [INFO] Add SW76 footprint
13:37:00: [INFO] Add D76 footprint
13:37:01: [INFO] Add SW77 footprint
13:37:01: [INFO] Add D77 footprint
13:37:01: [INFO] Add SW78 footprint
13:37:01: [INFO] Add D78 footprint
13:37:01: [INFO] Add SW79 footprint
13:37:01: [INFO] Add D79 footprint
13:37:01: [INFO] Add SW80 footprint
13:37:01: [INFO] Add D80 footprint
13:37:01: [INFO] Add SW81 footprint
