=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:40:51: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0SA0dwE9ZwAwoBMSAvpuPuggMwA6Ado41QuBawCzNMOvgBddACgwUPAgDsKSWQ7UkgkWOjwiaCrngBaQrIoBjPOADEk8xfDksVfOzgQj8Uwddur8tvKL3K6Gr5UnIHoivIAbCGSIQAcIQCcIQh2nl421D6YjsYmAIb5Bb4A7nhE1n60PCzoKQ7i8AgaWE5YJm7u5ayRntGecZ6JQqIQqnDqGM05BYUUJQ1o5Qg19tnObe1Gi9S+S5lYSwEUS8FHoTvo3fvovVf9V4mnyecIaeBLCHsQc4gLj-S8jCWtRGeEIJC2yBW9QIxDkVwQlze1BuSIQdwgAAtShD4lUGDRllloYQ4ajcQD8dsiaNGhNwC1TBZLLMJLCKFi1LMfPM6RjuYgKJB+bpYeUiNR-jx3kphtDxoYptNcsVWbIxYS6gz1u0PFhxa9xXtwOLDnr0CczWEzYjxSjxXdjegHmanhR9WlVq0meYVWpRW6JXigVDRmC6VqNpsA5DqaD-S6bcjfPr0dDaeqEOSeASPcTfi6iEHtkMxFqlcqWfNwRQCfg8fqoRGNrrwDn61S6qG2ZM1uXfWN462au3gfScpGWwSjQTTUOLUOrUPEQSUQSHQTnUPXVgc7my0r++o1TWMiHWeHx83yjnl0mT2ioRyxtfqFneJwNSD4CSX5m8R+2BLL9EGkfQsC0OARTAsc1m9aJf0UIC5SaHA8BFEgFV7A9Kx+UkPzrCkMFqcAALxIioW+dMKA-QtCM-GDWgnHDwkHD9wjI+j92mftGmrLAAIInhyKJSjWOoBAONHUS+JIjJJLPeAaBQpsdXKACUQA1MaXzWS-wpACZRUCQWOgiCoIvWDvRbADZwAxcAMiJDRnlcC0LDTDWj7HCqP44c6NeUj-Io881PQWihI7T0XGbHDJFC9igqJLiZiwUS8PEjjczS0KPkywzgJc8BpPSwTeAwI1Aoiz4itZGSaI46qVPcWL4oaxtFW47yxOSNrqIyujquKnLwrKsLBAEIA
13:40:57: [INFO] Add D88 footprint
13:40:57: [INFO] Add SW89 footprint
13:40:57: [INFO] Add D89 footprint
13:40:58: [INFO] Detected layout convertible to matrix annotated keyboard
13:40:58: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:40:58: [INFO] Layout offset: (33337500, 23812500)
13:40:58: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:40:58: [INFO] Placing additional elements for SW89
13:40:58: [INFO] Placing additional elements for SW88
13:40:58: [INFO] Placing additional elements for SW87
13:40:58: [INFO] Placing additional elements for SW86
13:40:58: [INFO] Placing additional elements for SW85
13:40:58: [INFO] Placing additional elements for SW84
13:40:58: [INFO] Placing additional elements for SW83a
13:40:58: [INFO] Placing additional elements for SW83
13:40:58: [INFO] Placing additional elements for SW82b
13:40:58: [INFO] Placing additional elements for SW82a
13:40:58: [INFO] Placing additional elements for SW82
13:40:58: [INFO] Placing additional elements for SW81a
13:40:58: [INFO] Placing additional elements for SW81
13:40:58: [INFO] Placing additional elements for SW80b
13:40:58: [INFO] Placing additional elements for SW80a
13:40:58: [INFO] Placing additional elements for SW80
13:40:58: [INFO] Placing additional elements for SW79a
13:40:58: [INFO] Placing additional elements for SW79
13:40:58: [INFO] Placing additional elements for SW78a
13:40:58: [INFO] Placing additional elements for SW78
13:40:58: [INFO] Placing additional elements for SW77a
13:40:58: [INFO] Placing additional elements for SW77
13:40:58: [INFO] Placing additional elements for SW76a
13:40:58: [INFO] Placing additional elements for SW76
13:40:58: [INFO] Placing additional elements for SW75
13:40:58: [INFO] Placing additional elements for SW74
13:40:58: [INFO] Placing additional elements for SW73
13:40:58: [INFO] Placing additional elements for SW72
13:40:58: [INFO] Placing additional elements for SW71
13:40:58: [INFO] Placing additional elements for SW70
13:40:58: [INFO] Placing additional elements for SW69
13:40:58: [INFO] Placing additional elements for SW68
13:40:58: [INFO] Placing additional elements for SW67
13:40:58: [INFO] Placing additional elements for SW66
13:40:58: [INFO] Placing additional elements for SW65
13:40:58: [INFO] Placing additional elements for SW64
13:40:58: [INFO] Placing additional elements for SW63
13:40:58: [INFO] Placing additional elements for SW62
13:40:58: [INFO] Placing additional elements for SW61
13:40:58: [INFO] Placing additional elements for SW60
13:40:58: [INFO] Placing additional elements for SW59a
13:40:58: [INFO] Placing additional elements for SW59
13:40:58: [INFO] Placing additional elements for SW58
13:40:58: [INFO] Placing additional elements for SW57
13:40:58: [INFO] Placing additional elements for SW56
13:40:58: [INFO] Placing additional elements for SW55
13:40:58: [INFO] Placing additional elements for SW54
13:40:58: [INFO] Placing additional elements for SW53a
13:40:58: [INFO] Placing additional elements for SW53
13:40:58: [INFO] Placing additional elements for SW52
13:40:58: [INFO] Placing additional elements for SW51
13:40:58: [INFO] Placing additional elements for SW50
13:40:58: [INFO] Placing additional elements for SW49
13:40:58: [INFO] Placing additional elements for SW48
13:40:58: [INFO] Placing additional elements for SW47
13:40:58: [INFO] Placing additional elements for SW46
13:40:58: [INFO] Placing additional elements for SW45
13:40:58: [INFO] Placing additional elements for SW44
13:40:58: [INFO] Placing additional elements for SW43
13:40:58: [INFO] Placing additional elements for SW42
13:40:58: [INFO] Placing additional elements for SW41
13:40:58: [INFO] Placing additional elements for SW40
13:40:58: [INFO] Placing additional elements for SW39a
