=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:39:20: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoCsAaO4DGtMGIB2I48AXw3AAY1LwMId5w8BDN9uzAd1wEZVymar04NczLJKlkK1BJypoAzAuoAWVWhSaAbJoKaAHJoCcm3rVlpeIq73n1s41uzYKe8fikGLeSgDoAdkFB1JZwENCeSAjomIz4xCQUHnD8sRQAFrgIKfLRceCZ+WkUkCUAtJQx3nYBwQ3ColB8SNTxzq5uKa21Qtb1IYFy4AC6aABQYC3wyH3gvDTNqfwE84u2EU5MeFLSPosOmIsqFIsaZ1oKi3qXBpfGl2aXFtfWm2I7SUTuOTUHAyGoSWjiicGqGQ6Oz2khkx2sCCBw2szTBXgB9iRI0cCWY33u3FasQxg0aaHk4ymn3wXRYv2ixIouV4SI2zVxuxhcPAuURDSCbNBuAhhQ5tO5uXCEFSyEZmGZrJBWw5MJwPlyp3laAuWu0TLQty1BJ5aEeWueWte+psCmZR2pzHFPWia3VAzGk2mYLmPiUNCRkuWRPmfpZ-MCgYofr5Q0jWxW-yjygDSodnL29LgBF9aAIKal2xpXUz6RD1ko+YUoZjDTj0uDOb8lcpXr+hQAnsKBEmK+HmUGCo2Ux9wAm5eBo8OB2lu5g-aSgv2cc5VZmEDmUFPHDLE3Pc1vlZ1i86Z2WTAf6wyyxYL6OG0nMX2Udveo2FxGUaNRkA
13:39:23: [INFO] Routing pad 'SW44a:2' at (121602500, 90170000) with pad 'D44:2' at (121761250, 97850000) using coordinate system rotated by 0 degree(s)
13:39:23: [INFO] Routing SW44 with D44
13:39:23: [INFO] Using internal autorouter method
13:39:23: [INFO] Routing pad 'SW44:2' at (119221250, 90170000) with pad 'D44:2' at (121761250, 97850000) using coordinate system rotated by 0 degree(s)
13:39:23: [INFO] Routing SW43 with D43
13:39:23: [INFO] Using internal autorouter method
13:39:23: [INFO] Routing pad 'SW43:2' at (97790000, 90170000) with pad 'D43:2' at (100330000, 97850000) using coordinate system rotated by 0 degree(s)
13:39:23: [INFO] Adding track segment (B.Cu): [(97790000, 90170000), (97790000, 95310000)]
13:39:23: [INFO] Adding track segment (B.Cu): [(97790000, 95310000), (100330000, 97850000)]
13:39:23: [INFO] Routing SW42 with D42
13:39:23: [INFO] Using internal autorouter method
13:39:23: [INFO] Routing pad 'SW42:2' at (357346250, 71120000) with pad 'D42:2' at (359886250, 78800000) using coordinate system rotated by 0 degree(s)
13:39:23: [INFO] Adding track segment (B.Cu): [(357346250, 71120000), (357346250, 76260000)]
13:39:23: [INFO] Adding track segment (B.Cu): [(357346250, 76260000), (359886250, 78800000)]
13:39:23: [INFO] Routing SW41 with D41
13:39:23: [INFO] Using internal autorouter method
13:39:23: [INFO] Routing pad 'SW41:2' at (331152500, 71120000) with pad 'D41:2' at (333692500, 78800000) using coordinate system rotated by 0 degree(s)
13:39:23: [INFO] Adding track segment (B.Cu): [(331152500, 71120000), (331152500, 76260000)]
13:39:23: [INFO] Adding track segment (B.Cu): [(331152500, 76260000), (333692500, 78800000)]
13:39:23: [INFO] Routing SW40 with D40
13:39:23: [INFO] Using internal autorouter method
13:39:23: [INFO] Routing pad 'SW40:2' at (312102500, 71120000) with pad 'D40:2' at (314642500, 78800000) using coordinate system rotated by 0 degree(s)
13:39:23: [INFO] Adding track segment (B.Cu): [(312102500, 71120000), (312102500, 76260000)]
13:39:23: [INFO] Adding track segment (B.Cu): [(312102500, 76260000), (314642500, 78800000)]
13:39:23: [INFO] Routing SW39 with D39
13:39:24: [INFO] Using internal autorouter method
13:39:24: [INFO] Routing pad 'SW39:2' at (293052500, 71120000) with pad 'D39:2' at (295592500, 78800000) using coordinate system rotated by 0 degree(s)
13:39:24: [INFO] Adding track segment (B.Cu): [(293052500, 71120000), (293052500, 76260000)]
13:39:24: [INFO] Adding track segment (B.Cu): [(293052500, 76260000), (295592500, 78800000)]
13:39:24: [INFO] Routing SW38 with D38
13:39:24: [INFO] Using internal autorouter method
13:39:24: [INFO] Routing pad 'SW38:2' at (274002500, 71120000) with pad 'D38:2' at (276542500, 78800000) using coordinate system rotated by 0 degree(s)
13:39:24: [INFO] Adding track segment (B.Cu): [(274002500, 71120000), (274002500, 76260000)]
13:39:24: [INFO] Adding track segment (B.Cu): [(274002500, 76260000), (276542500, 78800000)]
13:39:24: [INFO] Routing SW37 with D37
13:39:24: [INFO] Using internal autorouter method
13:39:24: [INFO] Routing pad 'SW37:2' at (254952500, 71120000) with pad 'D37:2' at (257492500, 78800000) using coordinate system rotated by 0 degree(s)
13:39:24: [INFO] Adding track segment (B.Cu): [(254952500, 71120000), (254952500, 76260000)]
13:39:24: [INFO] Adding track segment (B.Cu): [(254952500, 76260000), (257492500, 78800000)]
13:39:24: [INFO] Routing SW36 with D36
13:39:24: [INFO] Using internal autorouter method
13:39:24: [INFO] Routing pad 'SW36:2' at (235902500, 71120000) with pad 'D36:2' at (238442500, 78800000) using coordinate system rotated by 0 degree(s)
13:39:24: [INFO] Adding track segment (B.Cu): [(235902500, 71120000), (235902500, 76260000)]
13:39:24: [INFO] Adding track segment (B.Cu): [(235902500, 76260000), (238442500, 78800000)]
13:39:24: [INFO] Routing SW35 with D35
13:39:24: [INFO] Using internal autorouter method
13:39:24: [INFO] Routing pad 'SW35:2' at (216852500, 71120000) with pad 'D35:2' at (219392500, 78800000) using coordinate system rotated by 0 degree(s)
13:39:24: [INFO] Adding track segment (B.Cu): [(216852500, 71120000), (216852500, 76260000)]
13:39:24: [INFO] Adding track segment (B.Cu): [(216852500, 76260000), (219392500, 78800000)]
13:39:24: [INFO] Routing SW34 with D34
13:39:24: [INFO] Using internal autorouter method
