=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:58: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgGwDoCsBfANHcAGDBGcLCaeAJiR023wPAF0MAoMKWOAZi3AE92BaHEgDs6bngAsROCXYBOauAkYpjFrPLc+8QSLHY8KaRrj5FeDsbbxhi5ZeLXTdjEbWtScFFoFCAHKLmGGRWnvpKwQzMrNpwughk3tgAxuzgAMQAhtk54EHCVqnwGcmlZXniGAih7BKoQTg15JSKtI2OnnXhytWORdhZOdkV2MoF7iZc2LG6otz9JWWlI+C0Uh3yit6q0SZkPjpCgdy0RhvwZicYDjJOttzeNyaX2N5uu05JvL5IAeG0IXOXi2kQm30OSASXwWgyGK1oBT6aXSS2WrSqTVMHBBvVuMKGwxB4w+nim4LiR2hyNRqUU+3Wt08Cm4CBUUXUTn20x+x2w+zOjPYL3A+yed0UrLFnmFrPeHLCBwpv15IsiQPCrJCYJmQih82RBMyK32iLx1NRxoxQPw2JZVrNxVhuQlGGJ8vYFC+Ovq3C4DOeQio3GEbLBACdOtww7E-Eh8HNsJ5dF6BHUECquJZw9KyUmhCmdGmVSGsx8w0KvhHatw86hFfwi+EuFqy+wOHhEz8C3EKEG+QQADoAO2Hw7wjTBtabg5Hs-H7I8Alo3Pg+e4AAsPYouPhR3O6OHal8p-WOD7+zg98O2guTMntxhL7Pr4-b+ShIkN1vfY+r0PaIQh6FpWOY1l29YoJCKqsk+e77BOJJdooIawbO8Fvkmy7vkgn7YJu5DIb+z5DvsgGtjo7ZgRC3b8GeiQuruxFcAh7rUYRjF7sxb6xGueHftgIYcbOO5vuWOj4Me4Erj257gCGWr0EAA
13:36:02: [INFO] Placing additional elements for SW28
13:36:02: [INFO] Placing additional elements for SW27
13:36:02: [INFO] Placing additional elements for SW26a
13:36:02: [INFO] Placing additional elements for SW26
13:36:02: [INFO] Placing additional elements for SW25a
13:36:02: [INFO] Placing additional elements for SW25
13:36:02: [INFO] Placing additional elements for SW24
13:36:02: [INFO] Placing additional elements for SW23
13:36:02: [INFO] Placing additional elements for SW22
13:36:02: [INFO] Placing additional elements for SW21
13:36:02: [INFO] Placing additional elements for SW20
13:36:02: [INFO] Placing additional elements for SW19
13:36:02: [INFO] Placing additional elements for SW18
13:36:02: [INFO] Placing additional elements for SW17
13:36:02: [INFO] Placing additional elements for SW16
13:36:02: [INFO] Placing additional elements for SW15
13:36:02: [INFO] Placing additional elements for SW14
13:36:02: [INFO] Placing additional elements for SW13
13:36:02: [INFO] Placing additional elements for SW12
13:36:02: [INFO] Placing additional elements for SW11
13:36:02: [INFO] Placing additional elements for SW10
13:36:02: [INFO] Placing additional elements for SW9
13:36:02: [INFO] Placing additional elements for SW8
13:36:02: [INFO] Placing additional elements for SW7
13:36:02: [INFO] Placing additional elements for SW6
13:36:02: [INFO] Placing additional elements for SW5
13:36:02: [INFO] Placing additional elements for SW4
13:36:02: [INFO] Placing additional elements for SW3
13:36:02: [INFO] Placing additional elements for SW2
13:36:02: [INFO] Placing additional elements for SW1
13:36:02: [INFO] Routing SW54 with D54
13:36:02: [INFO] Using internal autorouter method
13:36:02: [INFO] Routing pad 'SW54:2' at (307340000, 99695000) with pad 'D54:2' at (309880000, 107375000) using coordinate system rotated by 0 degree(s)
13:36:02: [INFO] Adding track segment (B.Cu): [(307340000, 99695000), (307340000, 104835000)]
13:36:02: [INFO] Adding track segment (B.Cu): [(307340000, 104835000), (309880000, 107375000)]
13:36:02: [INFO] Routing SW53 with D53
13:36:02: [INFO] Using internal autorouter method
13:36:02: [INFO] Routing pad 'SW53:2' at (288290000, 99695000) with pad 'D53:2' at (290830000, 107375000) using coordinate system rotated by 0 degree(s)
13:36:02: [INFO] Adding track segment (B.Cu): [(288290000, 99695000), (288290000, 104835000)]
13:36:02: [INFO] Adding track segment (B.Cu): [(288290000, 104835000), (290830000, 107375000)]
13:36:02: [INFO] Routing SW52 with D52
13:36:02: [INFO] Using internal autorouter method
13:36:02: [INFO] Routing pad 'SW52:2' at (266303802, 101920743) with pad 'D52:2' at (270744983, 108681653) using coordinate system rotated by 345.0 degree(s)
13:36:02: [INFO] Adding track segment (B.Cu): [(266303802, 101920743), (267634131, 106885602)]
