=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:41:19: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDYB0AGA7AGjuAnrHGigEwC+O4ArFkgDoB2jjJWC4OEAxoeAMQBDIcPAVcNDMyYNW7ALpYAUGCiESKACwJKBeMRI1cPePwxnzoymixoOcbrz5dnLy7mvtOq+AE4USJDFqLA07YKo7BxNBYSEwgHc1IIkpFhtI7yIUKiRKY1wnF2c3cGwMcAVlCGh4dRIADjzHWLjKRPgEbKDtWy98-iLi7rYMmrh6lB8NINzQylyI+doM9sQupclpRmte+0ziLSDG8q8xzvrsI0dzCzbCToNKAAs1NpJ77Of3jspIb7gALT6KhBbD0LYMDwVJQqMbEQzgfqFIolDRYRZ7OH+NFXaItAQJD4YEGUVi7KIFQY8IKyUaEPzkSjYOa4bAYimmG4nXCrOok1m0VKQ9KnQgHbS4ymDEo+LDc6pilDEmZyoVQyqwxX88BopB0vSfSX8fGE2qkbUAZhsQp6GSRVJKVs8mMIEw0GCOWAtYUaLI5MViprWysojQiGoVHQwSoRukBxGJTWiXPKnr1Ef2hvwhCB5qTUpRQTR8szCKRJruHXNRZFe1WD21aPeot8mkaPI+BiCsudEHr1cosveGbOqETuDjufHiOuXJlXrCspZ4Fl4ZhkbgrAnWvzxpaQYbQStaBtIz6jgdNYQp-k6-AACdXZR72cY781JNLtmDT4LUFrM27gLlYIRhNYGLgNY6Z3mMFqaB6lDaIB4DaN6iGgeha5VJkcEYIyuCsMhrBoXsDCEAALveACuACmNIYQR6LQthYwaKQ+HgFayFWiRnEMXxWGavAbF4buAYiJWaxdpQaIWkKx52he0qSXyNYaPJ6QjoQIlbt+WTTryA64Gi6kQk6il4vukmHjJXoabe2GPvAALtpk0YXDoOZsVQrn2tKyS1sEzrBMhNDelp8DRhaCG4LkuzgLkwW5MhuThTBhDRkgHHYOS4BkfAlG0aCZ4Csh2BpSxGUoAgunlvu3bLOe0SXqGgWNMFjTDulkXVbphkhrgsq2HIchAA
13:41:24: [INFO] Add SW61 footprint
13:41:24: [INFO] Add D61 footprint
13:41:24: [INFO] Add SW62 footprint
13:41:24: [INFO] Add D62 footprint
13:41:24: [INFO] Add SW63 footprint
13:41:24: [INFO] Add D63 footprint
13:41:24: [INFO] Add SW64 footprint
13:41:24: [INFO] Add D64 footprint
13:41:24: [INFO] Add SW65 footprint
13:41:24: [INFO] Add D65 footprint
13:41:24: [INFO] Add SW66 footprint
13:41:24: [INFO] Add D66 footprint
13:41:24: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:41:24: [INFO] Add ST66 footprint
13:41:24: [INFO] Add SW67 footprint
13:41:24: [INFO] Add D67 footprint
13:41:24: [INFO] Add SW68 footprint
13:41:24: [INFO] Add D68 footprint
13:41:24: [INFO] Add SW69 footprint
13:41:24: [INFO] Add D69 footprint
13:41:24: [INFO] Add SW70 footprint
13:41:24: [INFO] Add D70 footprint
13:41:24: [INFO] Add SW71 footprint
13:41:24: [INFO] Add D71 footprint
13:41:24: [INFO] Add SW72 footprint
13:41:24: [INFO] Add D72 footprint
13:41:24: [INFO] Add SW73 footprint
13:41:24: [INFO] Add D73 footprint
13:41:25: [INFO] Detected layout convertible to matrix annotated keyboard
13:41:25: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:41:25: [INFO] Layout offset: (20764500, 20002500)
13:41:25: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:41:25: [INFO] Placing additional elements for SW73
13:41:25: [INFO] Placing additional elements for SW72
13:41:25: [INFO] Placing additional elements for SW71
13:41:25: [INFO] Placing additional elements for SW70
13:41:25: [INFO] Placing additional elements for SW69
13:41:25: [INFO] Placing additional elements for SW68
13:41:25: [INFO] Placing additional elements for SW67
13:41:25: [INFO] Placing additional elements for SW66
13:41:25: [INFO] Placing additional elements for SW65
13:41:25: [INFO] Placing additional elements for SW64
13:41:25: [INFO] Placing additional elements for SW63
13:41:25: [INFO] Placing additional elements for SW62
13:41:25: [INFO] Placing additional elements for SW61
13:41:25: [INFO] Placing additional elements for SW60
13:41:25: [INFO] Placing additional elements for SW59
13:41:25: [INFO] Placing additional elements for SW58
13:41:25: [INFO] Placing additional elements for SW57
13:41:25: [INFO] Placing additional elements for SW56a
13:41:25: [INFO] Placing additional elements for SW56
13:41:25: [INFO] Placing additional elements for SW55
13:41:25: [INFO] Placing additional elements for SW54
13:41:25: [INFO] Placing additional elements for SW53
13:41:25: [INFO] Placing additional elements for SW52
13:41:25: [INFO] Placing additional elements for SW51
13:41:25: [INFO] Placing additional elements for SW50
13:41:25: [INFO] Placing additional elements for SW49a
13:41:25: [INFO] Placing additional elements for SW49
13:41:25: [INFO] Placing additional elements for SW48
13:41:25: [INFO] Placing additional elements for SW47
13:41:25: [INFO] Placing additional elements for SW46
13:41:25: [INFO] Placing additional elements for SW45
13:41:25: [INFO] Placing additional elements for SW44
13:41:25: [INFO] Placing additional elements for SW43
13:41:25: [INFO] Placing additional elements for SW42
13:41:25: [INFO] Placing additional elements for SW41a
13:41:25: [INFO] Placing additional elements for SW41
13:41:25: [INFO] Placing additional elements for SW40
13:41:25: [INFO] Placing additional elements for SW39
13:41:25: [INFO] Placing additional elements for SW38
13:41:25: [INFO] Placing additional elements for SW37
13:41:25: [INFO] Placing additional elements for SW36
13:41:25: [INFO] Placing additional elements for SW35
13:41:25: [INFO] Placing additional elements for SW34
13:41:25: [INFO] Placing additional elements for SW33
13:41:25: [INFO] Placing additional elements for SW32
13:41:25: [INFO] Placing additional elements for SW31
13:41:25: [INFO] Placing additional elements for SW30a
13:41:25: [INFO] Placing additional elements for SW30
13:41:25: [INFO] Placing additional elements for SW29a
13:41:25: [INFO] Placing additional elements for SW29
13:41:25: [INFO] Placing additional elements for SW28
13:41:25: [INFO] Placing additional elements for SW27
13:41:25: [INFO] Placing additional elements for SW26
13:41:25: [INFO] Placing additional elements for SW25
13:41:25: [INFO] Placing additional elements for SW24
13:41:25: [INFO] Placing additional elements for SW23
13:41:25: [INFO] Placing additional elements for SW22
13:41:25: [INFO] Placing additional elements for SW21
13:41:25: [INFO] Placing additional elements for SW20a
13:41:25: [INFO] Placing additional elements for SW20
13:41:25: [INFO] Placing additional elements for SW19
13:41:25: [INFO] Placing additional elements for SW18
13:41:25: [INFO] Placing additional elements for SW17
13:41:25: [INFO] Placing additional elements for SW16
13:41:25: [INFO] Placing additional elements for SW15
13:41:25: [INFO] Placing additional elements for SW14
13:41:25: [INFO] Placing additional elements for SW13
13:41:25: [INFO] Placing additional elements for SW12
13:41:25: [INFO] Placing additional elements for SW11
13:41:25: [INFO] Placing additional elements for SW10
13:41:25: [INFO] Placing additional elements for SW9
13:41:25: [INFO] Placing additional elements for SW8
13:41:25: [INFO] Placing additional elements for SW7
13:41:25: [INFO] Placing additional elements for SW6
13:41:25: [INFO] Placing additional elements for SW5
13:41:25: [INFO] Placing additional elements for SW4
13:41:25: [INFO] Placing additional elements for SW3
13:41:25: [INFO] Placing additional elements for SW2
13:41:25: [INFO] Placing additional elements for SW1
13:41:25: [INFO] Routing SW73 with D73
13:41:25: [INFO] Using internal autorouter method
13:41:25: [INFO] Routing pad 'SW73:2' at (390017000, 90170000) with pad 'D73:2' at (392557000, 97850000) using coordinate system rotated by 0 degree(s)
13:41:25: [INFO] Adding track segment (B.Cu): [(390017000, 90170000), (390017000, 95310000)]
13:41:25: [INFO] Adding track segment (B.Cu): [(390017000, 95310000), (392557000, 97850000)]
13:41:25: [INFO] Routing SW72 with D72
13:41:25: [INFO] Using internal autorouter method
13:41:25: [INFO] Routing pad 'SW72:2' at (217156819, 118922337) with pad 'D72:2' at (220740949, 126174095) using coordinate system rotated by 352.0 degree(s)
13:41:25: [INFO] Adding track segment (B.Cu): [(217156819, 118922337), (217872168, 124012313)]
13:41:25: [INFO] Adding track segment (B.Cu): [(217872168, 124012313), (220740949, 126174095)]
13:41:25: [INFO] Routing SW71 with D71
13:41:25: [INFO] Using internal autorouter method
13:41:25: [INFO] Routing pad 'SW71:2' at (390017000, 133032500) with pad 'D71:2' at (392557000, 140712500) using coordinate system rotated by 0 degree(s)
13:41:25: [INFO] Adding track segment (B.Cu): [(390017000, 133032500), (390017000, 138172500)]
13:41:25: [INFO] Adding track segment (B.Cu): [(390017000, 138172500), (392557000, 140712500)]
13:41:25: [INFO] Routing SW70 with D70
13:41:25: [INFO] Using internal autorouter method
13:41:25: [INFO] Routing pad 'SW70:2' at (370967000, 133032500) with pad 'D70:2' at (373507000, 140712500) using coordinate system rotated by 0 degree(s)
13:41:25: [INFO] Adding track segment (B.Cu): [(370967000, 133032500), (370967000, 138172500)]
13:41:25: [INFO] Adding track segment (B.Cu): [(370967000, 138172500), (373507000, 140712500)]
13:41:25: [INFO] Routing SW69 with D69
13:41:25: [INFO] Using internal autorouter method
13:41:25: [INFO] Routing pad 'SW69:2' at (351917000, 133032500) with pad 'D69:2' at (354457000, 140712500) using coordinate system rotated by 0 degree(s)
