=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:51: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NobwRAdghgtgpmAXAAjAQQKIHECSBlMAXwBoAoUMADyWQEYAmAOgHYBWY1AYxrAGIoBgsBzAAXHgAYp0oiInEJw1LQVKw82mpWaO4aigmN2XHrwAcFy7NTz6SvTVqN5JlH04fP1sCrtziAMxagWryACz2VDSGxmDcbvyCAt4qEf6swRn+AGyR+sgxIvGovJ5eJMrEuf7MwbX+ZmAAumQU+QwssQCe0Yz0scV8SckVYPSqIgETqOM6qFNzDgZGRaZlHt7jfvPE22MhkwczxGk7p-tZO5f71Tu3+-U7j-uNunGmw1BqAO409KNTMwAHQgIJB8kUb3yhn6qwS624AOIwNBqI0wRRYIg6Ja5DAYQUWJB4yCInYEiJEBJagJtEp1LJxDpqOJRyWBT6rFGBIpLKpuzU5PpApEtOF23Ag0SSW87GZWK2eV6sNQAAs-qNsoS+bNIlKEbLtQqmTSmcK5mA5ealcsVe8Ep9vDzhZDkJK1utDbzja78WaddNLf6fTaOQMPsMfo4jNyRW77SUDaN2HsCaTUOx037zuxzgTruxrgT7ux7gTnuxngTXvGpY6RL8UE4uYzGriKPrPZqjaiGahmD3WVmtfLe0cwAPR0PQzCW6gtd6x3sB4vWXsR+K9RGZSJ1Sh-iIAJzBpehpx2ztlbwr60iDcBi2T2-x6GcuElR3d1f813u+FdkQbwDX17xDQCT1ZX8omWcMHUjBtozYbsJQTdwAP7OMwC1LMB2HE41AHc4tWuAdri1e4B3uLVngHR4-w-eDUEbZAmH6bs21aei0KvUYzEHfks2Pb8+zAPipwEtRj3Evt2VnXj+MVI8FMwsTNyhaML23IRdw1EQ+OEk03kvcolIMi1VIfSSIP5RZoI5TS4J3NVdNQfSXS3f8eNM9y9Os8ZfSknyX2jWCGKcsBmPPOcwGPFDjI2eTBPHPjzmPc4+OuY9rj4+5j3uPjnmPOjUOlbSmL+Tp5MxVEVCg187UiyrfOqkFtCslqIDa9t2VoAdUB6FAAFpDDYd8+EsKx5LsbqwAG5BhrfVxE3QnwIWFLNaFq9atA0bb1KbRaIpc1blL2WhdoDFD8lY2JmIPZQLuNWzrs5UZNuU31zr86Z2QCFYlqGSM3vkDaVHTLjSk9BCUGYN6VEuCH63Kg7ove54vprcBGtRlQOPIHqtX6mgFtGgHzAmxo4cMh7MPe6amiAA
13:32:56: [INFO] Add D64 footprint
13:32:56: [INFO] Add SW65 footprint
13:32:56: [INFO] Add D65 footprint
13:32:56: [INFO] Add SW66 footprint
13:32:56: [INFO] Add D66 footprint
13:32:56: [INFO] Add SW67 footprint
13:32:56: [INFO] Add D67 footprint
13:32:56: [INFO] Add SW68 footprint
13:32:56: [INFO] Add D68 footprint
13:32:56: [INFO] Add SW69 footprint
13:32:56: [INFO] Add D69 footprint
13:32:56: [INFO] Add SW70 footprint
13:32:56: [INFO] Add D70 footprint
13:32:56: [INFO] Add SW71 footprint
13:32:56: [INFO] Add D71 footprint
13:32:57: [INFO] Add SW72 footprint
13:32:57: [INFO] Add D72 footprint
13:32:57: [INFO] Add ST72 footprint
13:32:57: [INFO] Add SW72a footprint
13:32:57: [INFO] Add SW73 footprint
13:32:57: [INFO] Add D73 footprint
13:32:57: [INFO] Add SW74 footprint
13:32:57: [INFO] Add D74 footprint
13:32:57: [INFO] Add SW75 footprint
13:32:57: [INFO] Add D75 footprint
13:32:57: [INFO] Add SW76 footprint
13:32:57: [INFO] Add D76 footprint
13:32:57: [INFO] Add SW77 footprint
13:32:57: [INFO] Add D77 footprint
13:32:57: [INFO] Add SW78 footprint
13:32:57: [INFO] Add D78 footprint
13:32:57: [INFO] Add SW79 footprint
13:32:57: [INFO] Add D79 footprint
13:32:57: [INFO] Add SW80 footprint
13:32:57: [INFO] Add D80 footprint
13:32:57: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:32:57: [INFO] Add ST80 footprint
13:32:57: [INFO] Add SW80a footprint
13:32:57: [INFO] Add SW81 footprint
13:32:57: [INFO] Add D81 footprint
13:32:57: [INFO] Add SW82 footprint
13:32:57: [INFO] Add D82 footprint
13:32:57: [INFO] Add SW82a footprint
13:32:57: [INFO] Add ST82a footprint
13:32:57: [INFO] Add SW83 footprint
13:32:57: [INFO] Add D83 footprint
13:32:57: [INFO] Add SW84 footprint
13:32:57: [INFO] Add D84 footprint
13:32:58: [INFO] Add SW85 footprint
13:32:58: [INFO] Add D85 footprint
13:32:58: [INFO] Add SW86 footprint
13:32:58: [INFO] Add D86 footprint
13:32:58: [INFO] Add SW87 footprint
13:32:58: [INFO] Add D87 footprint
13:32:58: [INFO] Add SW88 footprint
13:32:58: [INFO] Add D88 footprint
13:32:58: [INFO] Add SW89 footprint
13:32:58: [INFO] Add D89 footprint
13:32:58: [INFO] Add SW90 footprint
13:32:58: [INFO] Add D90 footprint
13:32:58: [INFO] Add ST90 footprint
13:32:58: [INFO] Add SW90a footprint
13:32:58: [INFO] Add SW91 footprint
13:32:58: [INFO] Add D91 footprint
13:32:58: [INFO] Add SW91a footprint
13:32:58: [INFO] Add ST91a footprint
13:32:58: [INFO] Add SW92 footprint
13:32:58: [INFO] Add D92 footprint
13:32:58: [INFO] Add SW93 footprint
13:32:58: [INFO] Add D93 footprint
13:32:58: [INFO] Add SW94 footprint
13:32:58: [INFO] Add D94 footprint
13:32:58: [INFO] Add SW95 footprint
13:32:58: [INFO] Add D95 footprint
13:32:58: [INFO] Add SW96 footprint
13:32:58: [INFO] Add D96 footprint
13:32:58: [INFO] Add SW97 footprint
13:32:58: [INFO] Add D97 footprint
13:32:58: [INFO] Add SW98 footprint
13:32:58: [INFO] Add D98 footprint
13:32:58: [INFO] Add SW99 footprint
13:32:58: [INFO] Add D99 footprint
13:32:58: [INFO] Add ST99 footprint
13:32:59: [INFO] Add SW100 footprint
13:32:59: [INFO] Add D100 footprint
13:32:59: [INFO] Add SW101 footprint
13:32:59: [INFO] Add D101 footprint
13:32:59: [INFO] Detected layout convertible to matrix annotated keyboard
13:32:59: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:32:59: [INFO] Layout offset: (33337500, 28575000)
13:32:59: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:32:59: [INFO] Placing additional elements for SW101
13:32:59: [INFO] Placing additional elements for SW100
13:32:59: [INFO] Placing additional elements for SW99
13:32:59: [INFO] Placing additional elements for SW98
13:32:59: [INFO] Placing additional elements for SW97
13:32:59: [INFO] Placing additional elements for SW96
13:32:59: [INFO] Placing additional elements for SW95
