=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:43: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwF8A0dwAYUfGzKFd0sAmI-AZnKwBZqUBWegNnoHZ6AOegTnoRx4sCQkIJkAuigBQYKLDgYAdGwZ4A7goRKSDVOgTZyh0QZRk8hqpZR0bTG6xscb3G3xsCiETfG2r9cBNCKVkIaHhlXQ0tFT08EiMEgnJEi3RE6wzbVMZcp2yXbLdsj2yvNB9Y3UDEkXBQuV9EHXj0CiS4Kr9WwI7TbpaavA70we1h9pQswZI+vMrwZrmRlALwDpKNlDLtiqn6iQkgA
13:33:47: [INFO] Routing SW30 with D30
13:33:47: [INFO] Using internal autorouter method
13:33:47: [INFO] Routing pad 'SW30:2' at (135890000, 71120000) with pad 'D30:2' at (138430000, 78800000) using coordinate system rotated by 0 degree(s)
13:33:47: [INFO] Adding track segment (B.Cu): [(135890000, 71120000), (135890000, 76260000)]
13:33:47: [INFO] Adding track segment (B.Cu): [(135890000, 76260000), (138430000, 78800000)]
13:33:47: [INFO] Routing SW29 with D29
13:33:47: [INFO] Using internal autorouter method
13:33:47: [INFO] Routing pad 'SW29:2' at (116840000, 71120000) with pad 'D29:2' at (119380000, 78800000) using coordinate system rotated by 0 degree(s)
13:33:47: [INFO] Adding track segment (B.Cu): [(116840000, 71120000), (116840000, 76260000)]
13:33:47: [INFO] Adding track segment (B.Cu): [(116840000, 76260000), (119380000, 78800000)]
13:33:47: [INFO] Routing SW28 with D28
13:33:47: [INFO] Using internal autorouter method
13:33:47: [INFO] Routing pad 'SW28:2' at (97790000, 71120000) with pad 'D28:2' at (100330000, 78800000) using coordinate system rotated by 0 degree(s)
13:33:47: [INFO] Adding track segment (B.Cu): [(97790000, 71120000), (97790000, 76260000)]
13:33:47: [INFO] Adding track segment (B.Cu): [(97790000, 76260000), (100330000, 78800000)]
13:33:47: [INFO] Routing SW27 with D27
13:33:47: [INFO] Using internal autorouter method
13:33:47: [INFO] Routing pad 'SW27:2' at (78740000, 71120000) with pad 'D27:2' at (81280000, 78800000) using coordinate system rotated by 0 degree(s)
13:33:47: [INFO] Adding track segment (B.Cu): [(78740000, 71120000), (78740000, 76260000)]
13:33:47: [INFO] Adding track segment (B.Cu): [(78740000, 76260000), (81280000, 78800000)]
13:33:47: [INFO] Routing SW26 with D26
13:33:47: [INFO] Using internal autorouter method
13:33:47: [INFO] Routing pad 'SW26:2' at (52546250, 71120000) with pad 'D26:2' at (55086250, 78800000) using coordinate system rotated by 0 degree(s)
13:33:47: [INFO] Adding track segment (B.Cu): [(52546250, 71120000), (52546250, 76260000)]
13:33:47: [INFO] Adding track segment (B.Cu): [(52546250, 76260000), (55086250, 78800000)]
13:33:47: [INFO] Routing SW25 with D25
13:33:47: [INFO] Using internal autorouter method
13:33:47: [INFO] Routing pad 'SW25:2' at (276383750, 52070000) with pad 'D25:2' at (278923750, 59750000) using coordinate system rotated by 0 degree(s)
13:33:47: [INFO] Adding track segment (B.Cu): [(276383750, 52070000), (276383750, 57210000)]
13:33:47: [INFO] Adding track segment (B.Cu): [(276383750, 57210000), (278923750, 59750000)]
13:33:47: [INFO] Routing SW24 with D24
13:33:47: [INFO] Using internal autorouter method
13:33:47: [INFO] Routing pad 'SW24:2' at (250190000, 52070000) with pad 'D24:2' at (252730000, 59750000) using coordinate system rotated by 0 degree(s)
13:33:47: [INFO] Adding track segment (B.Cu): [(250190000, 52070000), (250190000, 57210000)]
13:33:47: [INFO] Adding track segment (B.Cu): [(250190000, 57210000), (252730000, 59750000)]
13:33:47: [INFO] Routing SW23 with D23
13:33:47: [INFO] Using internal autorouter method
13:33:47: [INFO] Routing pad 'SW23:2' at (231140000, 52070000) with pad 'D23:2' at (233680000, 59750000) using coordinate system rotated by 0 degree(s)
13:33:47: [INFO] Adding track segment (B.Cu): [(231140000, 52070000), (231140000, 57210000)]
13:33:47: [INFO] Adding track segment (B.Cu): [(231140000, 57210000), (233680000, 59750000)]
13:33:47: [INFO] Routing SW22 with D22
13:33:47: [INFO] Using internal autorouter method
13:33:47: [INFO] Routing pad 'SW22:2' at (212090000, 52070000) with pad 'D22:2' at (214630000, 59750000) using coordinate system rotated by 0 degree(s)
13:33:47: [INFO] Adding track segment (B.Cu): [(212090000, 52070000), (212090000, 57210000)]
13:33:47: [INFO] Adding track segment (B.Cu): [(212090000, 57210000), (214630000, 59750000)]
13:33:47: [INFO] Routing SW21 with D21
13:33:47: [INFO] Using internal autorouter method
13:33:47: [INFO] Routing pad 'SW21:2' at (193040000, 52070000) with pad 'D21:2' at (195580000, 59750000) using coordinate system rotated by 0 degree(s)
13:33:47: [INFO] Adding track segment (B.Cu): [(193040000, 52070000), (193040000, 57210000)]
13:33:47: [INFO] Adding track segment (B.Cu): [(193040000, 57210000), (195580000, 59750000)]
