=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:18: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0AmJBfANHcDsEBmAHQDtzyAGQ8XcIw0ilmhcAXWwCgwpY4adFno0qdOBGjwqwnHjYTwNNEppE12ACwSpA2RnnLsSTQDZNAdk0AOXfxlzR2AJyaE45wnZfVuPY6GXhr+DnAGInhI2CFRJpw8fNKIliiRxgg6XLwBgsL0AJ4CALSylukEnngEPtXYfnWx+NpKBKb0BBYd2Nbddt1u3R6thLXNCA0QAO4CaEY1zJRkYgk5YUIY9DPwCGlGaNhV4AdjBw3HMUoHOvQH7XgHXQ89V9j9z4PPw7ejrxP220Qex+xHsyQi+0INy+pmySVm+TwgN25SMjCOjDGjHOjCajGhDHi9EYT0JvTwjHehM+hO+FN+oUBG3SmMmYQhxKhSkxsMS0wEuyCeC0hyW5BqShFCDFZAljIRQvAIqoMsqkvq6qaIoJIvuSuwpJF5P1VJFNKlRyltX58CEqPoUrQMoO4jhuQQqWieCK8FKKHtwq5bvWiPAPrgfs2SIFTjiVRtQMV0Wt4GRsfA0TZgLM6eiZhl6IBMaThHjqeL6WTKbTJf+weSCBzXrDJTKlaYSmTBOTvLWyTMhVboaZue0Bdo8p2o-zLHImKLtv97Zs45T4KXWxjAf1E2dE8DxD37A4HCAA
13:35:23: [INFO] Add SW75 footprint
13:35:23: [INFO] Add D75 footprint
13:35:23: [INFO] Add SW76 footprint
13:35:23: [INFO] Add D76 footprint
13:35:23: [INFO] Add SW77 footprint
13:35:23: [INFO] Add D77 footprint
13:35:23: [INFO] Add SW78 footprint
13:35:23: [INFO] Add D78 footprint
13:35:23: [INFO] Add SW79 footprint
13:35:23: [INFO] Add D79 footprint
13:35:23: [INFO] Add SW80 footprint
13:35:23: [INFO] Add D80 footprint
13:35:23: [INFO] Add SW81 footprint
13:35:24: [INFO] Add D81 footprint
13:35:24: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:35:24: [INFO] Add ST81 footprint
13:35:24: [INFO] Add SW82 footprint
13:35:24: [INFO] Add D82 footprint
13:35:24: [INFO] Add SW83 footprint
13:35:24: [INFO] Add D83 footprint
13:35:24: [INFO] Add ST83 footprint
13:35:24: [INFO] Add SW83a footprint
13:35:24: [INFO] Add SW84 footprint
13:35:24: [INFO] Add D84 footprint
13:35:24: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:35:24: [INFO] Add ST84 footprint
13:35:24: [INFO] Add SW85 footprint
13:35:24: [INFO] Add D85 footprint
13:35:24: [INFO] Add SW86 footprint
13:35:24: [INFO] Add D86 footprint
13:35:24: [INFO] Add SW87 footprint
13:35:24: [INFO] Add D87 footprint
13:35:24: [INFO] Add SW88 footprint
13:35:24: [INFO] Add D88 footprint
13:35:24: [INFO] Add SW89 footprint
13:35:24: [INFO] Add D89 footprint
13:35:24: [INFO] Add SW90 footprint
13:35:24: [INFO] Add D90 footprint
13:35:24: [INFO] Detected layout convertible to matrix annotated keyboard
13:35:24: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:35:24: [INFO] Layout offset: (23812500, 28575000)
13:35:24: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:35:24: [INFO] Placing additional elements for SW90
13:35:24: [INFO] Placing additional elements for SW89
13:35:24: [INFO] Placing additional elements for SW88
13:35:24: [INFO] Placing additional elements for SW87
13:35:24: [INFO] Placing additional elements for SW86
13:35:24: [INFO] Placing additional elements for SW85
13:35:24: [INFO] Placing additional elements for SW84
13:35:24: [INFO] Placing additional elements for SW83a
13:35:24: [INFO] Placing additional elements for SW83
13:35:24: [INFO] Placing additional elements for SW82
13:35:24: [INFO] Placing additional elements for SW81
13:35:24: [INFO] Placing additional elements for SW80
13:35:24: [INFO] Placing additional elements for SW79
13:35:24: [INFO] Placing additional elements for SW78
13:35:24: [INFO] Placing additional elements for SW77
13:35:24: [INFO] Placing additional elements for SW76
13:35:24: [INFO] Placing additional elements for SW75
13:35:24: [INFO] Placing additional elements for SW74a
13:35:24: [INFO] Placing additional elements for SW74
13:35:24: [INFO] Placing additional elements for SW73
13:35:24: [INFO] Placing additional elements for SW72
13:35:24: [INFO] Placing additional elements for SW71
13:35:24: [INFO] Placing additional elements for SW70
13:35:24: [INFO] Placing additional elements for SW69
13:35:24: [INFO] Placing additional elements for SW68
13:35:24: [INFO] Placing additional elements for SW67
13:35:24: [INFO] Placing additional elements for SW66
13:35:24: [INFO] Placing additional elements for SW65
