=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:29:00: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwF8A0dwAYUIDoDt98BWFDcNTFAJkILxLIqwGZbjTy4Jp4MA6EugDGsdAGIA7FOnhU6LABZOEEfHBihmrbKYoinSgDYDWCSZQAOcwE5zCRvOwI7VO8ztLdCfV+NoVouoAhiGhBgDuolRylAgSbHhYDtyi-BKC4KriWtoxWHEJ+QZU2PF0+EUAuigAUGDgABZRMQikCQwGrbjl9BwUrTQ9Hf0orEN9XFCpAhRZwaEhEaIIAi0onpNzGjkiaz7orX4HKGYjViO2I-adTjcIrlfuVxvgXfuv2EcQkfArRGsFHrMCYpX4zYSBSTSKRLMFUDJNeAldDhVxghFoxAUSCYgC0-HhMRKCEMCWBzmqdVBWIham2OR06GJ7Qm4BKg1owyZoxZySmvHBmUhC0WFB+iD46SJ62UQrpO12FBK7xKRzZJ2Klk1l251yVt31901CCeupexP2ATp0JhYqifEJhtJQJB-Lg-AyWwVjPA5LKtHJ4Ep9URcGiFGBGF5BnJ0Yj1Dj6GBY05rp47sFWxFQVhYYd-3jCgSCldXp2PuBauBpyTWvjOt92AcjYQznjRvbppbL3JRASJT5WZFuaokoLtZJ-bT0wy4pWUvbfZ6xNlZYZMXJztoK4oJEB2+wsvTaXHLaXB4em2Fw7tYIXE63dHZq8h3pie-9T+oQdq9XTrRRZoKBLDk6C5cASxTMDpwFT1rwWXMVkddASw2b5lnzGISy+cA50w4CNX8OVsnLW84EMfD0D3Zs91A-BWkHSEbTMd9sCg+jWT3IsegYgw93POheN3T4El44NqQA8AAE9pnhWZX3LPJsBZNtHDo3pVModiNKPGd5LpbNEMoxtuNoEtVKtEj13jAT8HM3T4AkMd9PEQyyKQ09aNEw8iLw5DwD3bSullPzPOwWy8GC3yMP8vdHw4ilf0s9Q3xGKNxk0roVJudS91lUNw25bS8uDdV0tTTTmQyzVcsPUrI2y9tGtrWqLMaIDa2KuqktwjqIOU6qCNaoNKiAA
13:29:05: [INFO] Add D59 footprint
13:29:05: [INFO] Add SW60 footprint
13:29:05: [INFO] Add D60 footprint
13:29:05: [INFO] Add SW61 footprint
13:29:05: [INFO] Add D61 footprint
13:29:05: [INFO] Add SW62 footprint
13:29:05: [INFO] Add D62 footprint
13:29:05: [INFO] Add SW63 footprint
13:29:05: [INFO] Add D63 footprint
13:29:05: [INFO] Add SW64 footprint
13:29:05: [INFO] Add D64 footprint
13:29:05: [INFO] Add SW65 footprint
13:29:05: [INFO] Add D65 footprint
13:29:05: [INFO] Add SW66 footprint
13:29:05: [INFO] Add D66 footprint
13:29:05: [INFO] Add SW67 footprint
13:29:05: [INFO] Add D67 footprint
13:29:05: [INFO] Add SW68 footprint
13:29:05: [INFO] Add D68 footprint
13:29:05: [INFO] Add SW69 footprint
13:29:05: [INFO] Add D69 footprint
13:29:05: [INFO] Add SW69a footprint
13:29:05: [INFO] Add SW70 footprint
13:29:05: [INFO] Add D70 footprint
13:29:05: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:29:05: [INFO] Add ST70 footprint
13:29:05: [INFO] Add SW70a footprint
13:29:05: [INFO] Add SW70b footprint
13:29:05: [INFO] Add SW71 footprint
13:29:05: [INFO] Add D71 footprint
13:29:05: [INFO] Add SW72 footprint
13:29:05: [INFO] Add D72 footprint
13:29:05: [INFO] Add ST72 footprint
13:29:05: [INFO] Add SW73 footprint
13:29:05: [INFO] Add D73 footprint
13:29:05: [INFO] Add ST73 footprint
13:29:05: [INFO] Add SW73a footprint
13:29:05: [INFO] Add SW74 footprint
13:29:06: [INFO] Add D74 footprint
13:29:06: [INFO] Add SW75 footprint
13:29:06: [INFO] Add D75 footprint
13:29:06: [INFO] Add SW76 footprint
13:29:06: [INFO] Add D76 footprint
13:29:06: [INFO] Add SW77 footprint
13:29:06: [INFO] Add D77 footprint
13:29:06: [INFO] Add SW78 footprint
13:29:06: [INFO] Add D78 footprint
13:29:06: [INFO] Add ST78 footprint
13:29:06: [INFO] Add SW79 footprint
