=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:27: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareANAg7rOBGAOgFYBfLcABg0szgmniUhdfHIWvzqowCYe1AMyCMAFlHFRANlEB2UQA5RATlH5aFLty0Z8ArAzxI06CrnhEyu-CIC6GAFBhwFgiQ7h8NOkaaJWNk9vHQRvAzCMEQpvCRiMKUMoYxRTZB4ACzwrYIxpAB0AOyKi6k16cCzLD3i5EuLCst9k-0CWdnjleLV4jR4Q0K89CL8EVNMeNxze6IrGMbboXIKG0r1+jDrVxvWHZ1GTNMnsmoQ+HyT55jaOs-WKc4jwc9nn8R5zxIqADzw+QkonnOXTuPTufQeekG530zSu4zMOBO1nBswOARuQLy9TW0M2OJ23D2Ll+8GkJAoAE88ABaSgUhDwtLpChVdwo8BCbHbJpJNnTBBcrb1JrEiDU+B0hmuZGeLnldGLW6c+6C-g8LmvLlxNVfCCkuD-QEULkglVglUQtX4QZc2GXFLM47VDl2tEtBaYk3ckWqlXChpccBij2HCbmWUUMQXBDRwbRvgE7zlcDRoRJmOKm4R+BCTzR4gZhUy3P5jCKItwx1HMsaStRqH12PDZpTU6pvT2Jwkv7thMZ+NRAdV1rZpFkssreohEdjJ21yjDhs24chg3-Dn97bhHhpjNPaNifez66BZ2GsuF7fqpJuPhlivXkahhGoZXRlTH5eLp+7xu-tde03fgM1ePdrzA8RQL-K9pyiE8MTPHMLwbKcGm8d0mRrBtHzgyDPwgv860I5d8GgwD4A3ZCBQ7RNrx1LMkPHOA5EnDMGJfJ1qL7f84IkOw7CAA
13:31:32: [INFO] Placing additional elements for SW18
13:31:32: [INFO] Placing additional elements for SW17
13:31:32: [INFO] Placing additional elements for SW16
13:31:32: [INFO] Placing additional elements for SW15
13:31:32: [INFO] Placing additional elements for SW14
13:31:32: [INFO] Placing additional elements for SW13
13:31:32: [INFO] Placing additional elements for SW12
13:31:32: [INFO] Placing additional elements for SW11
13:31:32: [INFO] Placing additional elements for SW10
13:31:32: [INFO] Placing additional elements for SW9
13:31:32: [INFO] Placing additional elements for SW8
13:31:32: [INFO] Placing additional elements for SW7
13:31:32: [INFO] Placing additional elements for SW6
13:31:32: [INFO] Placing additional elements for SW5
13:31:32: [INFO] Placing additional elements for SW4
13:31:32: [INFO] Placing additional elements for SW3
13:31:32: [INFO] Placing additional elements for SW2
13:31:32: [INFO] Placing additional elements for SW1
13:31:32: [INFO] Routing SW69 with D69
13:31:32: [INFO] Using internal autorouter method
13:31:32: [INFO] Routing pad 'SW69:2' at (297815000, 109220000) with pad 'D69:2' at (300355000, 116900000) using coordinate system rotated by 0 degree(s)
13:31:32: [INFO] Adding track segment (B.Cu): [(297815000, 109220000), (297815000, 114360000)]
13:31:32: [INFO] Adding track segment (B.Cu): [(297815000, 114360000), (300355000, 116900000)]
13:31:32: [INFO] Routing SW68 with D68
13:31:32: [INFO] Using internal autorouter method
13:31:32: [INFO] Routing pad 'SW68:2' at (274002500, 109220000) with pad 'D68:2' at (276542500, 116900000) using coordinate system rotated by 0 degree(s)
13:31:32: [INFO] Adding track segment (B.Cu): [(274002500, 109220000), (274002500, 114360000)]
13:31:32: [INFO] Adding track segment (B.Cu): [(274002500, 114360000), (276542500, 116900000)]
13:31:32: [INFO] Routing SW67a with D67
13:31:32: [INFO] Using internal autorouter method
13:31:32: [INFO] Routing pad 'SW67a:2' at (250190000, 109220000) with pad 'D67:2' at (257492500, 116900000) using coordinate system rotated by 0 degree(s)
13:31:32: [INFO] Routing SW67 with D67
13:31:32: [INFO] Using internal autorouter method
13:31:32: [INFO] Routing pad 'SW67:2' at (254952500, 109220000) with pad 'D67:2' at (257492500, 116900000) using coordinate system rotated by 0 degree(s)
13:31:32: [INFO] Adding track segment (B.Cu): [(254952500, 109220000), (254952500, 114360000)]
13:31:32: [INFO] Adding track segment (B.Cu): [(254952500, 114360000), (257492500, 116900000)]
13:31:32: [INFO] Routing SW66 with D66
13:31:32: [INFO] Using internal autorouter method
13:31:32: [INFO] Routing pad 'SW66:2' at (235902500, 109220000) with pad 'D66:2' at (238442500, 116900000) using coordinate system rotated by 0 degree(s)
13:31:32: [INFO] Adding track segment (B.Cu): [(235902500, 109220000), (235902500, 114360000)]
13:31:32: [INFO] Adding track segment (B.Cu): [(235902500, 114360000), (238442500, 116900000)]
13:31:32: [INFO] Routing SW65 with D65
13:31:32: [INFO] Using internal autorouter method
