=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:09: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoCsKA0dwE9aKQOybgDGe4AxAdTeAL7ECM6C4mE08jAbEgsWXiUAhqLH1i-RgBZwAXXQAoMFDwBmQsVzwAtMgCcGLIKwUS5ixKz8ATGzgc8ADiTcG19I0bylKznEZNLG04PSRDd3B+VklPe0cuZDdYxjt2UnIKMXFiAHc8G0ipNQAdADty8uj41XgNAiLPUoqWqXtwaU9GSta4hWUE-DUjHDwwxkibFhr-HiRpSc9Zfr88RjUtMYMRk0oLS0jmLx8B2oDUTd1tgUzs0Xb8rlRDuPTds32yF7SHM8ZkBAvVLtI5qGrvO7CB5rZ5MJYnVbwZCMEYhcaRDasFaDQIbYJbcJ5GEEFCLbxvTKfL7EKY-Qb6JDDMnkrBTYEUoRUGjUaHwGxIGykmlNBE4vg7W53XlwfmCjGvX7vKlWcAbOlnFxOeXHYgbdmKyXZaWBEnasHYv4EJDMfFXQgSzncnna5a+MUIVEEwU3TmQ42wrCdbwW2a8G2jO0kn2mJ0EFVBn4dEXEIOu04AJzW-Cw-mkhNtoV4Huje0+Kv4YNisliKHa-G4orOeYWcMrWGY1fb6FrcIbIbwee4QtZ6Db4CmnfH3faUz7brOKGt8rHG0nGx7WA2c9O-l4wyJfIFw6TG4gEKlkU628RcDzTk9dsMB-Ox865vnmd0-2I-k1l1C-LFsYlJlo0caxE4dboPoUH-I2v6Mi84FdpBcIwXCcH9vALhoIsyFTqhI7oSOmHzghEy6ug+EbIRqrQe0epYmRzjWs+-Kmim6CQVhATIE43D-mET7Ab6UrPoEr6eFichAA
13:33:15: [INFO] Routing SW63 with D63
13:33:15: [INFO] Using internal autorouter method
13:33:15: [INFO] Routing pad 'SW63:2' at (165880447, 138878171) with pad 'D63:2' at (167048240, 146882560) using coordinate system rotated by 10.0 degree(s)
13:33:15: [INFO] Adding track segment (B.Cu): [(165880447, 138878171), (164987894, 143940082)]
13:33:15: [INFO] Adding track segment (B.Cu): [(164987894, 143940082), (167048240, 146882560)]
13:33:15: [INFO] Routing SW62 with D62
13:33:15: [INFO] Using internal autorouter method
13:33:15: [INFO] Routing pad 'SW62:2' at (130538945, 133613705) with pad 'D62:2' at (131706738, 141618094) using coordinate system rotated by 10.0 degree(s)
13:33:15: [INFO] Adding track segment (B.Cu): [(130538945, 133613705), (129646393, 138675616)]
13:33:15: [INFO] Adding track segment (B.Cu): [(129646393, 138675616), (131706738, 141618094)]
13:33:15: [INFO] Routing SW61 with D61
13:33:15: [INFO] Using internal autorouter method
13:33:15: [INFO] Routing pad 'SW61:2' at (73977500, 130175000) with pad 'D61:2' at (76517500, 137855000) using coordinate system rotated by 0 degree(s)
13:33:15: [INFO] Adding track segment (B.Cu): [(73977500, 130175000), (73977500, 135315000)]
13:33:15: [INFO] Adding track segment (B.Cu): [(73977500, 135315000), (76517500, 137855000)]
13:33:15: [INFO] Routing SW60 with D60
13:33:15: [INFO] Using internal autorouter method
13:33:15: [INFO] Routing pad 'SW60:2' at (374967500, 115887500) with pad 'D60:2' at (377507500, 123567500) using coordinate system rotated by 0 degree(s)
13:33:15: [INFO] Adding track segment (B.Cu): [(374967500, 115887500), (374967500, 121027500)]
13:33:15: [INFO] Adding track segment (B.Cu): [(374967500, 121027500), (377507500, 123567500)]
13:33:15: [INFO] Routing SW59 with D59
13:33:15: [INFO] Using internal autorouter method
