=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:29: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgCYCM3OgXwDQIAw77h7gCMRJBOZVEAHrHPgHQBMArLghbaYWyrkcg-jgDMQipLEAWKTnliOClWIBsCzWIDsQtjj0BdHAChg4A8VLjKpA3zgMmrTqQDuTMuy42a+kSFbUQQDGQRbcMtFIJj7HDUIhIDtJNSIT3hvHV8EWUNwE3NwfOsEDjs8-zxneFcKhEy4bNzwCscSwNIKkM6oiqj8pXK4qsS25NJ81In08CbvTm5wdQKisCgmJDZxAE4ADl3d8GXV-AAdADsrq8Iy8B0iG+vLu7pN+CQMdGxSVcdaswfB4vD5lo8yM8rhQyhlQUs-iIoZcYe8FmDSI82MjUTUPghEDsDkchE02BiEKtxDjKnD4OScuDFDTYfN4a1VhwWe9oJ8UOgfidMQluYj1KKEI9xS9oZR1hAAJ4uYEIXkEomHY4g+mnJ4y17VJzgRhZFX4r4CzCk9lMyH63hom2I7H2w105oUh5I10A82Evaa63wdSex6yGm+tUWjC-SUin1CVbS54O4XJl4O+XGpjiM3o1oQmm9VYulNdI35pmljPliBR-3ErWNJjkhGUiRFx30liM4Xh10hOtbfkxoMejnxsu9R5cgdd8e69OywRGIxAA
13:33:34: [INFO] Placing additional elements for SW8
13:33:34: [INFO] Placing additional elements for SW7
13:33:34: [INFO] Placing additional elements for SW6
13:33:34: [INFO] Placing additional elements for SW5
13:33:34: [INFO] Placing additional elements for SW4
13:33:34: [INFO] Placing additional elements for SW3
13:33:34: [INFO] Placing additional elements for SW2
13:33:34: [INFO] Placing additional elements for SW1
13:33:34: [INFO] Routing SW58 with D58
13:33:34: [INFO] Using internal autorouter method
13:33:34: [INFO] Routing pad 'SW58:2' at (331152500, 90170000) with pad 'D58:2' at (333692500, 97850000) using coordinate system rotated by 0 degree(s)
13:33:34: [INFO] Adding track segment (B.Cu): [(331152500, 90170000), (331152500, 95310000)]
13:33:34: [INFO] Adding track segment (B.Cu): [(331152500, 95310000), (333692500, 97850000)]
13:33:34: [INFO] Routing SW57a with D57
13:33:34: [INFO] Using internal autorouter method
13:33:34: [INFO] Routing pad 'SW57a:2' at (302577500, 90170000) with pad 'D57:2' at (295592500, 97850000) using coordinate system rotated by 0 degree(s)
13:33:34: [INFO] Routing SW57 with D57
13:33:34: [INFO] Using internal autorouter method
13:33:34: [INFO] Routing pad 'SW57:2' at (293052500, 90170000) with pad 'D57:2' at (295592500, 97850000) using coordinate system rotated by 0 degree(s)
