=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:28:32: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGcFtwLgATgE4HsAuB9ApgYwIz7gC+ANEgAykUA6AdvYw80-dheORDPEieeCpEBVAEydKpAMwTBpACwSIAD14UAdKICsZSVtlUAbAdIB2EwA4TAThP4OAraWOOzsp1de3X92adLCSP7iAv4yoQrgALqkAFDA4PgBskkhSEnh6ZECSfox8Sq8WppOSACevAC0Gqal4Li84ADEpq1t-FkuCBANiM24A4MdiW45pJ5Z3lm+AobOsnPms+MLpFPgczNIFskCO2ngO5k9jU0AhheXwzvyrHRUDkGkWncPSuCqiBp1AO68orpwP4Xix7sl8glRLtuvVToMhoCoQcoZlwFDFFxYX1zpcLsMofpMZ8EBptAI-oh8OodAIoV0Ttj4QN8aMkFCJmi1rIoVsgfMIksnhz-Ot-LzrNDwBKDhLjh81CUBL0kC02q1ZBSEFSyUgABb-cniSnUgS6o1agTKc3VEqAiW3UFJR6FY1UJDK-pMjW8Kk09JUKR3JJECEMlW4vGAqTQsOe+HDaMHaOo6MYmEenG4hPPd7E0m-H3qWpR-npuFekuC8DRjnR9bR3k7LqHVktjk7dY7Xn2SU9g49wOO6i5wt1DNq9Xk-62gT2oPguJgLHhiPDeQx5dxhECdcHdeo9dp2OZq6A9eEmF5xVITWiGdIdeGO5Q52bppMhpnlY7rk-8WlqVWwlDkJXWCVuyoNNEioC9AJBJho1fDMIzOb1jWLPZnjuRDokXcAnECY8P2GJwDicOVxwnEjsjLbEUOoi8XRJe8NklOYDjmVE5iPN8JyrTVDEBOZGLfejAR7ZseyrHsOR7dYe18UN5UQYodXACovmvcBNW1P1wEfZ8NwzYiv1MQzCOUrUNDdUTVynRA7ww7YsNBBtoiiIA
13:28:38: [INFO] Add D77 footprint
13:28:38: [INFO] Add SW78 footprint
13:28:38: [INFO] Add D78 footprint
13:28:38: [INFO] Add SW79 footprint
13:28:38: [INFO] Add D79 footprint
13:28:38: [INFO] Add SW80 footprint
13:28:38: [INFO] Add D80 footprint
13:28:38: [INFO] Add SW81 footprint
13:28:38: [INFO] Add D81 footprint
13:28:38: [INFO] Add SW82 footprint
13:28:38: [INFO] Add D82 footprint
13:28:38: [INFO] Add SW83 footprint
13:28:38: [INFO] Add D83 footprint
13:28:38: [INFO] Add SW84 footprint
13:28:39: [INFO] Add D84 footprint
13:28:39: [INFO] Add SW85 footprint
13:28:39: [INFO] Add D85 footprint
13:28:39: [INFO] Add SW86 footprint
13:28:39: [INFO] Add D86 footprint
13:28:39: [INFO] Add SW86a footprint
13:28:39: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:28:39: [INFO] Add ST86a footprint
13:28:39: [INFO] Add SW87 footprint
13:28:39: [INFO] Add D87 footprint
13:28:39: [INFO] Add SW88 footprint
13:28:39: [INFO] Add D88 footprint
13:28:39: [INFO] Add SW89 footprint
13:28:39: [INFO] Add D89 footprint
13:28:39: [INFO] Add SW90 footprint
13:28:39: [INFO] Add D90 footprint
13:28:39: [INFO] Add SW91 footprint
13:28:39: [INFO] Add D91 footprint
13:28:39: [INFO] Add SW92 footprint
13:28:39: [INFO] Add D92 footprint
13:28:39: [INFO] Add SW93 footprint
13:28:39: [INFO] Add D93 footprint
13:28:39: [INFO] Add SW94 footprint
13:28:39: [INFO] Add D94 footprint
13:28:39: [INFO] Add SW95 footprint
13:28:39: [INFO] Add D95 footprint
13:28:39: [INFO] Add ST95 footprint
13:28:39: [INFO] Add SW95a footprint
13:28:39: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:28:39: [INFO] Add ST95a footprint
13:28:39: [INFO] Add SW96 footprint
