=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:39:54: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgJwDoDsBWANHcBjW2BiFYk8AXy3AA4MAGcAXQwCgwp9l0LsaBGRlm2jxOabtQwAmAawjC4VJJMzYAnvl6U88cARz6D4SgGcAtvnAAnAPYAXAPoBTHL37iaaADoA7Hz8kYvH6+IcGO-FgQACb4tpYAro7uGF6h3gG0wVkhjtJMsrgWRCTERthmFuSUAMx02bSBZRAVOjYOzq5V2LWZaQ292WH0kezwvNVKYpQoKdmaA2lh0iMt2F3gM6nBmvz5Qvgok5Tq8LRH2NqEBobitQAsZRt1aT2PM7uCcviKyibmrXYnC43NNnsFakFFmlHNUZGxLBoGth5BMVOATnAALSKXgBcr-NbiBqwvZfeCSJBojGYs5UKhEqRNUZwXhIWgMh6UBpoOFkuBnKn4GmoNGXXQlUoM4ZwCBivTXPAMj4FFGU45Cs7VFDiTQkz7MimC+DCuk6xkjeSs9mUTSc7CaHmk5kC9XGs7oLRFACGPt963mTLlCsVNsaTtVRqxmu1lACepV+ENrqjSFNsfNMuZVvEATt4ACjv18hdag1Is9OgIvr9ObogaKwfWAWV+3gADZzuj8CXCpXqz7HgALDSU24YeOtuB3TvU91o4djUc1RojBcspfdRlOhHG3hIqyW6do+SYo-Js-YNesqbYGZ5ItC1HJ4Uey8jm9PWGr9-iGYPbeWmg5bIo+bLJpqNAXA2CrrHcW4PsaQH7rOqb0pQcHSuAcERJmlpsuIcETnymJWs+c4ERgdqyt6-awSkvLMpiEzIWWWoVlcMHiJg94JohYGlm6qFcXWlCYDhfLZqJ44MSepECSmXBSVRvaEBKKDrJgha8VizFkUgbFQZWjbiG28HaZiSF6Wm2CmZhpniVm+GUKZRGMXJXaCYpNmUfWfa0SZ9EMAwQA
13:39:58: [INFO] Adding track segment (B.Cu): [(336364978, 85757019), (337257529, 90818930)]
13:39:58: [INFO] Adding track segment (B.Cu): [(337257529, 90818930), (340200008, 92879276)]
13:39:58: [INFO] Routing SW39 with D39
13:39:58: [INFO] Using internal autorouter method
13:39:58: [INFO] Routing pad 'SW39:2' at (316777391, 84374870) with pad 'D39:2' at (320612421, 91497127) using coordinate system rotated by 350.0 degree(s)
13:39:58: [INFO] Adding track segment (B.Cu): [(316777391, 84374870), (317669942, 89436781)]
13:39:58: [INFO] Adding track segment (B.Cu): [(317669942, 89436781), (320612421, 91497127)]
13:39:58: [INFO] Routing SW38 with D38
13:39:58: [INFO] Using internal autorouter method
13:39:58: [INFO] Routing pad 'SW38:2' at (297619843, 85431597) with pad 'D38:2' at (301454873, 92553854) using coordinate system rotated by 350.0 degree(s)
13:39:58: [INFO] Adding track segment (B.Cu): [(297619843, 85431597), (298512393, 90493507)]
13:39:58: [INFO] Adding track segment (B.Cu): [(298512393, 90493507), (301454873, 92553854)]
13:39:58: [INFO] Routing SW37 with D37
13:39:58: [INFO] Using internal autorouter method
13:39:58: [INFO] Routing pad 'SW37:2' at (279256215, 90990865) with pad 'D37:2' at (283091245, 98113122) using coordinate system rotated by 350.0 degree(s)
13:39:58: [INFO] Adding track segment (B.Cu): [(279256215, 90990865), (280148765, 96052775)]
13:39:58: [INFO] Adding track segment (B.Cu): [(280148765, 96052775), (283091245, 98113122)]
13:39:58: [INFO] Routing SW36 with D36
13:39:58: [INFO] Using internal autorouter method
13:39:58: [INFO] Routing pad 'SW36:2' at (260495628, 94298863) with pad 'D36:2' at (264330658, 101421120) using coordinate system rotated by 350.0 degree(s)
13:39:58: [INFO] Adding track segment (B.Cu): [(260495628, 94298863), (261388179, 99360774)]
