=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:29:59: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwDoCsBfANHcAGDDwsJp4BGHVTbPc8AXQwCgwpY4AmVLcATzYFoKADgDs6bnnaE4xNqSQ4quDABZps+EMoSMATnWsyCpTVL0mLEnBRdsfeIKSjx1DCgNWAbNtdDzzCHs4R2duAGM2cABiEVi46XAAdzkfZRwDCPhosJzc8BMMMyJDOFIVVJopYszsKIBDBsaE5KMXZVICBgCS7xRuIMdPdj7sGuzcnPydTw82cra8EX9LNmQR3gEKMSVSfFmyCjbd2i6V+E51geFt7l2qmRL5RVvVfbgtI703p53Cs1ONNZbBsHNdPu5il5Urs-ACQcEweFIvVGg1milPulqsiJpNfkUHlYytDCvcIGMUaj0a18Z0LIDev1NkghusKbiItwABYY34zSFzYE8mkvJZwqxrJmgpA3bDsPYCg6peUneklC5ShFOWXgeVkx7GbjytSK97Kr6mn5Gv7LQE2S7M5xKeUQwlsXrOjCwtVXbVs5GotHcFqlc1Yh7s3FTOWFb7zT2kfUUwN1amhtoqundCXA30IMRIrJRDnR8AIBVupVtcuq7NsDV2R068v6omG7Dlk2Vs3Vi3dq0dm3itj2zUhZtuN4e7jl73dX2hUYBwNp+S98PknFRpQ1uOpGtJ5dU4O8meFLNnRC55n5toqCuA8ipe+1y8N+Hju8YVtyC5KF--GqViHGOWxfuG4AvnuX6JgkL4Xo+kqNtKIgqF++jDvANjDKBMpfmocIAE6rHg2CEVC6yEUE5Q4dgbakR+A66hg-KDjMmGhgxFJxPE3L1v+k7YkWKYJMKHACexarEQ4CAMeRcjlnRAiKYx7ZlhgSzWmKQHKXx5wCZpEbIjxsSifx3D3rCdBAA
13:30:04: [INFO] Add SW68 footprint
13:30:04: [INFO] Add D68 footprint
13:30:04: [INFO] Add SW69 footprint
13:30:04: [INFO] Add D69 footprint
13:30:04: [INFO] Add SW70 footprint
13:30:04: [INFO] Add D70 footprint
13:30:04: [INFO] Detected layout convertible to matrix annotated keyboard
13:30:04: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:30:04: [INFO] Layout offset: (38100000, 28575000)
13:30:04: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:30:04: [INFO] Placing additional elements for SW70
13:30:04: [INFO] Placing additional elements for SW69
13:30:04: [INFO] Placing additional elements for SW68
13:30:04: [INFO] Placing additional elements for SW67
13:30:04: [INFO] Placing additional elements for SW66
13:30:04: [INFO] Placing additional elements for SW65
13:30:04: [INFO] Placing additional elements for SW64
13:30:04: [INFO] Placing additional elements for SW63
13:30:04: [INFO] Placing additional elements for SW62
13:30:04: [INFO] Placing additional elements for SW61
13:30:04: [INFO] Placing additional elements for SW60
13:30:04: [INFO] Placing additional elements for SW59
13:30:04: [INFO] Placing additional elements for SW58
13:30:04: [INFO] Placing additional elements for SW57
13:30:04: [INFO] Placing additional elements for SW56
13:30:04: [INFO] Placing additional elements for SW55
13:30:04: [INFO] Placing additional elements for SW54
13:30:04: [INFO] Placing additional elements for SW53
13:30:04: [INFO] Placing additional elements for SW52
13:30:04: [INFO] Placing additional elements for SW51
13:30:04: [INFO] Placing additional elements for SW50
13:30:04: [INFO] Placing additional elements for SW49
13:30:04: [INFO] Placing additional elements for SW48
13:30:04: [INFO] Placing additional elements for SW47
