=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:00: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwDoCsBfANHcAGDDwsJp4AOVTbFfcAXQwCgwpY4AmVLcAT1YFocSUgHZ0XPG0JxirAIxIclXBgAsUmfABsFLtTVEW8eYt0ZJ9JhrgpO2XvAFDRSvCnWG4KnVQxuLzEjh5ajt+QRExbDxZd0DZDkjwahj-K0EQnjCnDIBjVnAAYmFikvAXDBxYuS9c-IKchsay00rUj2QM+zhHRNkaA0DyRM0aNsCEri7HCKU+yQG5BVnVKq1vcBH9aQ9jJRHzRgDWG06sma4+twX4Gr3fOkOrYMmz5wuMGOughLuUx490i8HOFRFw8vBCgBDaEw5rYPqVL6yGpguqNJp3Vr-QIdIHddJKNj9baDdbCUbY1gTULA7KEsyrIJLLhErZWbSJclsnbM7Dkg6WDwnPHTN7YIlXEmsW5ccl+SlGWyZWnncUfRnxMnqsasQE0-HZVEQgow2H0xFSowo7Dg7D1dF5JTkrGCwIckWCMXgFT3L4-LgATnuOvguP1ji9CGJViGSlIFNdVKVUxBiSj80tTJM2Cj3Ld63jecW2fA8YFR3gwvDqaUUclVhl2Hj8sTitOKsj6qR-qb2oVcD1yoNESNdtN0Lh4CjFqejdLFQercQHqQCC9Pr+S591aQAfXDK+wnWQYz4CDm4r1hXAaUPoIX0HtsKJVKXAAFotEj6i-BqeAP22ShBj+A5Kk+JrjpOQYELQtBAA
13:33:04: [INFO] Routing SW54 with D54
13:33:04: [INFO] Using internal autorouter method
13:33:04: [INFO] Routing pad 'SW54:2' at (307340000, 112077500) with pad 'D54:2' at (309880000, 119757500) using coordinate system rotated by 0 degree(s)
13:33:04: [INFO] Adding track segment (B.Cu): [(307340000, 112077500), (307340000, 117217500)]
13:33:04: [INFO] Adding track segment (B.Cu): [(307340000, 117217500), (309880000, 119757500)]
13:33:04: [INFO] Routing SW53 with D53
13:33:04: [INFO] Using internal autorouter method
13:33:04: [INFO] Routing pad 'SW53:2' at (259715000, 94932500) with pad 'D53:2' at (262255000, 102612500) using coordinate system rotated by 0 degree(s)
13:33:04: [INFO] Adding track segment (B.Cu): [(259715000, 94932500), (259715000, 100072500)]
13:33:04: [INFO] Adding track segment (B.Cu): [(259715000, 100072500), (262255000, 102612500)]
13:33:04: [INFO] Routing SW52 with D52
13:33:04: [INFO] Using internal autorouter method
13:33:04: [INFO] Routing pad 'SW52:2' at (278765000, 92551250) with pad 'D52:2' at (281305000, 100231250) using coordinate system rotated by 0 degree(s)
13:33:04: [INFO] Adding track segment (B.Cu): [(278765000, 92551250), (278765000, 97691250)]
13:33:04: [INFO] Adding track segment (B.Cu): [(278765000, 97691250), (281305000, 100231250)]
13:33:04: [INFO] Routing SW51 with D51
13:33:04: [INFO] Using internal autorouter method
13:33:04: [INFO] Routing pad 'SW51:2' at (297815000, 90170000) with pad 'D51:2' at (300355000, 97850000) using coordinate system rotated by 0 degree(s)
