=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:14: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDoCsAaO4Ces4AYkAmDcAY13AGIBDWu8AXxLzQXAwmngWRScxYJC4ALpoAUGCi4CxTDngBaAgE50mcvCoB2XXsbM0ednE64EAFiQIAbOrIUadWgYGsAzCbPwC7930NLUQkpLkQbJDV+cHdWC2DJb3wkbXsFOGUU+01MSlJ8gtdwYmMSYjYOaW5VAMxy4TKPLwctJ2ci8vixRKrEbSISdMzCWvALOITQmVRB3EzUkgB3c1Ro2NLTFtyCwrXWZrCEAgtR2J4TGNYGzZyqZxclldOm7qnufpPZpVlR9CDXpI-L4ZAgLTDLbhZaLjDYQW55HbkaH7SphFSRUbjI4XLEVG6OPT6R7wQhETFXSZwxz3agXCFwUkjaLoWFbKiIpEkP4HcyyZmsVnwml0lapfnnAG9WxIT7yOag7IEwnaIp-TySoZAjTU+4iyGjGxGSlSlAytLyrIkeHKlXRQ1CC72zwke1dEIQABOhxYmDCin65p8A21rWF0RY1yS6NGgjYkr9-RGwIICEVrQ5HTQkd6AA4MdFynH3eAPeY5CWwnn7B70u4Zr65qb-MDFIy07kw4ZnW54qjpkzDCgLiwbMa-VYc4HkkmQ9tEZnu8U0L26mgh41R-HG0h-HtrpdF7EV5ch1ulKaEMj9+NF+Nj+NT8Xx0gbPz9+hF+hj+hHz1n4bZzuXViUQVYXSzZp4QzEgAAcKAAZQABQAQQAYQAUT1Bk7WXSCdXaHDfykUslCEEga1wOsZ16OscxbUk8BjAUeSUKwBzcFVDBzFjpyYlQx2mWI5SDaioPnAs0E41duMafjGmxM8QSIPZRxIWIpMuGTMFiOTtOYxSCEY5FVMwcYNPGLSxjQfiDJ3fkTPAdANPQSz0Bsp8LXLelSTFcCpKpUNgPBJ4cJskQgA
13:36:21: [INFO] Placing additional elements for SW53
13:36:21: [INFO] Placing additional elements for SW52
13:36:21: [INFO] Placing additional elements for SW51
13:36:21: [INFO] Placing additional elements for SW50
13:36:21: [INFO] Placing additional elements for SW49
13:36:21: [INFO] Placing additional elements for SW48
13:36:21: [INFO] Placing additional elements for SW47
13:36:21: [INFO] Placing additional elements for SW46
13:36:21: [INFO] Placing additional elements for SW45
13:36:21: [INFO] Placing additional elements for SW44
13:36:21: [INFO] Placing additional elements for SW43
13:36:21: [INFO] Placing additional elements for SW42
13:36:21: [INFO] Placing additional elements for SW41
13:36:21: [INFO] Placing additional elements for SW40
13:36:21: [INFO] Placing additional elements for SW39
13:36:21: [INFO] Placing additional elements for SW38
13:36:21: [INFO] Placing additional elements for SW37
13:36:21: [INFO] Placing additional elements for SW36
13:36:21: [INFO] Placing additional elements for SW35
13:36:21: [INFO] Placing additional elements for SW34
13:36:21: [INFO] Placing additional elements for SW33
13:36:21: [INFO] Placing additional elements for SW32
13:36:21: [INFO] Placing additional elements for SW31
13:36:21: [INFO] Placing additional elements for SW30
13:36:21: [INFO] Placing additional elements for SW29
13:36:21: [INFO] Placing additional elements for SW28
13:36:21: [INFO] Placing additional elements for SW27
13:36:21: [INFO] Placing additional elements for SW26
13:36:21: [INFO] Placing additional elements for SW25
13:36:21: [INFO] Placing additional elements for SW24
13:36:21: [INFO] Placing additional elements for SW23
13:36:21: [INFO] Placing additional elements for SW22
13:36:21: [INFO] Placing additional elements for SW21
13:36:21: [INFO] Placing additional elements for SW20
13:36:21: [INFO] Placing additional elements for SW19
13:36:21: [INFO] Placing additional elements for SW18
13:36:21: [INFO] Placing additional elements for SW17
13:36:21: [INFO] Placing additional elements for SW16
13:36:21: [INFO] Placing additional elements for SW15
13:36:21: [INFO] Placing additional elements for SW14
13:36:21: [INFO] Placing additional elements for SW13
13:36:21: [INFO] Placing additional elements for SW12
13:36:21: [INFO] Placing additional elements for SW11
13:36:21: [INFO] Placing additional elements for SW10
13:36:21: [INFO] Placing additional elements for SW9
13:36:21: [INFO] Placing additional elements for SW8
13:36:21: [INFO] Placing additional elements for SW7
13:36:21: [INFO] Placing additional elements for SW6
13:36:21: [INFO] Placing additional elements for SW5
13:36:21: [INFO] Placing additional elements for SW4
13:36:21: [INFO] Placing additional elements for SW3
13:36:21: [INFO] Placing additional elements for SW2
13:36:21: [INFO] Placing additional elements for SW1
13:36:21: [INFO] Routing SW82 with D82
13:36:21: [INFO] Using internal autorouter method
13:36:21: [INFO] Routing pad 'SW82:2' at (382587500, 138747500) with pad 'D82:2' at (385127500, 146427500) using coordinate system rotated by 0 degree(s)
13:36:21: [INFO] Adding track segment (B.Cu): [(382587500, 138747500), (382587500, 143887500)]
13:36:21: [INFO] Adding track segment (B.Cu): [(382587500, 143887500), (385127500, 146427500)]
13:36:21: [INFO] Routing SW81 with D81
13:36:21: [INFO] Using internal autorouter method
13:36:21: [INFO] Routing pad 'SW81:2' at (363537500, 138747500) with pad 'D81:2' at (366077500, 146427500) using coordinate system rotated by 0 degree(s)
13:36:21: [INFO] Adding track segment (B.Cu): [(363537500, 138747500), (363537500, 143887500)]
13:36:21: [INFO] Adding track segment (B.Cu): [(363537500, 143887500), (366077500, 146427500)]
13:36:21: [INFO] Routing SW80 with D80
13:36:21: [INFO] Using internal autorouter method
13:36:21: [INFO] Routing pad 'SW80:2' at (344487500, 138747500) with pad 'D80:2' at (347027500, 146427500) using coordinate system rotated by 0 degree(s)
13:36:21: [INFO] Adding track segment (B.Cu): [(344487500, 138747500), (344487500, 143887500)]
