=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:57: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCICdwLgAgIwAYA0dwA9ZwEwDoB2AVjXAE9sBaJPBAX1NQGZwBdFAKDE2wUJPQV41PADYiDdKhzg0ELPD5JJ4VABY2nbgrgicA8lRrEVqJLKkoEmrvOxr+pIbpoBOUyiI3t2fMSdGhCoIKCzstjyKjoKB4sEoMnKRiHjKpCEa4T7CNPoBOfzx5ulW3nbwDv4xBe4lXlnluNGGBQQqOKFlyXxVLS5iEqQdiXCNSu0omVqNegbOIiZDKMXoHdYNyZVzgbWrnl06ftutKkydGzo9x-1xpGcjY6mnkweBedX9i+hnK+Bn69NNs15m5nvVAYdgYECKQAMbYcAAYgAhqi0eAVGpzhDeFCCrd0FiHt0nqQsVMIjpZvlPoNCcsLOAsQDKfY8f1dkz9hdsER2ZQ+AAOAwAC1xdL+KFEXWgwmQpEgOlEeAMkGcIXQkPefREGvA8PgSNhxpNGMYKFcryi2pBAw8gosjzSlmQVrgDht0IlqAQ1nNCBkPPguWuIk5qAIbvwnpOJUtQZSMZuEpCDqSl1J6BCroTHtDxhTVj9WasgZxwbwSbD8UjCej+aCS3j5cTDYJ4A6adGJOdHas5lzlYbXz7vsZazLrIrVdBS1rLfrNIWz2bU9bS5o7bOXadzxzLbzG8KdyLjP+k+ycBDR85Z3na8XHwWcIRKLRqLN9NXl74M7tZJQHce0xfs3UPJ8CxAscAIDN1rwgvBOSxe9LwWUMhVFcUQOlVhWCAA
13:37:01: [INFO] Routing SW53 with D53
13:37:01: [INFO] Using internal autorouter method
13:37:01: [INFO] Routing pad 'SW53:2' at (83137764, 119215822) with pad 'D53:2' at (84305557, 127220211) using coordinate system rotated by 10.0 degree(s)
13:37:01: [INFO] Adding track segment (B.Cu): [(83137764, 119215822), (82245211, 124277733)]
13:37:01: [INFO] Adding track segment (B.Cu): [(82245211, 124277733), (84305557, 127220211)]
13:37:01: [INFO] Routing SW52 with D52
13:37:01: [INFO] Using internal autorouter method
13:37:01: [INFO] Routing pad 'SW52:2' at (63219377, 122474030) with pad 'D52:2' at (64387170, 130478419) using coordinate system rotated by 10.0 degree(s)
13:37:01: [INFO] Adding track segment (B.Cu): [(63219377, 122474030), (62326824, 127535941)]
13:37:01: [INFO] Adding track segment (B.Cu): [(62326824, 127535941), (64387170, 130478419)]
13:37:01: [INFO] Routing SW51 with D51
13:37:01: [INFO] Using internal autorouter method
13:37:01: [INFO] Routing pad 'SW51:2' at (43631790, 123856179) with pad 'D51:2' at (44799583, 131860568) using coordinate system rotated by 10.0 degree(s)
13:37:01: [INFO] Adding track segment (B.Cu): [(43631790, 123856179), (42739237, 128918089)]
13:37:01: [INFO] Adding track segment (B.Cu): [(42739237, 128918089), (44799583, 131860568)]
13:37:01: [INFO] Routing SW50 with D50
13:37:01: [INFO] Using internal autorouter method
13:37:01: [INFO] Routing pad 'SW50:2' at (24871202, 120548181) with pad 'D50:2' at (26038995, 128552570) using coordinate system rotated by 10.0 degree(s)
13:37:01: [INFO] Adding track segment (B.Cu): [(24871202, 120548181), (23978649, 125610092)]
13:37:01: [INFO] Adding track segment (B.Cu): [(23978649, 125610092), (26038995, 128552570)]
13:37:01: [INFO] Routing SW49 with D49
13:37:01: [INFO] Using internal autorouter method
13:37:01: [INFO] Routing pad 'SW49:2' at (279887149, 100107474) with pad 'D49:2' at (283722179, 107229731) using coordinate system rotated by 350.0 degree(s)
13:37:01: [INFO] Adding track segment (B.Cu): [(279887149, 100107474), (280779699, 105169384)]
13:37:01: [INFO] Adding track segment (B.Cu): [(280779699, 105169384), (283722179, 107229731)]
13:37:01: [INFO] Routing SW48 with D48
13:37:01: [INFO] Using internal autorouter method
13:37:01: [INFO] Routing pad 'SW48:2' at (261126562, 103415471) with pad 'D48:2' at (264961592, 110537728) using coordinate system rotated by 350.0 degree(s)
13:37:01: [INFO] Adding track segment (B.Cu): [(261126562, 103415471), (262019112, 108477381)]
13:37:01: [INFO] Adding track segment (B.Cu): [(262019112, 108477381), (264961592, 110537728)]
13:37:01: [INFO] Routing SW47 with D47
13:37:01: [INFO] Using internal autorouter method
13:37:01: [INFO] Routing pad 'SW47:2' at (241538975, 102033322) with pad 'D47:2' at (245374005, 109155579) using coordinate system rotated by 350.0 degree(s)
13:37:01: [INFO] Adding track segment (B.Cu): [(241538975, 102033322), (242431525, 107095232)]
13:37:01: [INFO] Adding track segment (B.Cu): [(242431525, 107095232), (245374005, 109155579)]
13:37:01: [INFO] Routing SW46 with D46
13:37:01: [INFO] Using internal autorouter method
13:37:01: [INFO] Routing pad 'SW46:2' at (221620588, 98775114) with pad 'D46:2' at (225455618, 105897371) using coordinate system rotated by 350.0 degree(s)
13:37:01: [INFO] Adding track segment (B.Cu): [(221620588, 98775114), (222513138, 103837024)]
13:37:01: [INFO] Adding track segment (B.Cu): [(222513138, 103837024), (225455618, 105897371)]
13:37:01: [INFO] Routing SW45 with D45
13:37:01: [INFO] Using internal autorouter method
13:37:01: [INFO] Routing pad 'SW45:2' at (204017799, 108649318) with pad 'D45:2' at (207852829, 115771575) using coordinate system rotated by 350.0 degree(s)
13:37:01: [INFO] Adding track segment (B.Cu): [(204017799, 108649318), (204910350, 113711229)]
13:37:01: [INFO] Adding track segment (B.Cu): [(204910350, 113711229), (207852829, 115771575)]
13:37:01: [INFO] Routing SW44 with D44
13:37:01: [INFO] Using internal autorouter method
