=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:20: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIBNwLgAgC4CcCuBTAvgGjuArFgAwA6AdmWQIxYBM4OEAxrLgMQCGnX42uBJ5QdUr04EAB4tCAOhoFcAZwC2LcEgD2CAPppGlEb3xEKQ44JMm0hURJaVp88M3jhWAdg+fR4Zap44jOgZwSXgZOQDnNkYY2P8+LABmbwIAFhSsPAyANhsQqVlHKNcubkMCNwyADjzQuHtCQ30sEQDmoLF8sMLI1VZYuKbqZLbqdNHM72bc4LrwvCGsSuDfFw1tXX148Gaqi1JEs33LVs656TdHVdxt3f3DkQBdLAAoMHAATwKI3Gh4ZHQhkIR0EwNOED+iFQmACYP2YNq3yKfVKnG2wIEJgx3jh5lI2NmBQWsNoeWK-QGzCBSRxWHGuGBWRJMwZS1pNUJ8AahmyRG8vNO4F5HSFNICvPpoqZnXJqPY2152X2qT54qWytVuF5HLOBUuAQA7iwaDz1XiVU9Xu9yZTmAFIQCYbhqJjQS08g7oU0WvD3Zy4PNei4OKjbiCyATnT68ZHbN1HEauQ5vR0mH1bWGRlHJdRpTssCz88tdUnGgE3JrwBXBRWRRWs1W6d4K3mKyyIIn6sny2aTPwySjQ4YKzq412E3YergABbGw10JOOacL+oBcQrgC082HvcEBEtbzTwYz9pYjsMNHD+L9nU9gICl8ovvBXQDU6cg9K20vrojlcfvrWP6MgTkmlwXqSwQ2pS35irgl6SpeeaXoWl7FmO3IBFUlbYYK2EithDbYZK2HSkebCeF4hrGoUhjYW4+z9lBn5lFhWCjq+IFBtEMF0QWjHus8h5QGeXoBIcv7Xi+d5OuADzPoi3Q-B+wZytsEmAd48kxpqY5cbgnY0LR4m0PsP4DsevEmZKhx5ochaHMWcnsYpXZlrgACclZeYKXkil5DZefS5ElKG1FgcSnn8XivJAVFDExd5LnAQ44VwEZ4EBF5SqJQe1rpjBp7-GJuAqpJCLBDJhgWgpKXKbKQ4BGVmlNdGWK6ZxqUGZOcjVZBnSdvYvWtVmHY9ZF4AqsF4CDcZpWTMxlkDN4hlzZNbL+g0aUZRNlAVTKLFok0wI0PsFZxTswKJGdlZ7XSN0XXdhZ3U5d01EJ7x1KkFygV2w24Icp14o+WlJGZN5jlUP1pUNu0nTdL6zf9l1g3i1bgI8jxAA
13:36:25: [INFO] Add D78 footprint
13:36:25: [INFO] Add SW79 footprint
13:36:25: [INFO] Add D79 footprint
13:36:25: [INFO] Add SW80 footprint
13:36:25: [INFO] Add D80 footprint
13:36:26: [INFO] Add SW81 footprint
13:36:26: [INFO] Add D81 footprint
13:36:26: [INFO] Add SW82 footprint
13:36:26: [INFO] Add D82 footprint
13:36:26: [INFO] Add SW82a footprint
13:36:26: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:36:26: [INFO] Add ST82a footprint
13:36:26: [INFO] Add SW83 footprint
13:36:26: [INFO] Add D83 footprint
13:36:26: [INFO] Add SW84 footprint
13:36:26: [INFO] Add D84 footprint
13:36:26: [INFO] Add SW85 footprint
13:36:26: [INFO] Add D85 footprint
13:36:26: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:36:26: [INFO] Add ST85 footprint
13:36:26: [INFO] Add SW86 footprint
13:36:26: [INFO] Add D86 footprint
13:36:26: [INFO] Add SW86a footprint
13:36:26: [INFO] Add SW87 footprint
13:36:26: [INFO] Add D87 footprint
13:36:26: [INFO] Add SW87a footprint
13:36:26: [INFO] Add SW88 footprint
13:36:26: [INFO] Add D88 footprint
13:36:26: [INFO] Add SW89 footprint
13:36:26: [INFO] Add D89 footprint
13:36:26: [INFO] Add SW90 footprint
13:36:26: [INFO] Add D90 footprint
13:36:26: [INFO] Add SW91 footprint
13:36:26: [INFO] Add D91 footprint
13:36:26: [INFO] Add SW92 footprint
13:36:26: [INFO] Add D92 footprint
13:36:26: [INFO] Add SW93 footprint
13:36:26: [INFO] Add D93 footprint
13:36:26: [INFO] Add SW94 footprint
13:36:26: [INFO] Add D94 footprint
13:36:26: [INFO] Add SW95 footprint
13:36:27: [INFO] Add D95 footprint
13:36:27: [INFO] Add SW96 footprint
13:36:27: [INFO] Add D96 footprint
13:36:27: [INFO] Add SW97 footprint
13:36:27: [INFO] Add D97 footprint
13:36:27: [INFO] Add SW98 footprint
13:36:27: [INFO] Add D98 footprint
13:36:27: [INFO] Add SW99 footprint
13:36:27: [INFO] Add D99 footprint
13:36:27: [INFO] Add SW99a footprint
13:36:27: [INFO] Detected layout convertible to matrix annotated keyboard
13:36:27: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:36:27: [INFO] Layout offset: (23812500, 28575000)
