=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:34:14: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrBEAYBp1SAIKQIywVATKxBmLUAsekArFkiagN6gAeoAXHEgHTrEC+8ox0WPKXHpkGRcIwiNLxqAYwYIAxAEMVqrAHd56Tgh4A2ADoA7Y8agxpteSygI5jUApnOXoHd0iGT3qALiz5R1U1dx4AdlMfZFAAXUgAKGBqTUYWDi5yC39Qe0UXV3dyP1ByYQRyMXLICQR0Cks6VNZ0hD1eLjbitrLQNsre6qw2qVbPKlAUpmYWgbDYhKScwOVgpQ1rZjCZuqyAhyd8uXc64rqeuv66mtBseuzGqbZ3MPaEF+KXnpf+l+uXkb2ijCwJB60Y6Gaz0gcziiUBQVWYLgEKeXFuuyW+0ORzR0VxPVu-Vu13wd2oDxYqIQAA5XqBacVaT1af1aTV4StgkiIVt3LSvJFMuMHuBmlxJixeVx+ZFjEVxrlHNi3NLobKjPLYYtFZy1OKNjNSeB1UasKS-MkDe5SWUOcr9YxsNbROqdsKNmwHXAnVwAJzIdXohXLVZrL1pdz+7CBun+-AxrKgf0C7w8DES6aRtXeYxp+ZwiYGrgAE3kABcAE4AVwAps7jTmjOb84sHqSEABPeQAWlFWy4OvtCEm2i4pOjjZOZuqrrx9w9M39DcitwthfBWaQMbXOtDSIjfpdjdXWDj2-GpcYldrWZTubnlqaPAQl7g17rh4ijf4LfJ8mpYqdvIoqenYyzKlmy7eLctrrt6m4xrBu6IuGmaHvGx6QJgWp-owAGgaAXaMCBz6YnkhwqggS4xpUj7IghmH9FGNHBvse6oYuM6MbEMRAA
13:34:18: [INFO] Routing pad 'SW63a:2' at (254952500, 109220000) with pad 'D63:2' at (262255000, 116900000) using coordinate system rotated by 0 degree(s)
13:34:18: [INFO] Routing SW63 with D63
13:34:18: [INFO] Using internal autorouter method
13:34:18: [INFO] Routing pad 'SW63:2' at (259715000, 109220000) with pad 'D63:2' at (262255000, 116900000) using coordinate system rotated by 0 degree(s)
13:34:18: [INFO] Adding track segment (B.Cu): [(259715000, 109220000), (259715000, 114360000)]
13:34:18: [INFO] Adding track segment (B.Cu): [(259715000, 114360000), (262255000, 116900000)]
13:34:18: [INFO] Routing SW62b with D62
13:34:18: [INFO] Using internal autorouter method
13:34:18: [INFO] Routing pad 'SW62b:2' at (235902500, 109220000) with pad 'D62:2' at (219392500, 116900000) using coordinate system rotated by 0 degree(s)
13:34:18: [INFO] Routing SW62a with D62
13:34:18: [INFO] Using internal autorouter method
13:34:18: [INFO] Routing pad 'SW62a:2' at (226377500, 109220000) with pad 'D62:2' at (219392500, 116900000) using coordinate system rotated by 0 degree(s)
13:34:18: [INFO] Routing SW62 with D62
13:34:18: [INFO] Using internal autorouter method
13:34:18: [INFO] Routing pad 'SW62:2' at (216852500, 109220000) with pad 'D62:2' at (219392500, 116900000) using coordinate system rotated by 0 degree(s)
13:34:18: [INFO] Adding track segment (B.Cu): [(216852500, 109220000), (216852500, 114360000)]
13:34:18: [INFO] Adding track segment (B.Cu): [(216852500, 114360000), (219392500, 116900000)]
13:34:18: [INFO] Routing SW61 with D61
13:34:18: [INFO] Using internal autorouter method
13:34:18: [INFO] Routing pad 'SW61:2' at (197802500, 109220000) with pad 'D61:2' at (200342500, 116900000) using coordinate system rotated by 0 degree(s)
13:34:18: [INFO] Adding track segment (B.Cu): [(197802500, 109220000), (197802500, 114360000)]
13:34:18: [INFO] Adding track segment (B.Cu): [(197802500, 114360000), (200342500, 116900000)]
13:34:18: [INFO] Routing SW60 with D60
13:34:18: [INFO] Using internal autorouter method
13:34:18: [INFO] Routing pad 'SW60:2' at (331152500, 90170000) with pad 'D60:2' at (333692500, 97850000) using coordinate system rotated by 0 degree(s)
13:34:18: [INFO] Adding track segment (B.Cu): [(331152500, 90170000), (331152500, 95310000)]
13:34:18: [INFO] Adding track segment (B.Cu): [(331152500, 95310000), (333692500, 97850000)]
13:34:18: [INFO] Routing SW59a with D59
13:34:18: [INFO] Using internal autorouter method
13:34:18: [INFO] Routing pad 'SW59a:2' at (304958750, 90170000) with pad 'D59:2' at (317023750, 97850000) using coordinate system rotated by 0 degree(s)
13:34:18: [INFO] Routing SW59 with D59
13:34:18: [INFO] Using internal autorouter method
13:34:18: [INFO] Routing pad 'SW59:2' at (314483750, 90170000) with pad 'D59:2' at (317023750, 97850000) using coordinate system rotated by 0 degree(s)
13:34:18: [INFO] Adding track segment (B.Cu): [(314483750, 90170000), (314483750, 95310000)]
13:34:18: [INFO] Adding track segment (B.Cu): [(314483750, 95310000), (317023750, 97850000)]
13:34:18: [INFO] Routing SW58 with D58
13:34:18: [INFO] Using internal autorouter method
