=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:39:05: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0SA0dwGcC2ssAnAewBcB9AUwGMEFwBfTcABnWQB0A7b3n-vt0otwAXXQAoMOACeBALQsUAdgxZqBcAGJluveGZ5NjZmxGYIG+Nuq27JrG3qn0AJgOP0AZg+t0AFl82JCD0ADZQ5VCADlCATlCEc086RPcLcCssLQBDPPzfAHcCVyYU-0EuMw8IaHhXZiybO1sHPwQvSqdEioEq9jFJaSbc-LyiggQ0MvAEdGTLTS0W1pm55yw59M3vXznA5jmQw-C99CiT2JOEk6Sz1NvtiGL4KaQ19k6+uYWoAiV3rdjnBapMUK41Jklnp9MwXohwZCABYlOHuV5oZhI9GIZiQHGKREzBodSrrQZSRbWUZjCYY1TE+Y1KHUlYaRkbcANbZc3bMBoHLANYG8iL886+BpXIXoG4yu7ih4glnZGG6OlwVxExVfPg-Zl1OAAxpLNltEnA0HwJQQjmuMkDcSUlXaMbjOElbVYLzzSoNX4jM0zH08n0+Zg+wXgH0in1i70SiPoaXR2W+H0KhNKqnZN05DVTBlJhBPP4YyGBlZtDMhJ3SQ0IfyI5hyeCE1Qm6lqqLB9iBOsQVtwQkQzu5t0Fr3gfxMjLwqa25gzjbPMGLrAz0uVloasJTmfxnOuice8szZe-efTJfsegDsuILzNrBD9sV6FqtrL8Mbvu+Ze1kMg7-Ji6hLHmk7rqmLB+gMGTbvYvYILBd6iEAA
13:39:10: [INFO] Placing additional elements for SW27
13:39:10: [INFO] Placing additional elements for SW26
13:39:10: [INFO] Placing additional elements for SW25
13:39:10: [INFO] Placing additional elements for SW24
13:39:10: [INFO] Placing additional elements for SW23
13:39:10: [INFO] Placing additional elements for SW22
13:39:10: [INFO] Placing additional elements for SW21
13:39:10: [INFO] Placing additional elements for SW20
13:39:10: [INFO] Placing additional elements for SW19
13:39:10: [INFO] Placing additional elements for SW18
13:39:10: [INFO] Placing additional elements for SW17
13:39:10: [INFO] Placing additional elements for SW16
13:39:10: [INFO] Placing additional elements for SW15a
13:39:10: [INFO] Placing additional elements for SW15
13:39:10: [INFO] Placing additional elements for SW14
13:39:10: [INFO] Placing additional elements for SW13
13:39:10: [INFO] Placing additional elements for SW12
13:39:10: [INFO] Placing additional elements for SW11
13:39:10: [INFO] Placing additional elements for SW10
13:39:10: [INFO] Placing additional elements for SW9
13:39:10: [INFO] Placing additional elements for SW8
13:39:10: [INFO] Placing additional elements for SW7
13:39:10: [INFO] Placing additional elements for SW6
13:39:10: [INFO] Placing additional elements for SW5
13:39:10: [INFO] Placing additional elements for SW4
13:39:10: [INFO] Placing additional elements for SW3
13:39:10: [INFO] Placing additional elements for SW2
13:39:10: [INFO] Placing additional elements for SW1
13:39:10: [INFO] Routing SW70 with D70
13:39:10: [INFO] Using internal autorouter method
13:39:10: [INFO] Routing pad 'SW70:2' at (340677500, 118745000) with pad 'D70:2' at (343217500, 126425000) using coordinate system rotated by 0 degree(s)
13:39:10: [INFO] Adding track segment (B.Cu): [(340677500, 118745000), (340677500, 123885000)]
13:39:10: [INFO] Adding track segment (B.Cu): [(340677500, 123885000), (343217500, 126425000)]
13:39:10: [INFO] Routing SW69 with D69
13:39:10: [INFO] Using internal autorouter method
13:39:10: [INFO] Routing pad 'SW69:2' at (321627500, 118745000) with pad 'D69:2' at (324167500, 126425000) using coordinate system rotated by 0 degree(s)
13:39:10: [INFO] Adding track segment (B.Cu): [(321627500, 118745000), (321627500, 123885000)]
13:39:10: [INFO] Adding track segment (B.Cu): [(321627500, 123885000), (324167500, 126425000)]
13:39:10: [INFO] Routing SW68 with D68
13:39:10: [INFO] Using internal autorouter method
13:39:10: [INFO] Routing pad 'SW68:2' at (302577500, 118745000) with pad 'D68:2' at (305117500, 126425000) using coordinate system rotated by 0 degree(s)
13:39:10: [INFO] Adding track segment (B.Cu): [(302577500, 118745000), (302577500, 123885000)]
13:39:10: [INFO] Adding track segment (B.Cu): [(302577500, 123885000), (305117500, 126425000)]
13:39:10: [INFO] Routing SW67 with D67
13:39:10: [INFO] Using internal autorouter method
13:39:10: [INFO] Routing pad 'SW67:2' at (274002500, 113982500) with pad 'D67:2' at (276542500, 121662500) using coordinate system rotated by 0 degree(s)
13:39:10: [INFO] Adding track segment (B.Cu): [(274002500, 113982500), (274002500, 119122500)]
