=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:40:40: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreAvgGgQBi7uDhNPEgIaVWY7j4CMReWATE3VgMxMmwKKRBQmswAs7fAFYJWAGwzkMgBwyAnDPqFaDRtqz02e+t2JQ+FKpREd64o9IC6WAFBgzZAUMHX6Bdr90EX0M4Xg9LK2wgrh53fi9vKPBfO2jpWl95DKxFbJVs9WzNf31A5P0Q8uNY0n4I8h99VKrHFzdapAToJJY-Wl6y3pCwuoj2AHc+egA6FkkemNMOzy9rXube9IRerO2c9l78vcK94v7Sg4rL6qXzFDRUCanp5Hnz+lbXEc6E604+hD-Mr-YZxCyWJ7wGavJL-EyhMErYSwrBbcD-Xbo-a0f5HLEnLFnQEXHFXUk3Ym2Gp3eqQuAzOYoj7gJxfRFdayiAHgLllLmg5a02iTKGzN4ILnwiAi+lipJctFczFc3II5Yc4V8FjyrBHaVauW0XlaNU0sY6gzsXnwnlNWIyhni23MhwOIA
13:40:45: [INFO] Using internal autorouter method
13:40:45: [INFO] Routing pad 'SW72:2' at (264477500, 109220000) with pad 'D72:2' at (267017500, 116900000) using coordinate system rotated by 0 degree(s)
13:40:45: [INFO] Adding track segment (B.Cu): [(264477500, 109220000), (264477500, 114360000)]
13:40:45: [INFO] Adding track segment (B.Cu): [(264477500, 114360000), (267017500, 116900000)]
13:40:45: [INFO] Routing SW71 with D71
13:40:45: [INFO] Using internal autorouter method
13:40:45: [INFO] Routing pad 'SW71:2' at (233521250, 109220000) with pad 'D71:2' at (236061250, 116900000) using coordinate system rotated by 0 degree(s)
13:40:45: [INFO] Adding track segment (B.Cu): [(233521250, 109220000), (233521250, 114360000)]
13:40:45: [INFO] Adding track segment (B.Cu): [(233521250, 114360000), (236061250, 116900000)]
13:40:45: [INFO] Routing SW70 with D70
13:40:45: [INFO] Using internal autorouter method
13:40:45: [INFO] Routing pad 'SW70:2' at (193040000, 109220000) with pad 'D70:2' at (195580000, 116900000) using coordinate system rotated by 0 degree(s)
13:40:45: [INFO] Adding track segment (B.Cu): [(193040000, 109220000), (193040000, 114360000)]
13:40:45: [INFO] Adding track segment (B.Cu): [(193040000, 114360000), (195580000, 116900000)]
13:40:45: [INFO] Routing SW69 with D69
13:40:45: [INFO] Using internal autorouter method
13:40:45: [INFO] Routing pad 'SW69:2' at (164465000, 109220000) with pad 'D69:2' at (167005000, 116900000) using coordinate system rotated by 0 degree(s)
13:40:45: [INFO] Adding track segment (B.Cu): [(164465000, 109220000), (164465000, 114360000)]
13:40:45: [INFO] Adding track segment (B.Cu): [(164465000, 114360000), (167005000, 116900000)]
13:40:45: [INFO] Routing SW68 with D68
13:40:45: [INFO] Using internal autorouter method
13:40:45: [INFO] Routing pad 'SW68:2' at (145415000, 109220000) with pad 'D68:2' at (147955000, 116900000) using coordinate system rotated by 0 degree(s)
13:40:45: [INFO] Adding track segment (B.Cu): [(145415000, 109220000), (145415000, 114360000)]
13:40:45: [INFO] Adding track segment (B.Cu): [(145415000, 114360000), (147955000, 116900000)]
13:40:45: [INFO] Routing SW67 with D67
13:40:45: [INFO] Using internal autorouter method
13:40:45: [INFO] Routing pad 'SW67:2' at (123983750, 109220000) with pad 'D67:2' at (126523750, 116900000) using coordinate system rotated by 0 degree(s)
13:40:45: [INFO] Adding track segment (B.Cu): [(123983750, 109220000), (123983750, 114360000)]
13:40:45: [INFO] Adding track segment (B.Cu): [(123983750, 114360000), (126523750, 116900000)]
13:40:45: [INFO] Routing SW66 with D66
13:40:45: [INFO] Using internal autorouter method
13:40:45: [INFO] Routing pad 'SW66:2' at (100171250, 109220000) with pad 'D66:2' at (102711250, 116900000) using coordinate system rotated by 0 degree(s)
13:40:45: [INFO] Adding track segment (B.Cu): [(100171250, 109220000), (100171250, 114360000)]
13:40:45: [INFO] Adding track segment (B.Cu): [(100171250, 114360000), (102711250, 116900000)]
13:40:45: [INFO] Routing SW65 with D65
13:40:45: [INFO] Using internal autorouter method
13:40:45: [INFO] Routing pad 'SW65:2' at (78740000, 109220000) with pad 'D65:2' at (81280000, 116900000) using coordinate system rotated by 0 degree(s)
13:40:45: [INFO] Adding track segment (B.Cu): [(78740000, 109220000), (78740000, 114360000)]
13:40:45: [INFO] Adding track segment (B.Cu): [(78740000, 114360000), (81280000, 116900000)]
13:40:45: [INFO] Routing SW64 with D64
13:40:45: [INFO] Using internal autorouter method
13:40:45: [INFO] Routing pad 'SW64:2' at (59690000, 109220000) with pad 'D64:2' at (62230000, 116900000) using coordinate system rotated by 0 degree(s)
13:40:45: [INFO] Adding track segment (B.Cu): [(59690000, 109220000), (59690000, 114360000)]
13:40:45: [INFO] Adding track segment (B.Cu): [(59690000, 114360000), (62230000, 116900000)]
13:40:45: [INFO] Routing SW63 with D63
13:40:45: [INFO] Using internal autorouter method
13:40:45: [INFO] Routing pad 'SW63:2' at (40640000, 109220000) with pad 'D63:2' at (43180000, 116900000) using coordinate system rotated by 0 degree(s)
13:40:45: [INFO] Adding track segment (B.Cu): [(40640000, 109220000), (40640000, 114360000)]
13:40:45: [INFO] Adding track segment (B.Cu): [(40640000, 114360000), (43180000, 116900000)]
13:40:45: [INFO] Routing SW62 with D62
