=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:37:03: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDoCsAaO4DOBbWmAnAewBcB9AUwGMEFwNwB3fZAJnUwAsWl2BfBgE40CADoA7CVMkzpEigAZwAXTQAoMFHyskAdg7gAnvgW8DVfOADEu23fqZcl8AMwK0SjBAvxrVfwEuDAgeDuDudMEiYe6sYSFxDO4AzPFoqUloACxpOZkoaQWZAGwO3pZWAIbVNWHM8Kyu4Wi6cuLunpghumVa8Kb6DD6YVgGBTSHFbRG9w9Y1tU3urbLt0aoaENANegb1iKhNrKFe4HOjYxZNySeYx5GYNw-gx4mPaG8v6WE3GXfZPwBDGORXeoK+pVO5wW1TqPBQ1zQU1WIU64BuPVO2wO5gqdnsDH2bAM3AahLi8GQJIpiAYkBpAFpTPwGFkWm0QnQNppsTpBphoTC4ZTdk02Z1yr4LmMgph0Gi2c90M82Z90J82X9wOgtWy8nKgZg2eD0KDJSN8bZhXAdCyDcjpKjZhUYZVZdqWr1saZcVLLldWUiOet1JpBQtrcSmsUPG17s6-Zd3bpY6t41iTKghi6hYTtGZo6npMcJWcKv73THninnjHPinPjGtSmtTH9eAU+2Y+CU2ay1LXZHRQwY5DMDHMZgUz1uVt8-ymDw7eAABxFmQ3UtEgtCdcSTe9bfLtdiVYHqHlpN5+DFHeYNfJNrnuDm+a5zBHhEMNcoJ+3CCfk0wi-me-59HAPpAUiYRrpO4DCDOoZzpSK67AwbrwCmH5LiSmYLgAJvgJAEAArhQTQqEh4F8gYxjwEyWaYBhcBsthIpfvee7iE8YTCAof4PAB8JNCeAkJiMFbXnAugiekYkXgO76LuxUEgdIPGztRaGYHREFmFJUbflxNxvEJIrLnxf6mcpBzHiIVniX4V5sTad6rh8DmnIBRmPqB1n7DRslZJ5L79iMg4GW5P4hWZtkcfBaBqRuHyUZsWkLrpzJ7MJRn8aBWqWflh45Zxp7qd8CkSc5NnJLJrB-n8sW1UZwVFZVb4RpFdlJfuFWhd5mDAQ1KjKEAA
13:37:08: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:08: [INFO] Add ST65 footprint
13:37:08: [INFO] Add SW65a footprint
13:37:08: [INFO] Add ST65a footprint
13:37:08: [INFO] Add SW66 footprint
13:37:08: [INFO] Add D66 footprint
13:37:08: [INFO] Add ST66 footprint
13:37:08: [INFO] Add SW66a footprint
13:37:08: [INFO] Add ST66a footprint
13:37:08: [INFO] Add SW66b footprint
13:37:08: [INFO] Add SW67 footprint
13:37:08: [INFO] Add D67 footprint
13:37:08: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:37:08: [INFO] Add ST67 footprint
13:37:08: [INFO] Add SW67a footprint
13:37:08: [INFO] Add ST67a footprint
13:37:08: [INFO] Add SW68 footprint
13:37:08: [INFO] Add D68 footprint
13:37:08: [INFO] Add SW69 footprint
13:37:08: [INFO] Add D69 footprint
13:37:08: [INFO] Add SW70 footprint
13:37:08: [INFO] Add D70 footprint
13:37:08: [INFO] Add SW70a footprint
13:37:08: [INFO] Add SW71 footprint
13:37:09: [INFO] Add D71 footprint
13:37:09: [INFO] Add SW72 footprint
13:37:09: [INFO] Add D72 footprint
13:37:09: [INFO] Add SW72a footprint
13:37:09: [INFO] Add SW73 footprint
13:37:09: [INFO] Add D73 footprint
13:37:09: [INFO] Add SW74 footprint
13:37:09: [INFO] Add D74 footprint
13:37:09: [INFO] Detected layout convertible to matrix annotated keyboard
13:37:09: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:37:09: [INFO] Layout offset: (35718750, 26193750)
13:37:09: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:37:09: [INFO] Placing additional elements for SW74
13:37:09: [INFO] Placing additional elements for SW73
13:37:09: [INFO] Placing additional elements for SW72a
13:37:09: [INFO] Placing additional elements for SW72
13:37:09: [INFO] Placing additional elements for SW71
13:37:09: [INFO] Placing additional elements for SW70a
