=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:39:40: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIE9wLgAgIwDoAMBWANHcBjW2BiAdhNPC3AHd8AmAXwpQwQB0A7d9gZmfLggAe+ZDXqMMKThzY8UfCHnjgCOVWvANsTVtO4T54IfARdUPbIsIBDG7b5Vam8ADZmU9gn1ZB+FEiKYFvjKaupOrjpSnggGlsq2duES7mzR4AC6GABQYIa0SACcRBTUxkhoTp5y3rjBKqF4lbw1Rog05VxOxTE1cQQJNvaliOVd+pk5PvDtABzF2MPIAU40Xvy1SvWhGhSrPeutCO00nRQzzet9pGQlwv4VZ+PZuX0DVkN3NA-YsinasXUGo0KDxItJ-i1fEgACzzDbWAYfaZIL5OX66NhMaqXQENHY-DA0AyHZBoU7YAqEgGba4kfHgSlg9irbEKOpvJEjVEUSmSDEs4lQr63ZHcinJfm8Ca5VrtIpOaFrcCK-bKqmQ4yk8zw5S0oj0hBMIkUQ0XcCmuTSiDQeAAWj8BUC4AAzgBbYIAJwA9gAXAD6AFMcAgYk5MDQUiqUikA6y8vACkgEE63cF6eHI2splzvubPBGMZg460ZkgZin3Upvf6gyGDfmUpgmRj2LGMs9s4mZqsgpsORRU0p01n4yMCghKlV25NwB7hExsB7ZfcKB6bXBTAEKMvhdh17bTLudVswuJjVoMFx7ExodeMGh7JgH1bR+1lib1dhPFeP7ePw+KEwW8X1aUwUBWT9wFWH9sFWP9YPvR9L2nGV8FMXMeBg8AeHg7DEMAqUO1HTcnVeRERRzBVkJfOd4C3RdDj8J013wNAV2wQ5UAofc2KPPogU5UlKhvFDs2QBcHDKXNTWfIjaLgW16NnVoJJY+AnRUpNuPwIhygooSKEVYCiM0zwFjuXNFVkmd5NtU0GOEHtZ3XaEUQ0iztLtY5pM8ADsFcPyXAwXDXCw1wiRA4RJ2C+xikC4pcOKLDigikyoXfL9v3sc5AvOXDziw85UpnTixTzM1KUCylcMpK9IvgEiKDIhJBLc4TqPSIA
13:39:45: [INFO] Routing pad 'SW72:2' at (286335458, 63694086) with pad 'D72:2' at (290170488, 70816343) using coordinate system rotated by 350.0 degree(s)
13:39:45: [INFO] Adding track segment (B.Cu): [(286335458, 63694086), (287228009, 68755997)]
13:39:45: [INFO] Adding track segment (B.Cu): [(287228009, 68755997), (290170488, 70816343)]
13:39:45: [INFO] Routing SW71 with D71
13:39:45: [INFO] Using internal autorouter method
13:39:45: [INFO] Routing pad 'SW71:2' at (280263162, 84108673) with pad 'D71:2' at (284098192, 91230930) using coordinate system rotated by 350.0 degree(s)
13:39:45: [INFO] Adding track segment (B.Cu): [(280263162, 84108673), (281155713, 89170584)]
13:39:45: [INFO] Adding track segment (B.Cu): [(281155713, 89170584), (284098192, 91230930)]
13:39:45: [INFO] Routing SW70 with D70
13:39:45: [INFO] Using internal autorouter method
13:39:45: [INFO] Routing pad 'SW70:2' at (278881013, 103696260) with pad 'D70:2' at (282716043, 110818517) using coordinate system rotated by 350.0 degree(s)
13:39:45: [INFO] Adding track segment (B.Cu): [(278881013, 103696260), (279773564, 108758171)]
13:39:45: [INFO] Adding track segment (B.Cu): [(279773564, 108758171), (282716043, 110818517)]
13:39:45: [INFO] Routing SW69a with D69
13:39:45: [INFO] Using internal autorouter method
13:39:45: [INFO] Routing pad 'SW69a:S2' at (277129000, 131802500) with pad 'D69:2' at (275209000, 136902500) using coordinate system rotated by 0 degree(s)
13:39:45: [INFO] Adding track segment (B.Cu): [(277129000, 131802500), (277129000, 134982500)]
13:39:45: [INFO] Adding track segment (B.Cu): [(277129000, 134982500), (275209000, 136902500)]
13:39:45: [INFO] Routing SW69 with D69
13:39:45: [INFO] Using internal autorouter method
13:39:45: [INFO] Routing pad 'SW69:2' at (272669000, 129222500) with pad 'D69:2' at (275209000, 136902500) using coordinate system rotated by 0 degree(s)
13:39:45: [INFO] Adding track segment (B.Cu): [(272669000, 129222500), (272669000, 134362500)]
13:39:45: [INFO] Adding track segment (B.Cu): [(272669000, 134362500), (275209000, 136902500)]
13:39:45: [INFO] Routing SW68 with D68
13:39:45: [INFO] Using internal autorouter method
13:39:45: [INFO] Routing pad 'SW68:2' at (291569305, 120802848) with pad 'D68:2' at (295404335, 127925105) using coordinate system rotated by 350.0 degree(s)
13:39:45: [INFO] Adding track segment (B.Cu): [(291569305, 120802848), (292461855, 125864758)]
13:39:46: [INFO] Adding track segment (B.Cu): [(292461855, 125864758), (295404335, 127925105)]
13:39:46: [INFO] Routing SW67 with D67
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW67:2' at (278955500, 148272500) with pad 'D67:2' at (281495500, 155952500) using coordinate system rotated by 0 degree(s)
