=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:30:02: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreANAgLrBAGcAXy3Hw3wB0A7AUQGUBhTOCADzwEZTp4lIBg4qXIAmFmQwBmCeQAssjAFYW7PPgB0SkgQwA2RckUAORQE5V4DvE3aRGToXudOizuOcysam1tIBnAFs8cAAnAHtsAH0AU0gXYV1OJRpU6jSM9OoYwgBdDAAoMHAAT3UNfCUA4L5E8G4nBG5XUm4PJukJbgVW5S79fqNe016LXsd+hPH2iF4ERABDJeWJAHc8UQ1ROw7OL1YrcuQd+ocFfKKIMt9K0nX4Tg1jnXBRCks5-kEBOreWhDe7VenVIbx6AL6oIGUKGEJGELGEImUKmSJm4HucEeJz++x8cE0xx4IUWyyWvzO4AuxWuBIqVQQmNELyk728UBJ3x+LIcElZQNZ+3ArPBwshCFZBlIrNhYvhYsRYuREoc-1mJLQ6DuGy2J1Ze0s1jpRIQn1JZLq+vOhRp5VujJ1JzkbIOZq50BezqBzqFztFzpUpGdUoQztlzvlzsVzuV4Bjao5fHNK21DyeToc6KNtmJSc1qDqMbxh1821z8zJ5M9lOpVztDIxXC0LyqjQgmMe2xbvPZHd13fRbq5azwem7IfVScrCzqVUVVWV7abXdIC4T2d15aQ+aM3fchvKK4QC+LG6P4AX51yQA
13:30:08: [INFO] Placing additional elements for SW74
13:30:08: [INFO] Placing additional elements for SW73
13:30:08: [INFO] Placing additional elements for SW72
13:30:08: [INFO] Placing additional elements for SW71
13:30:08: [INFO] Placing additional elements for SW70
13:30:08: [INFO] Placing additional elements for SW69
13:30:08: [INFO] Placing additional elements for SW68
13:30:08: [INFO] Placing additional elements for SW67
13:30:08: [INFO] Placing additional elements for SW66
13:30:08: [INFO] Placing additional elements for SW65
13:30:08: [INFO] Placing additional elements for SW64
13:30:08: [INFO] Placing additional elements for SW63
13:30:08: [INFO] Placing additional elements for SW62
13:30:08: [INFO] Placing additional elements for SW61
13:30:08: [INFO] Placing additional elements for SW60
13:30:08: [INFO] Placing additional elements for SW59
13:30:08: [INFO] Placing additional elements for SW58
13:30:08: [INFO] Placing additional elements for SW57
13:30:08: [INFO] Placing additional elements for SW56
13:30:08: [INFO] Placing additional elements for SW55
13:30:08: [INFO] Placing additional elements for SW54
13:30:08: [INFO] Placing additional elements for SW53
13:30:08: [INFO] Placing additional elements for SW52
13:30:08: [INFO] Placing additional elements for SW51
13:30:08: [INFO] Placing additional elements for SW50
13:30:08: [INFO] Placing additional elements for SW49
13:30:08: [INFO] Placing additional elements for SW48
13:30:08: [INFO] Placing additional elements for SW47
13:30:08: [INFO] Placing additional elements for SW46
13:30:08: [INFO] Placing additional elements for SW45
