=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:07: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoCsKA0dwE9aKQJybgDGe4AxAOw23gC+xC6C4AuugFBhR4DMSKsVzwAtMgIYsZeJRLyFDYgEZ0y8JgjR4ADiQAWFIyyqAbOy49tcZYOF5xhIypYaszdZt7xlyQ8fBmKjcIGSwKAEMo6LdwAHc8ACYA1SoAHQA7TMzmVi9rWz5nE3R0rPKPWIwy7IzKjm4tPGQi+zFkZQDE1warPGU+NrhHSWIwuQV5JSxu816mn1QhkalSckjoqNiExeLwQby4UPXJqa61EO8bZAQAwfNibuCvcY3N7f7UO9KLRquO1YiYYdAL6HqWBY2JCDLBAkbEHZQqh7DCHY6yCinMigi75PAEaF7MEPLAYEno8K0OgIpJIRJEn7zK62BCrV6bLY0+CJOl7IRotYYrHTcCmXFHK56HQBMUk8BCcmC8IciIfRbImWlWqZVSHeVa8o61x4+DIVaInka4himrlVTqJkFJCsrlQvY6Y0SgoCNCu2zuxkQ8AAJ363Sw1hQzsBDlMzrGJ1OIuYiViqlTTHQfDTWd+fXg+iQpnOGawg1L4G62eIg2zjrwhZ0DIrGArYOrpNz9fgUb4morQgrYo7+rrQescbFWAtAQ9iW1GW6AvZHLVUPps6zC6XechUZdsIcEnNnwDDvHeEnQxabMTkzXPI3xDn2-FFMoKpFHr4r-Pf1DYjKOGkoGDGYg8h60h3ooKToPosTMCgOZIZmcwXro0bnPBNZwbE3QoWW6BId2cB6MkxBgthnZUeAYIEeAGDEehcBUIIexijRQg0WK9FCExfzWKxyKupaAbwSRvioGBwJOAmGKfn6XzPkR7BsEAA
13:33:12: [INFO] Routing pad 'SW63a:2' at (197090162, 146923520) with pad 'D63:2' at (195648681, 154468698) using coordinate system rotated by 12.0 degree(s)
13:33:12: [INFO] Routing SW63 with D63
13:33:12: [INFO] Using internal autorouter method
13:33:12: [INFO] Routing pad 'SW63:2' at (194760948, 146428430) with pad 'D63:2' at (195648681, 154468698) using coordinate system rotated by 12.0 degree(s)
13:33:12: [INFO] Routing SW62a with D62
13:33:12: [INFO] Using internal autorouter method
13:33:12: [INFO] Routing pad 'SW62a:2' at (166810380, 140487353) with pad 'D62:2' at (165368899, 148032532) using coordinate system rotated by 12.0 degree(s)
13:33:12: [INFO] Routing SW62 with D62
13:33:12: [INFO] Using internal autorouter method
13:33:12: [INFO] Routing pad 'SW62:2' at (164481166, 139992264) with pad 'D62:2' at (165368899, 148032532) using coordinate system rotated by 12.0 degree(s)
13:33:12: [INFO] Routing SW61 with D61
13:33:12: [INFO] Using internal autorouter method
13:33:12: [INFO] Routing pad 'SW61:2' at (130742449, 133794657) with pad 'D61:2' at (131630182, 141834925) using coordinate system rotated by 12.0 degree(s)
13:33:12: [INFO] Adding track segment (B.Cu): [(130742449, 133794657), (129673782, 138822334)]
13:33:12: [INFO] Adding track segment (B.Cu): [(129673782, 138822334), (131630182, 141834925)]
13:33:12: [INFO] Routing SW60 with D60
13:33:12: [INFO] Using internal autorouter method
13:33:12: [INFO] Routing pad 'SW60:2' at (73977500, 130175000) with pad 'D60:2' at (76517500, 137855000) using coordinate system rotated by 0 degree(s)
13:33:12: [INFO] Adding track segment (B.Cu): [(73977500, 130175000), (73977500, 135315000)]
13:33:12: [INFO] Adding track segment (B.Cu): [(73977500, 135315000), (76517500, 137855000)]
