=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:00: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwIHQHYCsAaO4Ces4AGZdAX23EMyXAF1MAoMKA4hLHfeAWmIA4yFKoXBDqouBGjwExAGwUA7gCYCKQTioJV9JlNbJl5HAkwiKphBP0zihY+EtWL1HY2bSihjuEVrvDspmEuBBzpIs8ACcyADMGqHU4RAq-soJYW56kV7oPn4yaAmx4tg2iMT5qoXpDiXadO4QAE6eqCQUzVxwsR04ngAscRTdbMVJjdnNaj6tBEE4XawUnpUjBgMOVKpisSFUA-uY6Edykx4GAg6mOyaYe2XgAHYEAC7NAK4ApteYhy4nFxnXQXQqbChBW6JB44IL-WHHc7lFADJRpcZQkowlLoup-EIlE4gloEbjsTqeBC9HyebhyZCmTgGQgJKioI58I5RI6yJE5bjoZBXFzsx4veDvb6-TkubkuXnE-n0jKYUUImUIuUIhVNfntFl4tU4mrjDXgEpa83UES0WhAA
13:32:04: [INFO] Routing SW44 with D44
13:32:04: [INFO] Using internal autorouter method
13:32:04: [INFO] Routing pad 'SW44:2' at (188628626, 130153638) with pad 'D44:2' at (193069807, 136914548) using coordinate system rotated by 345.0 degree(s)
13:32:04: [INFO] Adding track segment (B.Cu): [(188628626, 130153638), (189958955, 135118496)]
13:32:04: [INFO] Adding track segment (B.Cu): [(189958955, 135118496), (193069807, 136914548)]
13:32:04: [INFO] Routing SW43 with D43
13:32:04: [INFO] Using internal autorouter method
13:32:04: [INFO] Routing pad 'SW43:2' at (155341581, 132238671) with pad 'D43:2' at (155807303, 140314382) using coordinate system rotated by 15.0 degree(s)
13:32:04: [INFO] Adding track segment (B.Cu): [(155341581, 132238671), (154011251, 137203527)]
13:32:04: [INFO] Adding track segment (B.Cu): [(154011251, 137203527), (155807303, 140314382)]
13:32:04: [INFO] Routing SW42 with D42
13:32:04: [INFO] Using internal autorouter method
13:32:04: [INFO] Routing pad 'SW42:2' at (134640583, 126691856) with pad 'D42:2' at (135106305, 134767567) using coordinate system rotated by 15.0 degree(s)
13:32:04: [INFO] Adding track segment (B.Cu): [(134640583, 126691856), (133310252, 131656713)]
13:32:04: [INFO] Adding track segment (B.Cu): [(133310252, 131656713), (135106305, 134767567)]
13:32:04: [INFO] Routing SW41 with D41
13:32:04: [INFO] Using internal autorouter method
13:32:04: [INFO] Routing pad 'SW41:2' at (113939585, 121145040) with pad 'D41:2' at (114405307, 129220751) using coordinate system rotated by 15.0 degree(s)
13:32:04: [INFO] Adding track segment (B.Cu): [(113939585, 121145040), (112609255, 126109897)]
13:32:04: [INFO] Adding track segment (B.Cu): [(112609255, 126109897), (114405307, 129220751)]
13:32:04: [INFO] Routing SW40 with D40
13:32:04: [INFO] Using internal autorouter method
13:32:04: [INFO] Routing pad 'SW40:2' at (93238587, 115598224) with pad 'D40:2' at (93704309, 123673935) using coordinate system rotated by 15.0 degree(s)
13:32:04: [INFO] Adding track segment (B.Cu): [(93238587, 115598224), (91908256, 120563082)]
13:32:04: [INFO] Adding track segment (B.Cu): [(91908256, 120563082), (93704309, 123673935)]
13:32:04: [INFO] Routing SW39 with D39
13:32:04: [INFO] Using internal autorouter method
13:32:04: [INFO] Routing pad 'SW39:2' at (63023750, 112077500) with pad 'D39:2' at (65563750, 119757500) using coordinate system rotated by 0 degree(s)
13:32:04: [INFO] Adding track segment (B.Cu): [(63023750, 112077500), (63023750, 117217500)]
13:32:04: [INFO] Adding track segment (B.Cu): [(63023750, 117217500), (65563750, 119757500)]
13:32:04: [INFO] Routing SW38 with D38
13:32:04: [INFO] Using internal autorouter method
13:32:04: [INFO] Routing pad 'SW38:2' at (290195000, 93027500) with pad 'D38:2' at (292735000, 100707500) using coordinate system rotated by 0 degree(s)
13:32:04: [INFO] Adding track segment (B.Cu): [(290195000, 93027500), (290195000, 98167500)]
13:32:04: [INFO] Adding track segment (B.Cu): [(290195000, 98167500), (292735000, 100707500)]
13:32:04: [INFO] Routing SW37 with D37
13:32:04: [INFO] Using internal autorouter method
13:32:04: [INFO] Routing pad 'SW37:2' at (271145000, 93027500) with pad 'D37:2' at (273685000, 100707500) using coordinate system rotated by 0 degree(s)
13:32:04: [INFO] Adding track segment (B.Cu): [(271145000, 93027500), (271145000, 98167500)]
13:32:04: [INFO] Adding track segment (B.Cu): [(271145000, 98167500), (273685000, 100707500)]
13:32:04: [INFO] Routing SW36 with D36
13:32:04: [INFO] Using internal autorouter method
13:32:04: [INFO] Routing pad 'SW36:2' at (249021272, 94249466) with pad 'D36:2' at (253462453, 101010376) using coordinate system rotated by 345.0 degree(s)
13:32:04: [INFO] Adding track segment (B.Cu): [(249021272, 94249466), (250351601, 99214324)]
13:32:04: [INFO] Adding track segment (B.Cu): [(250351601, 99214324), (253462453, 101010376)]
13:32:04: [INFO] Routing SW35 with D35
13:32:04: [INFO] Using internal autorouter method
13:32:04: [INFO] Routing pad 'SW35:2' at (230620385, 99179969) with pad 'D35:2' at (235061566, 105940879) using coordinate system rotated by 345.0 degree(s)
13:32:04: [INFO] Adding track segment (B.Cu): [(230620385, 99179969), (231950714, 104144828)]
13:32:04: [INFO] Adding track segment (B.Cu): [(231950714, 104144828), (235061566, 105940879)]
13:32:04: [INFO] Routing SW34 with D34
13:32:04: [INFO] Using internal autorouter method
13:32:04: [INFO] Routing pad 'SW34:2' at (212219498, 104110472) with pad 'D34:2' at (216660679, 110871382) using coordinate system rotated by 345.0 degree(s)
13:32:04: [INFO] Adding track segment (B.Cu): [(212219498, 104110472), (213549828, 109075331)]
13:32:04: [INFO] Adding track segment (B.Cu): [(213549828, 109075331), (216660679, 110871382)]
13:32:04: [INFO] Routing SW33 with D33
13:32:04: [INFO] Using internal autorouter method
13:32:04: [INFO] Routing pad 'SW33:2' at (193818611, 109040975) with pad 'D33:2' at (198259792, 115801885) using coordinate system rotated by 345.0 degree(s)
13:32:04: [INFO] Adding track segment (B.Cu): [(193818611, 109040975), (195148939, 114005833)]
13:32:04: [INFO] Adding track segment (B.Cu): [(195148939, 114005833), (198259792, 115801885)]
13:32:04: [INFO] Routing SW32 with D32
13:32:04: [INFO] Using internal autorouter method
13:32:04: [INFO] Routing pad 'SW32:2' at (151071640, 111372533) with pad 'D32:2' at (151537362, 119448244) using coordinate system rotated by 15.0 degree(s)
13:32:04: [INFO] Adding track segment (B.Cu): [(151071640, 111372533), (149741310, 116337390)]
13:32:04: [INFO] Adding track segment (B.Cu): [(149741310, 116337390), (151537362, 119448244)]
13:32:04: [INFO] Routing SW31 with D31
13:32:04: [INFO] Using internal autorouter method
13:32:04: [INFO] Routing pad 'SW31:2' at (132670753, 106442030) with pad 'D31:2' at (133136475, 114517741) using coordinate system rotated by 15.0 degree(s)
13:32:04: [INFO] Adding track segment (B.Cu): [(132670753, 106442030), (131340422, 111406888)]
13:32:04: [INFO] Adding track segment (B.Cu): [(131340422, 111406888), (133136475, 114517741)]
13:32:04: [INFO] Routing SW30 with D30
13:32:04: [INFO] Using internal autorouter method
13:32:04: [INFO] Routing pad 'SW30:2' at (114269866, 101511527) with pad 'D30:2' at (114735588, 109587238) using coordinate system rotated by 15.0 degree(s)
13:32:04: [INFO] Adding track segment (B.Cu): [(114269866, 101511527), (112939535, 106476385)]
13:32:04: [INFO] Adding track segment (B.Cu): [(112939535, 106476385), (114735588, 109587238)]
13:32:04: [INFO] Routing SW29 with D29
13:32:04: [INFO] Using internal autorouter method
13:32:04: [INFO] Routing pad 'SW29:2' at (95868979, 96581025) with pad 'D29:2' at (96334701, 104656736) using coordinate system rotated by 15.0 degree(s)
13:32:04: [INFO] Adding track segment (B.Cu): [(95868979, 96581025), (94538649, 101545881)]
13:32:04: [INFO] Adding track segment (B.Cu): [(94538649, 101545881), (96334701, 104656736)]
13:32:04: [INFO] Routing SW28 with D28
13:32:04: [INFO] Using internal autorouter method
13:32:04: [INFO] Routing pad 'SW28:2' at (73977500, 93027500) with pad 'D28:2' at (76517500, 100707500) using coordinate system rotated by 0 degree(s)
13:32:04: [INFO] Adding track segment (B.Cu): [(73977500, 93027500), (73977500, 98167500)]
13:32:04: [INFO] Adding track segment (B.Cu): [(73977500, 98167500), (76517500, 100707500)]
13:32:04: [INFO] Routing SW27 with D27
13:32:04: [INFO] Using internal autorouter method
13:32:04: [INFO] Routing pad 'SW27:2' at (52546250, 93027500) with pad 'D27:2' at (55086250, 100707500) using coordinate system rotated by 0 degree(s)
13:32:04: [INFO] Adding track segment (B.Cu): [(52546250, 93027500), (52546250, 98167500)]
13:32:04: [INFO] Adding track segment (B.Cu): [(52546250, 98167500), (55086250, 100707500)]
13:32:04: [INFO] Routing SW26 with D26
13:32:04: [INFO] Using internal autorouter method
13:32:04: [INFO] Routing pad 'SW26:2' at (296862500, 73977500) with pad 'D26:2' at (299402500, 81657500) using coordinate system rotated by 0 degree(s)
13:32:04: [INFO] Adding track segment (B.Cu): [(296862500, 73977500), (296862500, 79117500)]
13:32:04: [INFO] Adding track segment (B.Cu): [(296862500, 79117500), (299402500, 81657500)]
13:32:04: [INFO] Routing SW25 with D25
13:32:04: [INFO] Using internal autorouter method
13:32:04: [INFO] Routing pad 'SW25:2' at (277812500, 73977500) with pad 'D25:2' at (280352500, 81657500) using coordinate system rotated by 0 degree(s)
13:32:04: [INFO] Adding track segment (B.Cu): [(277812500, 73977500), (277812500, 79117500)]
13:32:04: [INFO] Adding track segment (B.Cu): [(277812500, 79117500), (280352500, 81657500)]
13:32:04: [INFO] Routing SW24 with D24
13:32:04: [INFO] Using internal autorouter method
13:32:04: [INFO] Routing pad 'SW24:2' at (256051346, 72643752) with pad 'D24:2' at (260492527, 79404662) using coordinate system rotated by 345.0 degree(s)
13:32:04: [INFO] Adding track segment (B.Cu): [(256051346, 72643752), (257381675, 77608610)]
13:32:04: [INFO] Adding track segment (B.Cu): [(257381675, 77608610), (260492527, 79404662)]
13:32:04: [INFO] Routing SW23 with D23
13:32:04: [INFO] Using internal autorouter method
13:32:04: [INFO] Routing pad 'SW23:2' at (237650459, 77574255) with pad 'D23:2' at (242091640, 84335165) using coordinate system rotated by 345.0 degree(s)
13:32:04: [INFO] Adding track segment (B.Cu): [(237650459, 77574255), (238980788, 82539114)]
13:32:04: [INFO] Adding track segment (B.Cu): [(238980788, 82539114), (242091640, 84335165)]
13:32:04: [INFO] Routing SW22 with D22
13:32:04: [INFO] Using internal autorouter method
13:32:04: [INFO] Routing pad 'SW22:2' at (219249572, 82504758) with pad 'D22:2' at (223690753, 89265668) using coordinate system rotated by 345.0 degree(s)
13:32:04: [INFO] Adding track segment (B.Cu): [(219249572, 82504758), (220579901, 87469617)]
13:32:04: [INFO] Adding track segment (B.Cu): [(220579901, 87469617), (223690753, 89265668)]
13:32:04: [INFO] Routing SW21 with D21
13:32:04: [INFO] Using internal autorouter method
13:32:04: [INFO] Routing pad 'SW21:2' at (200848685, 87435261) with pad 'D21:2' at (205289866, 94196171) using coordinate system rotated by 345.0 degree(s)
13:32:04: [INFO] Adding track segment (B.Cu): [(200848685, 87435261), (202179014, 92400120)]
13:32:04: [INFO] Adding track segment (B.Cu): [(202179014, 92400120), (205289866, 94196171)]
13:32:04: [INFO] Routing SW20 with D20
13:32:04: [INFO] Using internal autorouter method
13:32:04: [INFO] Routing pad 'SW20:2' at (164282542, 95190372) with pad 'D20:2' at (164748264, 103266083) using coordinate system rotated by 15.0 degree(s)
13:32:04: [INFO] Adding track segment (B.Cu): [(164282542, 95190372), (162952212, 100155229)]
13:32:04: [INFO] Adding track segment (B.Cu): [(162952212, 100155229), (164748264, 103266083)]
13:32:04: [INFO] Routing SW19 with D19
13:32:04: [INFO] Using internal autorouter method
