=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:30:17: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwIHQFYC+AaO4GdeNrgAybGE4KkLgC6mAUGOAJ6xwC0xaWOp5RahXCkATMNIBmCZgAsMgkTwDKmGksziN0jfPpNwossKPqcRrecw6r8okcU5Jxos7Phnlj9eHO7T-DpGYHBZFxww9zCvMJsIADt2ABcAJwBXAFNeULlhMMdwVHCE5PSsoiL3Iq8im0LcisD9EIA2cPA29zavNrq2-w7AogB2dtH3Ua9RutGB0YJm8AAOdpX3Fa8VupXZAB14-f3+CggAd3ZRbJXUQ4P446IATjVbo-bnr2e654HnheCINB4LIrnJXvc1MJruChE8yDDIXCEAiaM1AewwjhzvBLkRoXc3pYzhdss9iAjxLRaEA
13:30:22: [INFO] Adding track segment (B.Cu): [(240665000, 104835000), (243205000, 107375000)]
13:30:22: [INFO] Routing SW46 with D46
13:30:22: [INFO] Using internal autorouter method
13:30:22: [INFO] Routing pad 'SW46:2' at (221615000, 99695000) with pad 'D46:2' at (224155000, 107375000) using coordinate system rotated by 0 degree(s)
13:30:22: [INFO] Adding track segment (B.Cu): [(221615000, 99695000), (221615000, 104835000)]
13:30:22: [INFO] Adding track segment (B.Cu): [(221615000, 104835000), (224155000, 107375000)]
13:30:22: [INFO] Routing SW45 with D45
13:30:22: [INFO] Using internal autorouter method
13:30:22: [INFO] Routing pad 'SW45:2' at (202565000, 99695000) with pad 'D45:2' at (205105000, 107375000) using coordinate system rotated by 0 degree(s)
13:30:22: [INFO] Adding track segment (B.Cu): [(202565000, 99695000), (202565000, 104835000)]
13:30:22: [INFO] Adding track segment (B.Cu): [(202565000, 104835000), (205105000, 107375000)]
13:30:22: [INFO] Routing SW44 with D44
13:30:22: [INFO] Using internal autorouter method
13:30:22: [INFO] Routing pad 'SW44:2' at (183515000, 99695000) with pad 'D44:2' at (186055000, 107375000) using coordinate system rotated by 0 degree(s)
13:30:22: [INFO] Adding track segment (B.Cu): [(183515000, 99695000), (183515000, 104835000)]
13:30:22: [INFO] Adding track segment (B.Cu): [(183515000, 104835000), (186055000, 107375000)]
13:30:22: [INFO] Routing SW43 with D43
13:30:22: [INFO] Using internal autorouter method
13:30:22: [INFO] Routing pad 'SW43:2' at (164465000, 99695000) with pad 'D43:2' at (167005000, 107375000) using coordinate system rotated by 0 degree(s)
13:30:22: [INFO] Adding track segment (B.Cu): [(164465000, 99695000), (164465000, 104835000)]
13:30:22: [INFO] Adding track segment (B.Cu): [(164465000, 104835000), (167005000, 107375000)]
13:30:22: [INFO] Routing SW42 with D42
13:30:22: [INFO] Using internal autorouter method
13:30:22: [INFO] Routing pad 'SW42:2' at (145415000, 99695000) with pad 'D42:2' at (147955000, 107375000) using coordinate system rotated by 0 degree(s)
13:30:22: [INFO] Adding track segment (B.Cu): [(145415000, 99695000), (145415000, 104835000)]
13:30:22: [INFO] Adding track segment (B.Cu): [(145415000, 104835000), (147955000, 107375000)]
13:30:22: [INFO] Routing SW41 with D41
13:30:22: [INFO] Using internal autorouter method
