=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:46: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwCYB0SCsAaO4Ces4AGNLHAYwPAGIBDO+8AX23EMwQGYAdAO197YJwLQQBZ+fHoPABdTACgweAsQwsK8agHYdupiMyFhcCBpxUylq-pzSDSY60wdHbUa8zoPANg9aPABweAJweCEYGCEKRDtimlLT0dI4A7gRIzLbs3JIChsbxmhZWljZOCF5x4GnwxFqk4AAWKij1meAc7A5yihDQ8AjeLPjwALSqDTVErQ3NtTPtol2yCkojcOMz6glJySxTCCjo7Qj5VWbUJaUn7I6nsTinLiyn7i+ed5i+7-7vQe+hd7hT5REEPCAHI43Tggrw9JQXRJJVIEQ5tFhIM4mcCIq4UdqY6I4TEPcCY57EzBvSmVSnfSm-Sn-SmAynAjHsImFcy6PT7dIkAnZAo4hJ4sqEuGrbnUXY0FHwVAYdqdCLY3FXMqdUmdCkdKmOTq0-X0-WM-XM-Ws-XsnCdUHnHa7BWIBYse0UmVUXk6LXsale8Uq9hS3qiopyl2HZUsJaECS8U5qiGowWxzBIBM8JMiyExnBLHISHOOori-nwbxpgtfLMl9VO5EV1358BLAJ1rEpgbVtuczvJqAtBqIn3+RbC9MIal9iorMPrCbbCPO5vR47p+O5bO3Kp5jc1zPb05c6qp1uFzunjUlF1Kg999BX3Pnh9LbzPvcC9E1rSfhsrk2OD7hOHbHru2IgVOCDPvC3Ytm+hiduCZ49heGbIS+aGIUWkj3CKN7WM294Tk+4EoVMqA-n2H7kVhCETn+dGluYkZrr27aYV+2ETlEmFwahrqIVuxbOI4SxHqJnqCYcOGdtJhGlM2WgTrRUkEY2DDsYhfHgS4MgyEAA
13:32:51: [INFO] Placing additional elements for SW19
13:32:51: [INFO] Placing additional elements for SW18
13:32:51: [INFO] Placing additional elements for SW17
13:32:51: [INFO] Placing additional elements for SW16
13:32:51: [INFO] Placing additional elements for SW15
13:32:51: [INFO] Placing additional elements for SW14a
13:32:51: [INFO] Placing additional elements for SW14
13:32:51: [INFO] Placing additional elements for SW13
13:32:51: [INFO] Placing additional elements for SW12
13:32:51: [INFO] Placing additional elements for SW11
13:32:51: [INFO] Placing additional elements for SW10
13:32:51: [INFO] Placing additional elements for SW9
13:32:51: [INFO] Placing additional elements for SW8
13:32:51: [INFO] Placing additional elements for SW7
13:32:51: [INFO] Placing additional elements for SW6
13:32:51: [INFO] Placing additional elements for SW5
13:32:51: [INFO] Placing additional elements for SW4
13:32:51: [INFO] Placing additional elements for SW3
13:32:51: [INFO] Placing additional elements for SW2
13:32:51: [INFO] Placing additional elements for SW1
13:32:51: [INFO] Routing SW72 with D72
13:32:51: [INFO] Using internal autorouter method
13:32:51: [INFO] Routing pad 'SW72:2' at (326390000, 147320000) with pad 'D72:2' at (328930000, 155000000) using coordinate system rotated by 0 degree(s)
13:32:51: [INFO] Adding track segment (B.Cu): [(326390000, 147320000), (326390000, 152460000)]
13:32:51: [INFO] Adding track segment (B.Cu): [(326390000, 152460000), (328930000, 155000000)]
13:32:51: [INFO] Routing SW71 with D71
13:32:51: [INFO] Using internal autorouter method
13:32:51: [INFO] Routing pad 'SW71:2' at (307340000, 147320000) with pad 'D71:2' at (309880000, 155000000) using coordinate system rotated by 0 degree(s)
13:32:51: [INFO] Adding track segment (B.Cu): [(307340000, 147320000), (307340000, 152460000)]
13:32:51: [INFO] Adding track segment (B.Cu): [(307340000, 152460000), (309880000, 155000000)]
13:32:51: [INFO] Routing SW70 with D70
13:32:51: [INFO] Using internal autorouter method
13:32:51: [INFO] Routing pad 'SW70:2' at (288290000, 147320000) with pad 'D70:2' at (290830000, 155000000) using coordinate system rotated by 0 degree(s)
13:32:51: [INFO] Adding track segment (B.Cu): [(288290000, 147320000), (288290000, 152460000)]
13:32:51: [INFO] Adding track segment (B.Cu): [(288290000, 152460000), (290830000, 155000000)]
13:32:51: [INFO] Routing SW69 with D69
13:32:51: [INFO] Using internal autorouter method
13:32:51: [INFO] Routing pad 'SW69:2' at (343058750, 83026250) with pad 'D69:2' at (345598750, 90706250) using coordinate system rotated by 0 degree(s)
13:32:51: [INFO] Adding track segment (B.Cu): [(343058750, 83026250), (343058750, 88166250)]
13:32:51: [INFO] Adding track segment (B.Cu): [(343058750, 88166250), (345598750, 90706250)]
13:32:51: [INFO] Routing SW68a with D68
13:32:51: [INFO] Using internal autorouter method
13:32:51: [INFO] Routing pad 'SW68a:2' at (254952500, 147320000) with pad 'D68:2' at (259873750, 155000000) using coordinate system rotated by 0 degree(s)
13:32:51: [INFO] Routing SW68 with D68
13:32:51: [INFO] Using internal autorouter method
13:32:51: [INFO] Routing pad 'SW68:2' at (257333750, 147320000) with pad 'D68:2' at (259873750, 155000000) using coordinate system rotated by 0 degree(s)
13:32:51: [INFO] Routing SW67 with D67
13:32:51: [INFO] Using internal autorouter method
13:32:51: [INFO] Routing pad 'SW67:2' at (233521250, 147320000) with pad 'D67:2' at (236061250, 155000000) using coordinate system rotated by 0 degree(s)
13:32:51: [INFO] Adding track segment (B.Cu): [(233521250, 147320000), (233521250, 152460000)]
13:32:51: [INFO] Adding track segment (B.Cu): [(233521250, 152460000), (236061250, 155000000)]
13:32:51: [INFO] Routing SW66a with D66
13:32:51: [INFO] Using internal autorouter method
