=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:37:49: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDYA0dwE9ZwAwDoAmAVjXAGNtwBiAQzvvAF9SSkAdAO085xQXBYoAHNy4de-ALooAUGHKUqAdhWqmpXjgFwI0eAlIV41eg2boJ2iEfRUy9h+osoCVqNgQ5z4EgBZtPihEbjYmpjQBAO7YBN4kSqI8KFrScuAGWmi62PhKJOjR+nhE3gb8WQrGdg72TukubnpwAJzF3qj+pKjBXShIIYrhEaSFiG29SuCpwOAEyY05eEj54KMIeHnec+U6lbY1tVsNFU2tSt5KKJ3olz27ocqqKlExhCWkl-3T1oPhdQDM8xOixWowIb28gJ2PyqBwokOOu1OeC8pCEVwC6LuMNsQxe8HBmzRKASYk4GQW8HwxBGHg273Q6PYZI4ZUxwkSrL4U1kM18QKRizytKKxG8-OhqzpYtI-NcwP01NB0oZ4GaiIgawhpHV-wC6v833AACcPLx0MamoCLVh4L43qQmrkVra4ABaf4O9APOF1Xh6jQYwN3cC8fqByZGprrGXoAwBuNBxMhgxfXnZIqquYJ2ZJ3MhuZpuQZuCxUiAnOA67gQEhwFF+RNcE072-Ux1fkJnHUX0i0v08VBTlzFLp9zwT0rB54we+Yfcio+g74sZE9D85mibY84sm7BuzykS0ecErJpu5su-eE1UkTLoEg7QLyh8oPVR68D3r38CoJ+oF9fzfHdG0-VVLh-S4n0uQDLnfMdz09VFGQFcB0SfdFAPReDd3PG8+0vbx1XvbtaD+IjuUkSQgA
13:37:54: [INFO] Adding track segment (B.Cu): [(374015000, 114360000), (376555000, 116900000)]
13:37:54: [INFO] Routing SW68 with D68
13:37:54: [INFO] Using internal autorouter method
13:37:54: [INFO] Routing pad 'SW68:2' at (357346250, 109220000) with pad 'D68:2' at (359886250, 116900000) using coordinate system rotated by 0 degree(s)
13:37:54: [INFO] Adding track segment (B.Cu): [(357346250, 109220000), (357346250, 114360000)]
13:37:54: [INFO] Adding track segment (B.Cu): [(357346250, 114360000), (359886250, 116900000)]
13:37:54: [INFO] Routing SW67 with D67
13:37:54: [INFO] Using internal autorouter method
13:37:54: [INFO] Routing pad 'SW67:2' at (347821250, 109220000) with pad 'D67:2' at (350361250, 116900000) using coordinate system rotated by 0 degree(s)
13:37:54: [INFO] Adding track segment (B.Cu): [(347821250, 109220000), (347821250, 114360000)]
13:37:54: [INFO] Adding track segment (B.Cu): [(347821250, 114360000), (350361250, 116900000)]
13:37:54: [INFO] Routing SW66 with D66
13:37:54: [INFO] Using internal autorouter method
13:37:54: [INFO] Routing pad 'SW66:2' at (321627500, 109220000) with pad 'D66:2' at (324167500, 116900000) using coordinate system rotated by 0 degree(s)
13:37:54: [INFO] Adding track segment (B.Cu): [(321627500, 109220000), (321627500, 114360000)]
13:37:54: [INFO] Adding track segment (B.Cu): [(321627500, 114360000), (324167500, 116900000)]
13:37:54: [INFO] Routing SW65 with D65
13:37:54: [INFO] Using internal autorouter method
