=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:40:38: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoBMBWANHcBPWikAWANi3AGN9wBiAQ3ofAF8zCMFwzMPWMBGTtkwDeKQeExiAuhgBQYKPmToW2AMztxpHnAiV4NckePMyGkdlIXwGsVj1U6DeqcsZpchdHjK0q8CiaZADsQboUjsYm-oHWodaBduH62E7OruChHvIQ3gQqZHxh4AAcYQ4G1FFGGUXWZdZFSRWpzi7+ZdleSqh+ZAjFAJzFAxYthtUZw9YDzRGVbbRT7uAyOeAATnnEvWR5yCWY2Hg+RKTYKTTB1zcZbGqC41WT-pgP9orwJUiDfdhsJUe81abXEAHd8ChXhhAWtuqdgkVjj0EEjwBD4HxUMR-Bp3uE8gBaZCosiXZ5RDKkfG5fCDVBqXEwoHkm63MgYuBY4J-cCkWGeWmnNDnXAotHkxbg-Dc3mBGnAiaU-yhBV5b5oKEhDDBcSBQEfSWgjky3oq5lwoUEYihZGnUnYTlYgrYIoKp1mshlNX4b5lR2m3llXUfD28ooC9YbX1kDYnLl7fBqJADO1wQkSyIvXiEcSYXO8NB5jBFy2fODJl02DAFty16tFsikUuC8vJnkxGviUL1wKN7ChFvrPLto6KtKMfxFetlWsQTla10l1at6PwQn+8vBJBj+MZn5krPK3jEYun3ghoQ6lfD-DbjtmDDntzP6uXvnXst5bdVsr9gJPt2gFkIEupfneuwXI4UomvAi7gEUr5lK+RRgVIQA
13:40:44: [INFO] Routing pad 'SW72:2' at (300428475, 80843354) with pad 'D72:2' at (304012605, 88095112) using coordinate system rotated by 352.0 degree(s)
13:40:44: [INFO] Adding track segment (B.Cu): [(300428475, 80843354), (301143824, 85933330)]
13:40:44: [INFO] Adding track segment (B.Cu): [(301143824, 85933330), (304012605, 88095112)]
13:40:44: [INFO] Routing SW71 with D71
13:40:44: [INFO] Using internal autorouter method
13:40:44: [INFO] Routing pad 'SW71:2' at (238508346, 95265505) with pad 'D71:2' at (239954777, 103224263) using coordinate system rotated by 8.0 degree(s)
13:40:44: [INFO] Adding track segment (B.Cu): [(238508346, 95265505), (237792995, 100355482)]
13:40:44: [INFO] Adding track segment (B.Cu): [(237792995, 100355482), (239954777, 103224263)]
13:40:44: [INFO] Routing SW70 with D70
13:40:44: [INFO] Using internal autorouter method
13:40:44: [INFO] Routing pad 'SW70:2' at (193897250, 90741500) with pad 'D70:2' at (196437250, 98421500) using coordinate system rotated by 0 degree(s)
13:40:44: [INFO] Adding track segment (B.Cu): [(193897250, 90741500), (193897250, 95881500)]
13:40:44: [INFO] Adding track segment (B.Cu): [(193897250, 95881500), (196437250, 98421500)]
13:40:44: [INFO] Routing SW69 with D69
13:40:44: [INFO] Using internal autorouter method
13:40:44: [INFO] Routing pad 'SW69:2' at (135890000, 90170000) with pad 'D69:2' at (138430000, 97850000) using coordinate system rotated by 0 degree(s)
13:40:44: [INFO] Adding track segment (B.Cu): [(135890000, 90170000), (135890000, 95310000)]
13:40:44: [INFO] Adding track segment (B.Cu): [(135890000, 95310000), (138430000, 97850000)]
13:40:44: [INFO] Routing SW68 with D68
13:40:44: [INFO] Using internal autorouter method
13:40:44: [INFO] Routing pad 'SW68:2' at (97790000, 90170000) with pad 'D68:2' at (100330000, 97850000) using coordinate system rotated by 0 degree(s)
13:40:44: [INFO] Adding track segment (B.Cu): [(97790000, 90170000), (97790000, 95310000)]
13:40:44: [INFO] Adding track segment (B.Cu): [(97790000, 95310000), (100330000, 97850000)]
13:40:44: [INFO] Routing SW67 with D67
13:40:44: [INFO] Using internal autorouter method
13:40:44: [INFO] Routing pad 'SW67:2' at (59690000, 90170000) with pad 'D67:2' at (62230000, 97850000) using coordinate system rotated by 0 degree(s)
13:40:44: [INFO] Adding track segment (B.Cu): [(59690000, 90170000), (59690000, 95310000)]
13:40:44: [INFO] Adding track segment (B.Cu): [(59690000, 95310000), (62230000, 97850000)]
13:40:44: [INFO] Routing SW66 with D66
13:40:44: [INFO] Using internal autorouter method
13:40:44: [INFO] Routing pad 'SW66:2' at (420782749, 71501000) with pad 'D66:2' at (423322749, 79181000) using coordinate system rotated by 0 degree(s)
13:40:44: [INFO] Adding track segment (B.Cu): [(420782749, 71501000), (420782749, 76641000)]
13:40:44: [INFO] Adding track segment (B.Cu): [(420782749, 76641000), (423322749, 79181000)]
13:40:44: [INFO] Routing SW65 with D65
