=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:29:57: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareAvgGgQBi7uDhAB6xy4B0ArDlOUgOzMuZ0CMBRcE08SkQULZ4s7buE7i6+AEwTO8mVgDMC1RPwAWdTuXV1B5QDZ1p5YwA6AOxs38hYvX4o0qEZKxXbPh91LkVNTYogAc-uBk8FSMtAgA7uSyIZ7edtb44gC6WABQwOCyXE5RFDR0ifDsNCkqxTzOCIhCwilF0gh1HYVYSp29EkVqdHXDCEV6-ZM9Rv2zPeb9i7wMrm4SlXDVwSNe6Tacjg2lQW1Y4SXk23R8TSysFVeUsnHgABZJFfJV5Qhv31s6CQAQBaKgvFK0NI+KTgHL5FYuNzuFJaAj7axoo4BaK-cCbaqxSH1RFNFqCDxo7q0bpovoQazkAAuACcAK4AU2JfXAaLG4FoYwZzPZXLoaOmtGmaPmtHmaOWjSY90YGySzx2CChGMOEROeNuSGRyEp5wxtGxkUCBtW5OgxOMOrEcLyYCVa3QKWM6J8Nixequjx+RLojBJ7rtHm93TD3W9PLDPO9-LD-O90zD0298zDs1JRuRap+ELo3sdvusRSO4DD0JsVYDP1wXrNFYtjbKr02sg1LfL6XaHfBmvAZYxRXp+KeJYQtfHA3hbtKKhSoR96TqloJNToa-YGM3EUNiBVqqDcEYq9UB-Dx+NRa2O4Qa+oN+ra-7PkPi4gAE9yGCeIfPAySluuPhUh27Den8SQtqE5rOj+VrwHUCRPCOa64DeHT5ieKoPgAnFeKg4Ueqz3ue2xXp+NhdC6CIoXAK67uBdEDE4x6ng+7DNqxpEVnUk53oWNE3vIWRZEAA
13:30:02: [INFO] Placing additional elements for SW50
13:30:02: [INFO] Placing additional elements for SW49a
13:30:02: [INFO] Placing additional elements for SW49
13:30:02: [INFO] Placing additional elements for SW48
13:30:02: [INFO] Placing additional elements for SW47
13:30:02: [INFO] Placing additional elements for SW46
13:30:02: [INFO] Placing additional elements for SW45
13:30:02: [INFO] Placing additional elements for SW44
13:30:02: [INFO] Placing additional elements for SW43
13:30:02: [INFO] Placing additional elements for SW42
13:30:02: [INFO] Placing additional elements for SW41
13:30:02: [INFO] Placing additional elements for SW40
13:30:02: [INFO] Placing additional elements for SW39
13:30:02: [INFO] Placing additional elements for SW38
13:30:02: [INFO] Placing additional elements for SW37
13:30:02: [INFO] Placing additional elements for SW36
13:30:02: [INFO] Placing additional elements for SW35
13:30:02: [INFO] Placing additional elements for SW34
13:30:02: [INFO] Placing additional elements for SW33
13:30:02: [INFO] Placing additional elements for SW32
13:30:02: [INFO] Placing additional elements for SW31
13:30:02: [INFO] Placing additional elements for SW30
13:30:02: [INFO] Placing additional elements for SW29
13:30:02: [INFO] Placing additional elements for SW28
13:30:02: [INFO] Placing additional elements for SW27
13:30:02: [INFO] Placing additional elements for SW26
13:30:02: [INFO] Placing additional elements for SW25
13:30:02: [INFO] Placing additional elements for SW24
13:30:02: [INFO] Placing additional elements for SW23
13:30:02: [INFO] Placing additional elements for SW22
13:30:02: [INFO] Placing additional elements for SW21
13:30:02: [INFO] Placing additional elements for SW20
13:30:02: [INFO] Placing additional elements for SW19
13:30:02: [INFO] Placing additional elements for SW18
13:30:02: [INFO] Placing additional elements for SW17a
13:30:02: [INFO] Placing additional elements for SW17
13:30:02: [INFO] Placing additional elements for SW16
13:30:02: [INFO] Placing additional elements for SW15
13:30:02: [INFO] Placing additional elements for SW14
13:30:02: [INFO] Placing additional elements for SW13
13:30:02: [INFO] Placing additional elements for SW12
13:30:02: [INFO] Placing additional elements for SW11
13:30:02: [INFO] Placing additional elements for SW10
13:30:02: [INFO] Placing additional elements for SW9
13:30:02: [INFO] Placing additional elements for SW8
13:30:02: [INFO] Placing additional elements for SW7
13:30:02: [INFO] Placing additional elements for SW6
13:30:02: [INFO] Placing additional elements for SW5
13:30:02: [INFO] Placing additional elements for SW4
13:30:02: [INFO] Placing additional elements for SW3
13:30:02: [INFO] Placing additional elements for SW2
13:30:02: [INFO] Placing additional elements for SW1
13:30:02: [INFO] Routing SW69a with D69
13:30:02: [INFO] Using internal autorouter method
13:30:02: [INFO] Routing pad 'SW69a:2' at (302577500, 109220000) with pad 'D69:2' at (309880000, 116900000) using coordinate system rotated by 0 degree(s)
13:30:02: [INFO] Routing SW69 with D69
13:30:02: [INFO] Using internal autorouter method
13:30:02: [INFO] Routing pad 'SW69:2' at (307340000, 109220000) with pad 'D69:2' at (309880000, 116900000) using coordinate system rotated by 0 degree(s)
13:30:02: [INFO] Adding track segment (B.Cu): [(307340000, 109220000), (307340000, 114360000)]
13:30:02: [INFO] Adding track segment (B.Cu): [(307340000, 114360000), (309880000, 116900000)]
13:30:02: [INFO] Routing SW68 with D68
13:30:02: [INFO] Using internal autorouter method
13:30:02: [INFO] Routing pad 'SW68:2' at (283527500, 109220000) with pad 'D68:2' at (286067500, 116900000) using coordinate system rotated by 0 degree(s)
13:30:02: [INFO] Adding track segment (B.Cu): [(283527500, 109220000), (283527500, 114360000)]
13:30:02: [INFO] Adding track segment (B.Cu): [(283527500, 114360000), (286067500, 116900000)]
13:30:02: [INFO] Routing SW67 with D67
13:30:02: [INFO] Using internal autorouter method
13:30:02: [INFO] Routing pad 'SW67:2' at (202565000, 109220000) with pad 'D67:2' at (205105000, 116900000) using coordinate system rotated by 0 degree(s)
13:30:02: [INFO] Adding track segment (B.Cu): [(202565000, 109220000), (202565000, 114360000)]
13:30:02: [INFO] Adding track segment (B.Cu): [(202565000, 114360000), (205105000, 116900000)]
13:30:02: [INFO] Routing SW66 with D66
13:30:02: [INFO] Using internal autorouter method
13:30:02: [INFO] Routing pad 'SW66:2' at (121602500, 109220000) with pad 'D66:2' at (124142500, 116900000) using coordinate system rotated by 0 degree(s)
13:30:02: [INFO] Adding track segment (B.Cu): [(121602500, 109220000), (121602500, 114360000)]
13:30:02: [INFO] Adding track segment (B.Cu): [(121602500, 114360000), (124142500, 116900000)]
13:30:02: [INFO] Routing SW65a with D65
13:30:02: [INFO] Using internal autorouter method
13:30:02: [INFO] Routing pad 'SW65a:2' at (102552500, 109220000) with pad 'D65:2' at (100330000, 116900000) using coordinate system rotated by 0 degree(s)
13:30:02: [INFO] Routing SW65 with D65
13:30:02: [INFO] Using internal autorouter method
13:30:02: [INFO] Routing pad 'SW65:2' at (97790000, 109220000) with pad 'D65:2' at (100330000, 116900000) using coordinate system rotated by 0 degree(s)
13:30:02: [INFO] Routing SW64a with D64
13:30:02: [INFO] Using internal autorouter method
13:30:02: [INFO] Routing pad 'SW64a:2' at (324008750, 90170000) with pad 'D64:2' at (328930000, 97850000) using coordinate system rotated by 0 degree(s)
13:30:02: [INFO] Routing SW64 with D64
13:30:02: [INFO] Using internal autorouter method
13:30:02: [INFO] Routing pad 'SW64:2' at (326390000, 90170000) with pad 'D64:2' at (328930000, 97850000) using coordinate system rotated by 0 degree(s)
13:30:02: [INFO] Routing SW63 with D63
13:30:02: [INFO] Using internal autorouter method
13:30:02: [INFO] Routing pad 'SW63:2' at (283527500, 90170000) with pad 'D63:2' at (286067500, 97850000) using coordinate system rotated by 0 degree(s)
13:30:02: [INFO] Adding track segment (B.Cu): [(283527500, 90170000), (283527500, 95310000)]
13:30:02: [INFO] Adding track segment (B.Cu): [(283527500, 95310000), (286067500, 97850000)]
13:30:02: [INFO] Routing SW62 with D62
13:30:02: [INFO] Using internal autorouter method
13:30:02: [INFO] Routing pad 'SW62:2' at (245427500, 90170000) with pad 'D62:2' at (247967500, 97850000) using coordinate system rotated by 0 degree(s)
13:30:02: [INFO] Adding track segment (B.Cu): [(245427500, 90170000), (245427500, 95310000)]
13:30:02: [INFO] Adding track segment (B.Cu): [(245427500, 95310000), (247967500, 97850000)]
13:30:02: [INFO] Routing SW61 with D61
13:30:02: [INFO] Using internal autorouter method
13:30:02: [INFO] Routing pad 'SW61:2' at (207327500, 90170000) with pad 'D61:2' at (209867500, 97850000) using coordinate system rotated by 0 degree(s)
13:30:02: [INFO] Adding track segment (B.Cu): [(207327500, 90170000), (207327500, 95310000)]
13:30:02: [INFO] Adding track segment (B.Cu): [(207327500, 95310000), (209867500, 97850000)]
13:30:02: [INFO] Routing SW60 with D60
13:30:02: [INFO] Using internal autorouter method
13:30:02: [INFO] Routing pad 'SW60:2' at (169227500, 90170000) with pad 'D60:2' at (171767500, 97850000) using coordinate system rotated by 0 degree(s)
13:30:02: [INFO] Adding track segment (B.Cu): [(169227500, 90170000), (169227500, 95310000)]
13:30:03: [INFO] Adding track segment (B.Cu): [(169227500, 95310000), (171767500, 97850000)]
13:30:03: [INFO] Routing SW59 with D59
