=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:10: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoDsBWAvgGjuADFguDhNPABxKY75YCMd4AulgFBhSxx6po0CeXALQ90NAMZdwAYhRz54bLgJ5icCJPgzxO3YpoFGJTvDo9qy+kWObc0gIaOna8AHcuCJbToBmNaS4eBAtwABZ6UOY2DjJuKhp3UyovOixVGylpXT0U+n8TODMkPFyGF1S6a3VwWxknZwSuOmSaCr9jWKCQisiWdgD4Lsak9C8ENPzarOzJMbyOrgBOFtxxsxc1o2qp+QVhxCRgud98zsO+XCn6x31ViKj+tw9zrx8JjK1p7NvwN62BuDLEJ-dLbTLXewuRKFXiveiMPoxJoANgEwlEwPofkREEE8BE532zRC4VUOIKdAu4DxcAJoxo4TKDKsLkZ2OiEAATk1xrhObFQrwaJyachgjRYkJmuLcDSpULLpkZrMDFh2pZIqq0C4CMiHkj8c16bhUlVwKl1easJqTVhteTJcS5mbxpbxjbwON7RyCvKSjQ3ma3pa3h63t7Ho7ihJwdcoU0VmFCJNMrs5PH4J5mTaNLH6j9whGONzDbzwPymtKqSKuG9cJLkGJZcJkFSpsqfgQUDqsOQe4se+sHcIfC9Wlg9ePu+O++OB+Ohz7JaP-XdJ3dp3dZ3cB8P8Y3MevflhN8ft8fd0uR4TFZ806foQevOF17nPhCMzCSVhd0wgA
13:31:15: [INFO] Placing additional elements for SW55
13:31:15: [INFO] Placing additional elements for SW54
13:31:15: [INFO] Placing additional elements for SW53
13:31:15: [INFO] Placing additional elements for SW52
13:31:15: [INFO] Placing additional elements for SW51
13:31:15: [INFO] Placing additional elements for SW50
13:31:15: [INFO] Placing additional elements for SW49
13:31:15: [INFO] Placing additional elements for SW48
13:31:15: [INFO] Placing additional elements for SW47
13:31:15: [INFO] Placing additional elements for SW46
13:31:15: [INFO] Placing additional elements for SW45
13:31:15: [INFO] Placing additional elements for SW44
13:31:15: [INFO] Placing additional elements for SW43
13:31:15: [INFO] Placing additional elements for SW42
13:31:15: [INFO] Placing additional elements for SW41
13:31:15: [INFO] Placing additional elements for SW40
13:31:15: [INFO] Placing additional elements for SW39
13:31:15: [INFO] Placing additional elements for SW38
13:31:15: [INFO] Placing additional elements for SW37
13:31:15: [INFO] Placing additional elements for SW36
13:31:15: [INFO] Placing additional elements for SW35
13:31:15: [INFO] Placing additional elements for SW34
13:31:15: [INFO] Placing additional elements for SW33
13:31:15: [INFO] Placing additional elements for SW32
13:31:15: [INFO] Placing additional elements for SW31
13:31:15: [INFO] Placing additional elements for SW30
13:31:15: [INFO] Placing additional elements for SW29
13:31:15: [INFO] Placing additional elements for SW28
13:31:15: [INFO] Placing additional elements for SW27
13:31:15: [INFO] Placing additional elements for SW26
13:31:15: [INFO] Placing additional elements for SW25
13:31:15: [INFO] Placing additional elements for SW24
13:31:15: [INFO] Placing additional elements for SW23
13:31:15: [INFO] Placing additional elements for SW22
13:31:15: [INFO] Placing additional elements for SW21
13:31:15: [INFO] Placing additional elements for SW20
13:31:15: [INFO] Placing additional elements for SW19
13:31:15: [INFO] Placing additional elements for SW18
13:31:15: [INFO] Placing additional elements for SW17
13:31:15: [INFO] Placing additional elements for SW16
13:31:15: [INFO] Placing additional elements for SW15
13:31:15: [INFO] Placing additional elements for SW14
13:31:15: [INFO] Placing additional elements for SW13
13:31:15: [INFO] Placing additional elements for SW12
13:31:15: [INFO] Placing additional elements for SW11
13:31:15: [INFO] Placing additional elements for SW10
13:31:15: [INFO] Placing additional elements for SW9
13:31:15: [INFO] Placing additional elements for SW8
13:31:15: [INFO] Placing additional elements for SW7
13:31:15: [INFO] Placing additional elements for SW6
13:31:15: [INFO] Placing additional elements for SW5
13:31:15: [INFO] Placing additional elements for SW4
13:31:15: [INFO] Placing additional elements for SW3
13:31:15: [INFO] Placing additional elements for SW2
13:31:15: [INFO] Placing additional elements for SW1
13:31:15: [INFO] Routing SW66 with D66
13:31:15: [INFO] Using internal autorouter method
13:31:15: [INFO] Routing pad 'SW66:2' at (359727500, 37782500) with pad 'D66:2' at (362267500, 45462500) using coordinate system rotated by 0 degree(s)
13:31:15: [INFO] Adding track segment (B.Cu): [(359727500, 37782500), (359727500, 42922500)]
13:31:15: [INFO] Adding track segment (B.Cu): [(359727500, 42922500), (362267500, 45462500)]
13:31:15: [INFO] Routing SW65 with D65
13:31:15: [INFO] Using internal autorouter method
13:31:15: [INFO] Routing pad 'SW65:2' at (369252500, 118745000) with pad 'D65:2' at (371792500, 126425000) using coordinate system rotated by 0 degree(s)
13:31:15: [INFO] Adding track segment (B.Cu): [(369252500, 118745000), (369252500, 123885000)]
13:31:15: [INFO] Adding track segment (B.Cu): [(369252500, 123885000), (371792500, 126425000)]
13:31:15: [INFO] Routing SW64 with D64
13:31:15: [INFO] Using internal autorouter method
13:31:15: [INFO] Routing pad 'SW64:2' at (350202500, 118745000) with pad 'D64:2' at (352742500, 126425000) using coordinate system rotated by 0 degree(s)
13:31:15: [INFO] Adding track segment (B.Cu): [(350202500, 118745000), (350202500, 123885000)]
13:31:15: [INFO] Adding track segment (B.Cu): [(350202500, 123885000), (352742500, 126425000)]
13:31:15: [INFO] Routing SW63 with D63
13:31:15: [INFO] Using internal autorouter method
13:31:15: [INFO] Routing pad 'SW63:2' at (331152500, 118745000) with pad 'D63:2' at (333692500, 126425000) using coordinate system rotated by 0 degree(s)
13:31:15: [INFO] Adding track segment (B.Cu): [(331152500, 118745000), (331152500, 123885000)]
13:31:15: [INFO] Adding track segment (B.Cu): [(331152500, 123885000), (333692500, 126425000)]
13:31:15: [INFO] Routing SW62 with D62
13:31:15: [INFO] Using internal autorouter method
13:31:15: [INFO] Routing pad 'SW62:2' at (261658167, 116505158) with pad 'D62:2' at (265739423, 123489236) using coordinate system rotated by 348.0 degree(s)
13:31:15: [INFO] Adding track segment (B.Cu): [(261658167, 116505158), (262726832, 121532836)]
13:31:15: [INFO] Adding track segment (B.Cu): [(262726832, 121532836), (265739423, 123489236)]
13:31:15: [INFO] Routing SW61 with D61
13:31:15: [INFO] Using internal autorouter method
13:31:15: [INFO] Routing pad 'SW61:2' at (222061530, 124921683) with pad 'D61:2' at (226142786, 131905761) using coordinate system rotated by 348.0 degree(s)
