=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:38: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareAvgGgQBi7gDoB2JJALFgIzg7j5VmnGU04QAescuAdAEwBWOtHhJIEybQQATbgBcATgFcAptjwEmFAtIhz4StRvrVtLXe3Bd4fYQlEJEAdldvMdfPz1Ru4yRIemgDM0qbkYfiCkVgAbDHOMQAcPjZwVLy4JsK4YcJsCMLedMKhJVgR5dFWjkho6HQA7tz82VjO5vi5NX6IAYF0BnBG6uVJ5sGWcJzcfM72vmIo9chB4MKxndR57VsFM-D8mW3jzCSTNAC6WABQwOBUWmcWBQ9mz6ypswILtX39YSGIxMjyIHym+gUKlGCEejHB3Wm1m+v16K1WTW4GUEIKwxSRf360FxZVhFTCj2qZPidEeiSsaQyWTosSm4FZr1Z+PZWFJPMqCFZVJ5NKRzXg2JMrI6z1BPiB0KlWFOTEmiIOcCO+AcvTc7kxEp+dAAFi0mt5DQtjRb0nQODaALR8IQmZy7WXbBlY3iopbotaslXMC7ga53cD8J5MT50SPw6OepFpZ2+pxEwFQ4yxqPMSjq8AKrMIOPmPNfWw+kRolZhcXpXjzEyR-EQQkApu8sKRgURrDCyOi3v0pPe5kIN2I8Bu15u7luvluntuqmt3V64fgOtHF10N0yphynpLdODTMwqfKiYQ5GGscXzYe-Y3zUN1N1Guuy-PENh+5q0uJuAFwAU+yZGjqx4AqehiKnQ-4IvKZ4mMBCFehWb7LPUtYtD8yF4uYkb5m2ARrJMPaTMKkyDpMG6TCkaH1neSRssxrzMdyzF8sx5DmDkPh-P6Bovo2dDMQ+TB8UeaZQbISGiV+qrXmBIkINxvGJqufo1kJGQqeAYnqWx7oSRpz4piYzFBuc2y-uAeYgWErAOQxKZVpBJHQcMsEIPZqFIoW55OX5Gp2G5TiCQgdYZDuPl4j4UW4XQlCkhACUxXZ5JWGlOJJX25jMfmW6JbF+7MAV5aMUJRx6QAnO8TCsoV3rpXV-DmBO8XNTlCB1cE7XXtlJh1eJzAdVlXVDcZo3XsRUiecCdB1VZxBqhVcwLAlelqc8RT8dWWEWXE6kcVNJC7S5xXgEtV5XLcYDPuQr46Zdkxtc8cZhJMfXvaZjKVpFOHpZQgj5aZg25aVJCsRVTLPS1OYkBynWWpN8bMEji34c805hL1-WvHVPHY4Bw347jp3EDjv4akk-2bhNuUg887GOUdzNxeNhpAxTLOXJcQA
13:35:43: [INFO] Add D65 footprint
13:35:43: [INFO] Add SW66 footprint
13:35:43: [INFO] Add D66 footprint
13:35:43: [INFO] Add SW67 footprint
13:35:43: [INFO] Add D67 footprint
13:35:43: [INFO] Add SW68 footprint
13:35:43: [INFO] Add D68 footprint
13:35:43: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:35:43: [INFO] Add ST68 footprint
13:35:43: [INFO] Add SW68a footprint
13:35:43: [INFO] Add ST68a footprint
13:35:43: [INFO] Add SW69 footprint
13:35:43: [INFO] Add D69 footprint
13:35:43: [INFO] Add SW70 footprint
13:35:43: [INFO] Add D70 footprint
13:35:43: [INFO] Add SW71 footprint
13:35:43: [INFO] Add D71 footprint
13:35:43: [INFO] Add SW72 footprint
13:35:43: [INFO] Add D72 footprint
13:35:44: [INFO] Add SW73 footprint
13:35:44: [INFO] Add D73 footprint
13:35:44: [INFO] Add SW74 footprint
13:35:44: [INFO] Add D74 footprint
13:35:44: [INFO] Add SW74a footprint
13:35:44: [INFO] Add SW75 footprint
13:35:44: [INFO] Add D75 footprint
13:35:44: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:35:44: [INFO] Add ST75 footprint
13:35:44: [INFO] Add SW75a footprint
13:35:44: [INFO] Add SW75b footprint
13:35:44: [INFO] Add SW76 footprint
13:35:44: [INFO] Add D76 footprint
13:35:44: [INFO] Add SW77 footprint
13:35:44: [INFO] Add D77 footprint
13:35:44: [INFO] Add SW78 footprint
13:35:44: [INFO] Add D78 footprint
13:35:44: [INFO] Add SW79 footprint
13:35:44: [INFO] Add D79 footprint
13:35:44: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:35:44: [INFO] Add ST79 footprint
13:35:44: [INFO] Add SW79a footprint
13:35:44: [INFO] Add SW80 footprint
13:35:44: [INFO] Add D80 footprint
13:35:44: [INFO] Add SW80a footprint
13:35:44: [INFO] Add SW81 footprint
13:35:44: [INFO] Add D81 footprint
13:35:44: [INFO] Add SW81a footprint
13:35:44: [INFO] Add SW82 footprint
13:35:44: [INFO] Add D82 footprint
13:35:44: [INFO] Add SW83 footprint
13:35:44: [INFO] Add D83 footprint
13:35:44: [INFO] Add SW83a footprint
13:35:44: [INFO] Add SW84 footprint
13:35:44: [INFO] Add D84 footprint
13:35:44: [INFO] Add SW84a footprint
13:35:44: [INFO] Add SW85 footprint
13:35:45: [INFO] Add D85 footprint
