=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:57: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIBNwLgAgC4CcCuBTAvgGjuADFngDoB2ppAjFgEzg4TTzLra4EXlklW33gAesOHgB01AKw5wAYyHgAxAENlKurgDOAWzlIA9ggD6aaRQrhW+Qp0pYOXa1zR41ELXPNT2Dqmb6D4ohIWBMT23IRqlnacVM5+QqKSuLLwCgDsGZkebDQuMnLy0kXF2ZYAzJEEACyVWOK1AGy1abUAHHn+cBQieBaScbiSvoO5UpIVY1g1k-V8KbhKKsqRAO5C1H1YaQ4hkZKtDtQR8QEiSfmphcVFpZINO7Z7Ww-DEPMKS8tSbql6hsamW5YA5hI7RMKcNBmAC6WAAUGALgtrjdvtpUpFGIhUJgpLFvKM4AwhMxcbgfATeESBAkxOd3oslqV8WEfJEKazHidhHSLCyYsdybYCQMIJ1ElI1vBuuI+YS3gUUbI5RMhdMhbMhU08VsOkJur0pA1BeBjcNTYSLaqLeqLZqLdrqVKumcLMaWnMCp9FKVje1YQiFZclZiSTiLEdQgKqcSmOGpGDKXrThIpAzvaVIwTzYnOa8aSnZQmrJyBuBcwLRQWeednd00kXcEcY0iFCGI1hrUdbUd7UdHeXddyDRY0iax+ax1TwGPrWPbWPNUGFpkspL1rypGOPdT059SmP-fDEQyQ1IsaSLGUS9G8hf47hr+CbC3xXS01791eb1w2VIn9myY8kE-4-jYZYAaWQESrgzrUJuj7yq2VzXKU162te9rXgO147uA17tMOPQWK0JqkeapHTqR1qkeqy4fPu67SiIDYkVgA6kXhpFHoGyFnrg94sFIVRgeELaCWS4Aic+YnQe+ySfkyFgiVGv5crg0mAdygSNlJomxJEmlQdpZxMS6IEaUhdYIXpqoQNZFl6XR4AObpIlLi5G6OSJO5ivqPRmfBrFSAAnOp9n+Y5YUtq5FhhXZ1aJHF7GRGFeFhf60JAA
13:36:03: [INFO] Detected layout convertible to matrix annotated keyboard
13:36:03: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:36:03: [INFO] Layout offset: (38100000, 28575000)
13:36:03: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:36:03: [INFO] Placing additional elements for SW80
13:36:03: [INFO] Placing additional elements for SW79
13:36:03: [INFO] Placing additional elements for SW78
13:36:03: [INFO] Placing additional elements for SW77
13:36:03: [INFO] Placing additional elements for SW76
13:36:03: [INFO] Placing additional elements for SW75
13:36:03: [INFO] Placing additional elements for SW74
13:36:03: [INFO] Placing additional elements for SW73
13:36:03: [INFO] Placing additional elements for SW72
13:36:03: [INFO] Placing additional elements for SW71
13:36:03: [INFO] Placing additional elements for SW70
13:36:03: [INFO] Placing additional elements for SW69
13:36:03: [INFO] Placing additional elements for SW68
13:36:03: [INFO] Placing additional elements for SW67
13:36:03: [INFO] Placing additional elements for SW66
13:36:03: [INFO] Placing additional elements for SW65
13:36:03: [INFO] Placing additional elements for SW64
13:36:03: [INFO] Placing additional elements for SW63
13:36:03: [INFO] Placing additional elements for SW62
13:36:03: [INFO] Placing additional elements for SW61
13:36:03: [INFO] Placing additional elements for SW60
13:36:03: [INFO] Placing additional elements for SW59
13:36:03: [INFO] Placing additional elements for SW58
13:36:03: [INFO] Placing additional elements for SW57
13:36:03: [INFO] Placing additional elements for SW56
13:36:03: [INFO] Placing additional elements for SW55
13:36:03: [INFO] Placing additional elements for SW54
13:36:03: [INFO] Placing additional elements for SW53
13:36:03: [INFO] Placing additional elements for SW52
13:36:03: [INFO] Placing additional elements for SW51
13:36:03: [INFO] Placing additional elements for SW50
13:36:03: [INFO] Placing additional elements for SW49a
