=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:29:48: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0yA0dwGNZYMQCGxJ4AvpuAuggMwA6Adk0wAw3iXsIAsLzjbuAC66AFBgoeViiRJKAT2koelXPHD4A7Dt3ku6ViPGTo8Wii2K8AWhkBOeVnUFsb9-qztanOBDNwABwqSBReNABMxhL+eAiW1vB2KI5qeJokpGHgQpgQLpruHtnsUXlS8AgyPKEGdL756USZhL7gAO54ESU0fAJshg0ViCgAbD3IbdyjUzRa0abKtE7gSkky1M5NunrZ1EaiMcN0iXDJqVsa+EVunlQ0CAuxlbKn5ysFzZltnS+1WNRHuVPjdcHt0GU-McZKxwQhIeAIjQfOVfiN-vdeEMAvEIh8mi1WnCkG1ATNKID5odFvANis1mcNmkrjsdHckQcTM8RrQ3g5mQRCT84pYMUigVCQTd2RDsXh7ChltlxRLEZEhp9WfNKGiIig8crenKXpscASWjLJpRxeSsOKqVzjihWCtdfqMbyJY0rqC7rzIdzgoFsp7VZ6A2arkKdV1RSHkfwmBzjXAHPGrVhPbbwJ6HUccc7XSKMaovcc9XJsqWUVC0fES0bygXkFWaCTKKXs6W8zTEKhTQyZEWXloPQn+oxxW1PX1+FPqRAAE5xJFYAKoF1vLSvS6uaU9HizdvhbPsHvcnhjcE1+6HinoY-3GYL4aXwJi9A3pF3u0PtpI59HXXRV4xvXkfxzP9KF5QD8zwUYxhjeA9QNDsH0TRh9g1c1vlbUYMKwl9gM3LAGXeJD0VbHwiPgxDSKWfEfWlCjujQpACI4YEcNICjcQbfCJ0BJ5wGXJJ4UoAJghqN49UCAVCn3AxAlmexZiqNTHho+BghdcFtQBdBlPvVT73UrSgn1Q19LVIzfxM38zKAvBt1HeNrN5WzIPsyDHLg+AXOHOA9VctDlPMqpZHpWwHEYwULV42RWzM4QgA
13:29:54: [INFO] Add SW76 footprint
13:29:54: [INFO] Add D76 footprint
13:29:54: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:29:54: [INFO] Add ST76 footprint
13:29:54: [INFO] Add SW77 footprint
13:29:54: [INFO] Add D77 footprint
13:29:54: [INFO] Add SW78 footprint
13:29:54: [INFO] Add D78 footprint
13:29:54: [INFO] Add SW79 footprint
13:29:54: [INFO] Add D79 footprint
13:29:54: [INFO] Add SW80 footprint
13:29:54: [INFO] Add D80 footprint
13:29:54: [INFO] Add SW81 footprint
13:29:54: [INFO] Add D81 footprint
13:29:54: [INFO] Add SW82 footprint
13:29:54: [INFO] Add D82 footprint
13:29:54: [INFO] Detected layout convertible to matrix annotated keyboard
13:29:54: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:29:54: [INFO] Layout offset: (37147500, 20955000)
13:29:54: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:29:54: [INFO] Placing additional elements for SW82
13:29:54: [INFO] Placing additional elements for SW81
13:29:54: [INFO] Placing additional elements for SW80
13:29:54: [INFO] Placing additional elements for SW79
13:29:54: [INFO] Placing additional elements for SW78
13:29:54: [INFO] Placing additional elements for SW77
13:29:54: [INFO] Placing additional elements for SW76
13:29:54: [INFO] Placing additional elements for SW75a
13:29:54: [INFO] Placing additional elements for SW75
13:29:54: [INFO] Placing additional elements for SW74a
13:29:54: [INFO] Placing additional elements for SW74
13:29:54: [INFO] Placing additional elements for SW73
13:29:54: [INFO] Placing additional elements for SW72
13:29:54: [INFO] Placing additional elements for SW71
13:29:54: [INFO] Placing additional elements for SW70
13:29:54: [INFO] Placing additional elements for SW69
13:29:54: [INFO] Placing additional elements for SW68
13:29:54: [INFO] Placing additional elements for SW67a
13:29:54: [INFO] Placing additional elements for SW67
13:29:54: [INFO] Placing additional elements for SW66
13:29:54: [INFO] Placing additional elements for SW65
13:29:54: [INFO] Placing additional elements for SW64
13:29:54: [INFO] Placing additional elements for SW63
13:29:54: [INFO] Placing additional elements for SW62
13:29:54: [INFO] Placing additional elements for SW61
13:29:54: [INFO] Placing additional elements for SW60
13:29:54: [INFO] Placing additional elements for SW59
13:29:54: [INFO] Placing additional elements for SW58
13:29:54: [INFO] Placing additional elements for SW57
13:29:54: [INFO] Placing additional elements for SW56
13:29:54: [INFO] Placing additional elements for SW55
13:29:54: [INFO] Placing additional elements for SW54
13:29:54: [INFO] Placing additional elements for SW53
13:29:54: [INFO] Placing additional elements for SW52
13:29:54: [INFO] Placing additional elements for SW51
13:29:54: [INFO] Placing additional elements for SW50
13:29:54: [INFO] Placing additional elements for SW49
13:29:54: [INFO] Placing additional elements for SW48
13:29:54: [INFO] Placing additional elements for SW47
13:29:54: [INFO] Placing additional elements for SW46
13:29:54: [INFO] Placing additional elements for SW45
13:29:54: [INFO] Placing additional elements for SW44
13:29:54: [INFO] Placing additional elements for SW43
13:29:54: [INFO] Placing additional elements for SW42
13:29:54: [INFO] Placing additional elements for SW41
13:29:54: [INFO] Placing additional elements for SW40
13:29:54: [INFO] Placing additional elements for SW39
13:29:54: [INFO] Placing additional elements for SW38
13:29:54: [INFO] Placing additional elements for SW37
13:29:54: [INFO] Placing additional elements for SW36
13:29:54: [INFO] Placing additional elements for SW35
13:29:54: [INFO] Placing additional elements for SW34
13:29:54: [INFO] Placing additional elements for SW33
13:29:54: [INFO] Placing additional elements for SW32
13:29:54: [INFO] Placing additional elements for SW31
13:29:54: [INFO] Placing additional elements for SW30
13:29:54: [INFO] Placing additional elements for SW29
13:29:54: [INFO] Placing additional elements for SW28
13:29:54: [INFO] Placing additional elements for SW27
13:29:54: [INFO] Placing additional elements for SW26
13:29:54: [INFO] Placing additional elements for SW25
13:29:54: [INFO] Placing additional elements for SW24
13:29:54: [INFO] Placing additional elements for SW23
13:29:54: [INFO] Placing additional elements for SW22
13:29:54: [INFO] Placing additional elements for SW21
13:29:54: [INFO] Placing additional elements for SW20
13:29:54: [INFO] Placing additional elements for SW19
13:29:54: [INFO] Placing additional elements for SW18
13:29:54: [INFO] Placing additional elements for SW17
13:29:54: [INFO] Placing additional elements for SW16
13:29:54: [INFO] Placing additional elements for SW15a
13:29:54: [INFO] Placing additional elements for SW15
13:29:54: [INFO] Placing additional elements for SW14
13:29:54: [INFO] Placing additional elements for SW13
13:29:54: [INFO] Placing additional elements for SW12
13:29:54: [INFO] Placing additional elements for SW11
13:29:54: [INFO] Placing additional elements for SW10
13:29:54: [INFO] Placing additional elements for SW9
13:29:54: [INFO] Placing additional elements for SW8
13:29:54: [INFO] Placing additional elements for SW7
13:29:54: [INFO] Placing additional elements for SW6
13:29:54: [INFO] Placing additional elements for SW5
13:29:54: [INFO] Placing additional elements for SW4
13:29:54: [INFO] Placing additional elements for SW3
13:29:54: [INFO] Placing additional elements for SW2
13:29:54: [INFO] Placing additional elements for SW1
13:29:54: [INFO] Routing SW82 with D82
13:29:54: [INFO] Using internal autorouter method
13:29:54: [INFO] Routing pad 'SW82:2' at (444500000, 130175000) with pad 'D82:2' at (447040000, 137855000) using coordinate system rotated by 0 degree(s)
13:29:54: [INFO] Adding track segment (B.Cu): [(444500000, 130175000), (444500000, 135315000)]
13:29:54: [INFO] Adding track segment (B.Cu): [(444500000, 135315000), (447040000, 137855000)]
13:29:54: [INFO] Routing SW81 with D81
13:29:54: [INFO] Using internal autorouter method
13:29:54: [INFO] Routing pad 'SW81:2' at (425450000, 130175000) with pad 'D81:2' at (427990000, 137855000) using coordinate system rotated by 0 degree(s)
13:29:54: [INFO] Adding track segment (B.Cu): [(425450000, 130175000), (425450000, 135315000)]
13:29:54: [INFO] Adding track segment (B.Cu): [(425450000, 135315000), (427990000, 137855000)]
13:29:54: [INFO] Routing SW80 with D80
13:29:54: [INFO] Using internal autorouter method
