=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
14:14:08: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwBo7gJ6zgRgHQIKwC+K4WSADOChNPOXkSeRVamVq+MxyWQqzUz4c5Yqmb5OZSUyQA2KfIFRM9AmK5IA7Mtpx6Wxm23gAukgBQYFfCwAOHEfABmE+auD4AFhyGSGeABaejsnVx44TzgHJ2QFd2s9BF98f0xgnABODVdKEmQ8yJtsejClanAAY0xwAGIAQ0amzgB3TAQNVLkAHQA7Pr7mQohq+DrKicnwTvkB-t7uTmQtOcGkDgSo+xS0oLUnVJ1N4qwvXbgMuxnJY6THc4zM1NRR1AamxtbMXAOWCtfxpMJtMSGdhid6KJQeVUFoYRA2rZHBozkdLIlvpkHvsNHC0R5iskCNidi8au8Pl8kYZcX8igDakDgRo5HSoplkSQ4TJUKyFP9yR9PiREYgGCy3OioshUKKiU4seCGUzqho7GzihyoagsTzwOr+fTBUKqdgUhosYaRuSVSDUOr8Rj4DKqsbKSLvpy2GRwXosM57mSxoymXbSGRDaRmDpeGRHRAAE7fZioPRaUnodLppzMfi8JDOMxS4pyBjnUoaZARFxIPOoZB1muF25CXwzatnaupRtnfgt+DCUK06us6twxusvvFvSl5wK9acdXVrGN9VTglpwPgOXi2O15QMoX1MNYXNFjeYVmoAIXehPD1IpynljHJNBZ+pzAc56ZoIBrA-sqoYaMwXiKGB-ZwByZzXqoOBeLESBgSQrjIfWSB6q4NzTl+MyFtCaHgKkhFnNhF7wByc60vhvJIZwcKEayZFOtEWQWgWi50SQWKEeqzHsg+Yo0rwoHnixWC4H4sF7FkJCHiagk-Boz43KYQA
14:14:13: [INFO] Adding track segment (B.Cu): [(364490000, 152082500), (364490000, 157222500)]
14:14:13: [INFO] Adding track segment (B.Cu): [(364490000, 157222500), (367030000, 159762500)]
14:14:13: [INFO] Routing SW81 with D81
14:14:13: [INFO] Using internal autorouter method
14:14:13: [INFO] Routing pad 'SW81:2' at (173920626, 160345750) with pad 'D81:2' at (175088419, 168350139) using coordinate system rotated by 10.0 degree(s)
14:14:13: [INFO] Adding track segment (B.Cu): [(173920626, 160345750), (173028074, 165407661)]
14:14:13: [INFO] Adding track segment (B.Cu): [(173028074, 165407661), (175088419, 168350139)]
14:14:13: [INFO] Routing SW80 with D80
14:14:13: [INFO] Using internal autorouter method
14:14:13: [INFO] Routing pad 'SW80:2' at (83502500, 152082500) with pad 'D80:2' at (86042500, 159762500) using coordinate system rotated by 0 degree(s)
14:14:13: [INFO] Adding track segment (B.Cu): [(83502500, 152082500), (83502500, 157222500)]
14:14:13: [INFO] Adding track segment (B.Cu): [(83502500, 157222500), (86042500, 159762500)]
14:14:13: [INFO] Routing SW79 with D79
14:14:13: [INFO] Using internal autorouter method
14:14:13: [INFO] Routing pad 'SW79:2' at (383540000, 152082500) with pad 'D79:2' at (386080000, 159762500) using coordinate system rotated by 0 degree(s)
14:14:13: [INFO] Adding track segment (B.Cu): [(383540000, 152082500), (383540000, 157222500)]
14:14:13: [INFO] Adding track segment (B.Cu): [(383540000, 157222500), (386080000, 159762500)]
14:14:13: [INFO] Routing SW78 with D78
14:14:13: [INFO] Using internal autorouter method
14:14:13: [INFO] Routing pad 'SW78:2' at (295962204, 154306191) with pad 'D78:2' at (299797234, 161428448) using coordinate system rotated by 350.0 degree(s)
14:14:13: [INFO] Adding track segment (B.Cu): [(295962204, 154306191), (296854755, 159368102)]
14:14:13: [INFO] Adding track segment (B.Cu): [(296854755, 159368102), (299797234, 161428448)]
